"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","unique_id"
"2021-05_PtCloates_BOSS","12","20210520_0809-1314_BOTTOM_0010_0001.mp4","1.01713","Holocentridae","Sargocentron","spp",1,"-22.7137","113.5364","2021-05-20T10:49:29+08:00","Point Cloates","No-take","107","Yes","Yes","2021-05_PtCloates_BOSS_12"
"2021-05_PtCloates_BOSS","12","20210520_0809-1314_BOTTOM_0010_0001.mp4","2.81114","Pinguipedidae","Parapercis","nebulosa",1,"-22.7137","113.5364","2021-05-20T10:49:29+08:00","Point Cloates","No-take","107","Yes","Yes","2021-05_PtCloates_BOSS_12"
"2021-05_PtCloates_BOSS","12","20210520_0809-1314_BOTTOM_0010_0001.mp4","2.18858","SUS","SUS","SUS",2,"-22.7137","113.5364","2021-05-20T10:49:29+08:00","Point Cloates","No-take","107","Yes","Yes","2021-05_PtCloates_BOSS_12"
"2021-05_PtCloates_BOSS","13","20210520_0809-1314_BOTTOM_0012_0001.mp4","0.00000","Holocentridae","Sargocentron","spp",1,"-22.7037","113.5389","2021-05-20T11:16:00+08:00","Point Cloates","No-take","107","Yes","Yes","2021-05_PtCloates_BOSS_13"
"2021-05_PtCloates_BOSS","13","20210520_0809-1314_BOTTOM_0012_0001.mp4","0.33867","Pinguipedidae","Parapercis","nebulosa",1,"-22.7037","113.5389","2021-05-20T11:16:00+08:00","Point Cloates","No-take","107","Yes","Yes","2021-05_PtCloates_BOSS_13"
"2021-05_PtCloates_BOSS","13","20210520_0809-1314_BOTTOM_0012_0001.mp4","0.09732","SUS","SUS","SUS",1,"-22.7037","113.5389","2021-05-20T11:16:00+08:00","Point Cloates","No-take","107","Yes","Yes","2021-05_PtCloates_BOSS_13"
"2021-05_PtCloates_BOSS","18","20210520_0809-1314_BOTTOM_0018_0001.mp4","1.60661","Nemipteridae",NA,NA,3,"-22.6838","113.5489","2021-05-20T13:14:58+08:00","Point Cloates","No-take","102","Yes","Yes","2021-05_PtCloates_BOSS_18"
"2021-05_PtCloates_BOSS","18","20210520_0809-1314_BOTTOM_0018_0001.mp4","0.98181","Priacanthidae","Priacanthus","spp",1,"-22.6838","113.5489","2021-05-20T13:14:58+08:00","Point Cloates","No-take","102","Yes","Yes","2021-05_PtCloates_BOSS_18"
"2021-05_PtCloates_BOSS","18","20210520_0809-1314_BOTTOM_0018_0001.mp4","0.43794","Sparidae","Dentex","spp",1,"-22.6838","113.5489","2021-05-20T13:14:58+08:00","Point Cloates","No-take","102","Yes","Yes","2021-05_PtCloates_BOSS_18"
"2021-05_PtCloates_BOSS","19","20210520_0809-1314_BOTTOM_0002_0001.mp4","2.63903","Pinguipedidae","Parapercis","nebulosa",1,"-22.7314","113.5313","2021-05-20T08:09:34+08:00","Point Cloates","No-take","106","Yes","Yes","2021-05_PtCloates_BOSS_19"
"2021-05_PtCloates_BOSS","19","20210520_0809-1314_BOTTOM_0002_0001.mp4","1.34245","Priacanthidae","Priacanthus","spp",1,"-22.7314","113.5313","2021-05-20T08:09:34+08:00","Point Cloates","No-take","106","Yes","Yes","2021-05_PtCloates_BOSS_19"
"2021-05_PtCloates_BOSS","20","20210520_0809-1314_BOTTOM_0010_0001.mp4","2.55561","Pinguipedidae","Parapercis","nebulosa",1,"-22.7187","113.5265","2021-05-20T10:35:39+08:00","Point Cloates","No-take","120","Yes","Yes","2021-05_PtCloates_BOSS_20"
"2021-05_PtCloates_BOSS","21","20210520_0809-1314_BOTTOM_0017_0001.mp4","0.00000","Chaetodontidae","Heniochus","acuminatus",2,"-22.6963","113.544","2021-05-20T12:33:40+08:00","Point Cloates","No-take","103","Yes","Yes","2021-05_PtCloates_BOSS_21"
"2021-05_PtCloates_BOSS","21","20210520_0809-1314_BOTTOM_0017_0001.mp4","0.98904","Cirrhitidae","Cyprinocirrhites","polyactis",3,"-22.6963","113.544","2021-05-20T12:33:40+08:00","Point Cloates","No-take","103","Yes","Yes","2021-05_PtCloates_BOSS_21"
"2021-05_PtCloates_BOSS","21","20210520_0809-1314_BOTTOM_0017_0001.mp4","2.03314","Labridae","Labroides","dimidiatus",1,"-22.6963","113.544","2021-05-20T12:33:40+08:00","Point Cloates","No-take","103","Yes","Yes","2021-05_PtCloates_BOSS_21"
