"unique_id","scientific","maxn","family","genus","species","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","method","length","number"
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso brachycentron",1,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_17","Acanthuridae Naso fageni",3,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","17",-22.7011,113.5532,20220522,"12:45:32",NA,NA,NA,86.5,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_17","Acanthuridae Naso fageni",3,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","17",-22.7011,113.5532,20220522,"12:45:32",NA,NA,NA,86.5,"Henry Evans","Yes","Yes","BRUV",NA,2
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",461.78535,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",418.49121,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",468.28655,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",424.86389,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",507.79467,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",402.01342,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",469.0101,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",453.1204,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",431.11951,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",515.94601,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",430.69459,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",423.07651,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",429.05406,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",476.30214,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",476.6083,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",371.27197,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
