"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id","method"
"270","Apogonidae Apogon sp1",125,"Apogonidae","Apogon","sp1","2022-05_PtCloates_Naked-BOSS",-22.7511,113.5387,"19/05/2022 3:37","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.270","BOSS"
"273","Apogonidae Apogon sp1",5,"Apogonidae","Apogon","sp1","2022-05_PtCloates_Naked-BOSS",-22.6741,113.5665,"27/05/2022 1:48","Point Cloates","No-take",77.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.273","BOSS"
"273","Apogonidae Ostorhinchus aureus",1,"Apogonidae","Ostorhinchus","aureus","2022-05_PtCloates_Naked-BOSS",-22.6741,113.5665,"27/05/2022 1:48","Point Cloates","No-take",77.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.273","BOSS"
"240","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_Naked-BOSS",-22.749,113.5509,"19/05/2022 4:18","Point Cloates","No-take",75,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.240","BOSS"
"267","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_Naked-BOSS",-22.6751,113.5615,"27/05/2022 2:02","Point Cloates","No-take",88.4,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.267","BOSS"
"225","Balistidae Unknown spp",1,"Balistidae","Unknown","spp","2022-05_PtCloates_Naked-BOSS",-22.7084,113.5624,"25/05/2022 6:33","Point Cloates","No-take",72.1,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.225","BOSS"
"201","Balistidae Xanthichthys lineopunctatus",1,"Balistidae","Xanthichthys","lineopunctatus","2022-05_PtCloates_Naked-BOSS",-22.7488,113.5378,"19/05/2022 3:50","Point Cloates","No-take",94.9,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.201","BOSS"
"262","Balistidae Xanthichthys lineopunctatus",1,"Balistidae","Xanthichthys","lineopunctatus","2022-05_PtCloates_Naked-BOSS",-22.7635,113.5347,"19/05/2022 2:45","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.262","BOSS"
"270","Balistidae Xanthichthys lineopunctatus",1,"Balistidae","Xanthichthys","lineopunctatus","2022-05_PtCloates_Naked-BOSS",-22.7511,113.5387,"19/05/2022 3:37","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.270","BOSS"
"273","Balistidae Xanthichthys lineopunctatus",1,"Balistidae","Xanthichthys","lineopunctatus","2022-05_PtCloates_Naked-BOSS",-22.6741,113.5665,"27/05/2022 1:48","Point Cloates","No-take",77.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.273","BOSS"
