"campaignid","sample","family","genus","species"
"2021-05_PtCloates_BOSS",12,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",13,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",21,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",29,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",33,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",34,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",34,"Unknown","Unknown","unknown"
"2021-05_PtCloates_BOSS",4,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",46,"SUS","SUS","sus"
"2021-05_PtCloates_BOSS",47,"Unknown","Unknown","unknown"
"2021-05_PtCloates_BOSS",48,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",201,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",201,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",203,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",203,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",204,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",207,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",208,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",210,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",210,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",211,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",213,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",216,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",219,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",220,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",221,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",221,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_Naked-BOSS",224,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",225,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",226,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",226,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",228,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",233,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",234,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",237,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",239,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",241,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_Naked-BOSS",246,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",249,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",251,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",254,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",255,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",257,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",257,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",258,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",259,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",259,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",260,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",262,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",262,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",264,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",264,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",265,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_Naked-BOSS",266,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_Naked-BOSS",266,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",267,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",270,"Apogonidae","Ostorhinchus","semilineatus"
"2022-05_PtCloates_Naked-BOSS",270,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",271,"Unknown","Unknown","unknown"
"2022-05_PtCloates_Naked-BOSS",272,"SUS","SUS","sus"
"2022-05_PtCloates_Naked-BOSS",273,"Apogonidae","Ostorhinchus","semilineatus"
"2022-05_PtCloates_Naked-BOSS",273,"SUS","SUS","sus"
