"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Carcharhinidae","Carcharhinus","plumbeus",22.907,22.907,22.907,125.64,125.64,125.64
"Scombridae","Scomberomorus","spp",12.992,12.992,12.992,96.34,96.34,96.34
"Carangidae","Gnathanodon","speciosus",7.263,13.616,4.936,63.25,71.45,88.75
"Carcharhinidae","Carcharhinus","spp",6.285,6.849,5.721,83.21,85.68,88.15
"Serranidae","Epinephelus","multinotatus",5.535,5.535,5.535,72.86,72.86,72.86
"Lutjanidae","Lutjanus","sebae",5.388,7.438,3.168,53.3,62.36,69.55
"Triakidae","Unknown","spp",5.086,5.086,5.086,100.76,100.76,100.76
"Serranidae","Plectropomus","spp",4.868,4.868,4.868,66.38,66.38,66.38
"Lutjanidae","Aphareus","rutilans",4.235,5.065,3.406,63.67,68.58,73.48
"Carangidae","Carangoides","spp",3.998,9.31,0.039,13.06,55.8,83.65
"Carcharhinidae","Carcharhinus","albimarginatus",3.961,4.56,3.363,65.73,69.12,72.52
"Carangidae","Carangoides","fulvoguttatus",3.571,3.571,3.571,62.15,62.15,62.15
"Lutjanidae","Pristipomoides","sp1",2.586,8.53,0.577,31.7,48.47,78.55
"Lethrinidae","Lethrinus","miniatus",2.13,3.447,0.85,36.31,47.37,55.67
"Carangidae","Carangoides","caeruleopinnatus",1.443,1.443,1.443,40.4,40.4,40.4
"Lethrinidae","Gymnocranius","sp1",1.35,3.221,0.393,27.16,39.98,55.42
"Carangidae","Carangoides","chrysophrys",1.172,1.682,0.663,32.74,38.98,45.21
"Pomacanthidae","Pomacanthus","semicirculatus",1.136,1.374,0.898,31.54,33.95,36.36
"Lethrinidae","Lethrinus","rubrioperculatus",1.051,1.297,0.581,31.52,38.05,41.43
"Balistidae","Xanthichthys","lineopunctatus",0.748,0.846,0.65,29.83,31.23,32.63
"Carangidae","Carangoides","gymnostethus",0.705,3.61,0.401,27.13,32.56,60.41
"Serranidae","Cephalopholis","sonnerati",0.694,1.308,0.079,17.59,29.47,41.35
"Lutjanidae","Pristipomoides","spp",0.603,0.603,0.603,32.17,32.17,32.17
"Lutjanidae","Lutjanus","lemniscatus",0.595,0.595,0.595,34.25,34.25,34.25
"Mullidae","Parupeneus","cyclostomus",0.584,0.816,0.405,27.45,30.66,34.39
"Labridae","Bodianus","bilunulatus",0.569,0.569,0.569,32.59,32.59,32.59
"Lethrinidae","Lethrinus","ravus",0.551,0.551,0.551,31.52,31.52,31.52
"Labridae","Bodianus","solatus",0.492,0.802,0.275,26.89,31.87,38.18
"Chaetodontidae","Heniochus","spp",0.389,0.389,0.389,24.32,24.32,24.32
"Serranidae","Epinephelus","areolatus",0.324,0.431,0.217,27.38,30.98,34.57
"Chaetodontidae","Heniochus","acuminatus",0.301,0.483,0.018,8.39,19.84,24.09
"Holocentridae","Sargocentron","rubrum",0.219,0.402,0.099,15.35,19.7,24.49
"Carangidae","Decapterus","muroadsi",0.207,0.498,0.084,18.32,24.02,33.22
"Carangidae","Unknown","spp",0.2,0.2,0.2,22.73,22.73,22.73
"Holocentridae","Sargocentron","spp",0.198,0.254,0.143,17.13,18.94,20.75
"Priacanthidae","Priacanthus","hamrur",0.144,0.144,0.144,20.61,20.61,20.61
"Carangidae","Pseudocaranx","spp",0.11,0.136,0.084,16.93,18.44,19.94
"Priacanthidae","Priacanthus","spp",0.108,0.108,0.108,18.57,18.57,18.57
"Clupeidae","Unknown","spp",0.088,0.123,0.059,18.37,20.87,23.46
"Caesionidae","Pterocaesio","chrysozona",0.055,0.076,0.035,12.15,14.21,16.26
"Serranidae","Pseudanthias","fasciatus",0.035,0.056,0.014,9.5,12.37,15.23
"Chaetodontidae","Chaetodon","assarius",0.022,0.034,0.01,7.43,9.38,11.34
"Apogonidae","Ostorhinchus","aureus",0.021,0.021,0.021,9.96,9.96,9.96
"Nemipteridae","Pentapodus","nagasakiensis",0.017,0.029,0.007,7.74,10.34,12.76
"Cirrhitidae","Cyprinocirrhites","polyactis",0.012,0.026,0.004,5.78,7.96,10.67
"Balistidae","Sufflamen","fraenatum",0.012,0.012,0.012,7.56,7.56,7.56
"Serranidae","Pseudanthias","spp",0.007,0.016,0.001,4.57,7.28,10.43
"Pinguipedidae","Parapercis","nebulosa",0.005,0.025,0.001,4.28,7.91,14.46
"Pomacentridae","Amblypomacentrus","breviceps",0.005,0.005,0.005,6.56,6.56,6.56
"Balistidae","Unknown","spp",0.004,0.004,0.004,4.89,4.89,4.89
"Monacanthidae","Unknown","spp",0.003,0.003,0.003,5.68,5.68,5.68
"Labridae","Labroides","dimidiatus",0.003,0.004,0.002,6,6.72,7.43
"Apogonidae","Ostorhinchus","semilineatus",0.003,0.006,0.001,4.39,5.37,7.05
"Microdesmidae","Ptereleotris","heteroptera",0.002,0.002,0.002,7.64,7.64,7.64
"Labridae","Suezichthys","cyanolaemus",0.002,0.002,0.002,7.28,7.28,7.28
