"campaignid","family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"2022-05_PtCloates_stereo-BRUVS","Stegostomatidae","Stegostoma","fasciatum",170.428,170.428,170.428,177.82,177.82,177.82
"2021-05_PtCloates_BRUVS","Dasyatidae","Taeniurops","meyeni",120.638,120.638,120.638,238.8,238.8,238.8
"2022-05_PtCloates_stereo-BRUVS","Dasyatidae","Taeniurops","meyeni",120.638,120.638,120.638,238.8,238.8,238.8
"2022-05_PtCloates_stereo-BRUVS","Serranidae","Epinephelus","coioides",34.711,34.711,34.711,122.32,122.32,122.32
"2022-05_PtCloates_stereo-BRUVS","Carcharhinidae","Carcharhinus","spp",33.852,61.766,5.938,84.21,131.16,178.11
"2022-05_PtCloates_stereo-BRUVS","Scombridae","Scomberomorus","commerson",17.744,17.744,17.744,128.97,128.97,128.97
"2022-05_PtCloates_stereo-BRUVS","Serranidae","Epinephelus","tukula",16.189,18.715,13.663,97.81,104.2,110.6
"2021-05_PtCloates_BRUVS","Carcharhinidae","Carcharhinus","plumbeus",14.359,32.513,7.192,85.52,103.53,141.13
"2022-05_PtCloates_stereo-BRUVS","Carcharhinidae","Carcharhinus","plumbeus",14.359,32.513,7.192,85.52,103.53,141.13
"2022-05_PtCloates_stereo-BRUVS","Sphyraenidae","Sphyraena","jello",14.121,14.121,14.121,114.68,114.68,114.68
"2021-05_PtCloates_BRUVS","Serranidae","Epinephelus","tukula",13.663,13.663,13.663,97.81,97.81,97.81
"2021-05_PtCloates_BRUVS","Carangidae","Seriola","sp1",11.781,29.365,2.396,52.79,84.75,123.49
"2021-05_PtCloates_BRUVS","Carcharhinidae","Loxodon","macrorhinus",10.952,17.182,4.723,68.22,85.84,103.47
"2021-05_PtCloates_BRUVS","Rhinidae","Rhynchobatus","australiae",10.672,12.543,8.801,108.83,115.37,121.91
"2022-05_PtCloates_stereo-BRUVS","Rhinidae","Rhynchobatus","australiae",10.672,12.543,8.801,108.83,115.37,121.91
"2021-05_PtCloates_BRUVS","Scombridae","Scomberomorus","spp",8.748,12.847,2.584,56.02,81.75,95.98
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Seriola","sp1",8.242,29.365,1.612,46.15,72.84,123.49
"2021-05_PtCloates_BRUVS","Serranidae","Epinephelus","rankini",7.818,7.818,7.818,77.4,77.4,77.4
