"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2022-05_PtCloates_stereo-BRUVS",9,"Mullidae","Unknown","na",0,2,2,Inf
"2022-05_PtCloates_stereo-BRUVS",9,"NA","Unknown","na",0,2,2,Inf
"2022-05_PtCloates_stereo-BRUVS",29,"NA","Unknown","na",0,2,2,Inf
"2022-05_PtCloates_stereo-BRUVS",36,"Mullidae","Unknown","na",0,2,2,Inf
"2022-05_PtCloates_stereo-BRUVS",40,"NA","Unknown","na",0,2,2,Inf
"2022-05_PtCloates_stereo-BRUVS",43,"Mullidae","Unknown","na",0,2,2,Inf
"2022-05_PtCloates_stereo-BRUVS",2,"Labridae","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",15,"Monacanthidae","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",29,"Labridae","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",32,"NA","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",33,"Acanthuridae","Naso","hexacanthus",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",37,"NA","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",43,"NA","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",45,"NA","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",51,"Labridae","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",51,"NA","Unknown","na",0,1,1,Inf
"2022-05_PtCloates_stereo-BRUVS",62,"Acanthuridae","Naso","hexacanthus",0,1,1,Inf
