Sample,PCO1,PCO2,Method
npz6.1,-0.208410369,0.013738097,BOSS
npz6.10,-0.565255101,-0.022217975,BOSS
npz6.11,0.255939048,-0.047444105,BOSS
npz6.12,-0.565255101,-0.022217975,BOSS
npz6.13,-0.451453323,0.020944203,BOSS
npz6.14,0.681886456,-0.114498464,BOSS
npz6.15,-0.565255101,-0.022217975,BOSS
npz6.16,-0.565255101,-0.022217975,BOSS
npz6.17,-0.417146353,0.058164823,BOSS
npz6.18,0.575634315,-0.047467333,BOSS
npz6.19,0.522573487,-0.220530482,BOSS
npz6.2,-0.093576339,0.172946748,BOSS
npz6.20,0.435594101,0.354191631,BOSS
npz6.21,0.248597843,-0.304678561,BOSS
npz6.23,-0.565255101,-0.022217975,BOSS
npz6.24,-0.136217906,-0.026844338,BOSS
npz6.25,-0.275662584,0.176701592,BOSS
npz6.26,0.649889034,-0.119898866,BOSS
npz6.27,-0.565255101,-0.022217975,BOSS
npz6.28,0.016268022,-0.421345104,BOSS
npz6.29,-0.057537432,-0.482989729,BOSS
npz6.3,-0.565255101,-0.022217975,BOSS
npz6.30,-0.565255101,-0.022217975,BOSS
npz6.31,-0.413960311,0.059816589,BOSS
npz6.32,-0.565255101,-0.022217975,BOSS
npz6.33,0.373286925,-0.201682954,BOSS
npz6.34,0.217534711,0.157084958,BOSS
npz6.35,-0.565255101,-0.022217975,BOSS
npz6.36,-0.416012762,0.050794006,BOSS
npz6.37,-0.041103337,-0.386864455,BOSS
npz6.38,0.803871419,-0.053402893,BOSS
npz6.39,0.768116516,-0.100549747,BOSS
npz6.4,-0.565255101,-0.022217975,BOSS
npz6.40,0.20186356,-0.342192106,BOSS
npz6.42,-0.140021387,-0.070549061,BOSS
npz6.43,0.622608044,0.148345677,BOSS
npz6.45,-0.442225365,-0.157055725,BOSS
npz6.46,0.031027151,-0.049726935,BOSS
npz6.47,-0.179964096,-0.390166911,BOSS
npz6.49,0.170437053,-0.384468418,BOSS
npz6.5,0.264711204,-0.412654708,BOSS
npz6.50,0.59180615,-0.097828661,BOSS
npz6.6,-0.438708592,0.002942383,BOSS
npz6.7,-0.565255101,-0.022217975,BOSS
npz6.8,-0.327003521,-0.122502732,BOSS
npz6.9,-0.449334259,0.029242562,BOSS
npz6.10,-0.069683405,0.474463189,BRUV
npz6.12,-0.565255101,-0.022217975,BRUV
npz6.13,-0.106072587,0.377205789,BRUV
npz6.14,0.571028042,0.107356099,BRUV
npz6.15,-0.44704412,0.031073955,BRUV
npz6.17,0.130071551,0.230081169,BRUV
npz6.18,-0.217115955,0.121773941,BRUV
npz6.2,0.350834106,-0.125670267,BRUV
npz6.20,0.480114177,-0.021203941,BRUV
npz6.21,0.590678684,0.238975712,BRUV
npz6.22,0.456438825,-0.179827122,BRUV
npz6.24,0.76374442,-0.031170818,BRUV
npz6.26,0.538322855,0.221782599,BRUV
npz6.27,0.616355617,0.084441522,BRUV
npz6.28,-0.36107194,0.112316509,BRUV
npz6.36,0.430040044,0.356205102,BRUV
npz6.4,0.355056651,0.225134497,BRUV
npz6.5,0.625993534,0.189453705,BRUV
npz6.6,0.598688483,0.043218652,BRUV
npz6.8,-0.272261491,0.040554038,BRUV
npz6.9,0.023549006,0.427239399,BRUV
npz6.BOSS41,-0.006845098,0.314059526,BRUV
npz6.C01,-0.196839977,0.281830362,BRUV
npz6.C02,-0.448972206,0.079969082,BRUV
