Sample,PCO1,PCO2,Method
1,0.542153737,0.157054236,BOSS
10,0.542153737,0.157054236,BOSS
12,0.315648506,-0.331404731,BOSS
13,0.315648506,-0.331404731,BOSS
15,0.542153737,0.157054236,BOSS
18,0.177385556,-0.038356302,BOSS
19,0.316976057,-0.341180898,BOSS
2,0.542153737,0.157054236,BOSS
20,0.415122265,-0.297762121,BOSS
201,0.020386455,-0.084262143,BOSS
202,0.409874686,0.086883982,BOSS
203,0.02757318,-0.06445037,BOSS
204,0.357675277,0.118423309,BOSS
205,0.542153737,0.157054236,BOSS
206,0.542153737,0.157054236,BOSS
207,0.131870624,0.15830046,BOSS
208,-0.005753452,-0.003550804,BOSS
209,0.542153737,0.157054236,BOSS
21,0.042278239,-0.262119078,BOSS
210,0.542153737,0.157054236,BOSS
211,0.109389068,-0.051775581,BOSS
212,0.220642677,-0.034021919,BOSS
213,0.542153737,0.157054236,BOSS
214,0.415122265,-0.297762121,BOSS
215,0.542153737,0.157054236,BOSS
216,0.132848746,-0.397178839,BOSS
217,0.409588406,0.081201596,BOSS
218,0.301065853,-0.45082799,BOSS
219,0.167855254,-0.009543936,BOSS
22,-0.685005438,-0.508100581,BOSS
220,0.389587878,0.052666892,BOSS
221,-0.120409561,0.137981017,BOSS
222,0.542153737,0.157054236,BOSS
223,0.404840016,0.075050487,BOSS
224,-0.180736913,-0.127136391,BOSS
225,0.409874686,0.086883982,BOSS
226,0.357675277,0.118423309,BOSS
227,0.542153737,0.157054236,BOSS
228,0.380406335,0.091652658,BOSS
229,0.415122265,-0.297762121,BOSS
230,0.415122265,-0.297762121,BOSS
231,0.542153737,0.157054236,BOSS
232,0.044990431,-0.273996583,BOSS
233,0.542153737,0.157054236,BOSS
234,0.542153737,0.157054236,BOSS
235,0.542153737,0.157054236,BOSS
236,0.542153737,0.157054236,BOSS
237,0.542153737,0.157054236,BOSS
238,0.542153737,0.157054236,BOSS
239,0.542153737,0.157054236,BOSS
24,0.542153737,0.157054236,BOSS
240,0.400663402,0.086839299,BOSS
241,0.168503863,0.112483034,BOSS
242,0.252515192,-0.005514622,BOSS
243,0.389587878,0.052666892,BOSS
244,0.346609419,-0.399432318,BOSS
245,0.542153737,0.157054236,BOSS
246,0.542153737,0.157054236,BOSS
247,0.542153737,0.157054236,BOSS
248,0.219265191,-0.299412541,BOSS
249,0.380406335,0.091652658,BOSS
25,0.195127314,-0.297360694,BOSS
250,0.415122265,-0.297762121,BOSS
251,0.415122265,-0.297762121,BOSS
252,0.542153737,0.157054236,BOSS
253,0.119468084,-0.435394833,BOSS
254,0.415122265,-0.297762121,BOSS
255,0.346609419,-0.399432318,BOSS
256,0.238056458,-0.314664858,BOSS
257,0.280558062,0.02315568,BOSS
258,0.218098304,-0.027236643,BOSS
259,0.130178211,-0.258499864,BOSS
26,0.542153737,0.157054236,BOSS
260,0.228868509,-0.01672552,BOSS
261,0.203248679,-0.009075152,BOSS
262,-0.008968976,-0.237146939,BOSS
263,0.542153737,0.157054236,BOSS
264,-0.073225499,-0.070018292,BOSS
265,-0.057003242,0.066156159,BOSS
266,0.142183659,0.192653676,BOSS
267,0.250773113,0.007657741,BOSS
268,0.166846898,0.068365819,BOSS
269,-0.098252849,-0.071399066,BOSS
27,0.542153737,0.157054236,BOSS
270,-0.274679777,-0.075266084,BOSS
271,0.236083628,-0.424107004,BOSS
272,0.208387494,-0.438406127,BOSS
273,-0.183403709,-0.116485459,BOSS
274,-0.036185404,-0.058217104,BOSS
28,0.396523785,0.091951688,BOSS
29,0.409874686,0.086883982,BOSS
30,0.542153737,0.157054236,BOSS
31,0.191635988,-0.310183432,BOSS
32,0.542153737,0.157054236,BOSS
33,0.334077106,0.087606926,BOSS
34,0.542153737,0.157054236,BOSS
36,0.542153737,0.157054236,BOSS
37,0.542153737,0.157054236,BOSS
39,0.542153737,0.157054236,BOSS
4,0.542153737,0.157054236,BOSS
40,0.346609419,-0.399432318,BOSS
42,0.542153737,0.157054236,BOSS
43,0.542153737,0.157054236,BOSS
44,0.542153737,0.157054236,BOSS
45,0.410763174,0.079022857,BOSS
46,0.542153737,0.157054236,BOSS
47,0.312876855,-0.331710616,BOSS
48,0.542153737,0.157054236,BOSS
49,0.301065853,-0.45082799,BOSS
50,0.202149047,-0.358948525,BOSS
7,0.542153737,0.157054236,BOSS
9,0.415122265,-0.297762121,BOSS
M1,0.542153737,0.157054236,BOSS
1,-0.51365034,0.220194779,BRUV
1,-0.51365034,0.220194779,BRUV
2,-0.458518582,0.074647315,BRUV
2,-0.458518582,0.074647315,BRUV
3,-0.569280504,0.167157374,BRUV
3,-0.569280504,0.167157374,BRUV
4,-0.530668848,0.04721114,BRUV
4,-0.530668848,0.04721114,BRUV
5,-0.509169552,-0.021720638,BRUV
5,-0.509169552,-0.021720638,BRUV
6,-0.540656072,0.099812284,BRUV
6,-0.540656072,0.099812284,BRUV
7,-0.552855761,0.095448506,BRUV
7,-0.552855761,0.095448506,BRUV
8,-0.542136501,0.173178582,BRUV
8,-0.542136501,0.173178582,BRUV
9,-0.484527845,0.088849895,BRUV
9,-0.484527845,0.088849895,BRUV
10,-0.137243013,-0.045174114,BRUV
10,-0.137243013,-0.045174114,BRUV
11,-0.492445137,0.218148771,BRUV
11,-0.492445137,0.218148771,BRUV
12,-0.533907321,0.066699395,BRUV
12,-0.533907321,0.066699395,BRUV
13,-0.522398982,0.05973307,BRUV
13,-0.522398982,0.05973307,BRUV
14,-0.251689116,0.151182663,BRUV
14,-0.251689116,0.151182663,BRUV
15,-0.527369474,0.0257713,BRUV
15,-0.527369474,0.0257713,BRUV
16,-0.545376494,0.133586827,BRUV
