Genus,species,PCO1,PCO2,r,vectors
Apogon,sp1,-0.046483659,-0.031293779,0.056035981,
Ostorhinchus,aureus,-0.030247929,-0.045635751,0.054749968,
Sufflamen,fraenatum,-0.272698825,0.008195361,0.272821944,
Unknown,spp,0.067598743,0.034038718,0.075685035,
Xanthichthys,lineopunctatus,-0.092490953,-0.093693761,0.131655221,
Pterocaesio,chrysozona,-0.030247929,-0.045635751,0.054749968,
Carangoides,chrysophrys,-0.530897691,0.103290058,0.540852285,Yes
Carangoides,coeruleopinnatus,0.067598743,0.034038718,0.075685035,
Carangoides,fulvoguttatus,-0.30546848,0.01608955,0.305891919,
Carangoides,gymnostethus,-0.162889611,0.004500829,0.16295178,
Carangoides,spp,-0.202127333,0.062965291,0.21170755,
Decapterus,spp,-0.434482101,0.060367119,0.43865577,
Gnathanodon,speciosus,-0.022971235,-0.026070831,0.034747171,
Pseudocaranx,spp,0.070835293,-0.060635997,0.093243567,
Seriola,spp,-0.09013411,-0.077511077,0.118878614,
Unknown,spp,-0.079980464,-0.011334299,0.080779583,
Carcharhinus,albimarginatus,-0.309692134,-0.020932037,0.310398725,
Carcharhinus,plumbeus,-0.274773101,0.053412303,0.279916293,
Carcharhinus,spp,-0.083850288,-0.101082379,0.131333614,
Chaetodon,assarius,-0.046184793,-0.03452402,0.057662319,
Heniochus,acuminatus,-0.123699183,-0.104176018,0.161722388,
Heniochus,diphreutes,-0.040511298,-0.056092962,0.069192381,
Heniochus,spp,0.035969948,-0.010670556,0.037519301,
Cyprinocirrhites,polyactis,-0.097455897,-0.054859705,0.111835768,
Unknown,spp,-0.112974791,-0.199059623,0.228884331,
Echeneis,naucrates,-0.43952467,0.163472256,0.468940416,
Unknown,spp,-0.039844048,0.025696469,0.047411567,
Sargocentron,rubrum,-0.030247929,-0.045635751,0.054749968,
Sargocentron,spp,0.073805596,-0.184073054,0.198318318,
Bodianus,bilunulatus,-0.012076744,-0.027431212,0.029971973,
Bodianus,solatus,-0.391908209,0.024791129,0.392691538,
Coris,caudimacula,-0.215437052,0.073461295,0.22761741,
Labroides,dimidiatus,-0.00194519,-0.095996683,0.096016389,
Suezichthys,cyanolaemus,-0.167556313,-0.065315763,0.179836778,
Gymnocranius,sp1,-0.688306951,0.293741116,0.748365086,Yes
Lethrinus,miniatus,-0.616380806,0.05916996,0.619214326,Yes
Lethrinus,ravus,-0.240601631,-0.118809084,0.268336996,
Lethrinus,rubrioperculatus,-0.676355858,0.15183049,0.693188101,Yes
Unknown,spp,-0.001479212,-0.09290755,0.092919325,
Aphareus,rutilans,-0.269206512,-0.015692699,0.269663507,
Lutjanus,lemniscatus,-0.050805189,-0.048221966,0.070046594,
Lutjanus,sebae,-0.336044069,0.036660877,0.338037921,
Pristipomoides,sp1,-0.596245458,0.295505858,0.665456504,Yes
Pristipomoides,spp,-0.03162653,-0.017068033,0.035938213,
Ptereleotris,heteroptera,-0.04530167,-0.029487151,0.054053061,
Unknown,spp,-0.078154076,-0.059813874,0.098416255,
Parupeneus,cyclostomus,-0.036295917,-0.037214555,0.051983812,
Parupeneus,spilurus,-0.039597043,-0.042131705,0.057818737,
Unknown,spp,-0.116857634,0.027571382,0.12006618,
Pentapodus,nagasakiensis,-0.415715258,-0.012937011,0.415916508,
Unknown,spp,-0.027394656,0.010019803,0.029169566,
Unknown,spp,0.036162398,-0.117301475,0.122749155,
Parapercis,nebulosa,-0.505586006,-0.345166219,0.612173937,Yes
Chaetodontoplus,spp,0.006972755,-0.102690937,0.102927391,
Pomacanthus,semicirculatus,-0.166387056,-0.059121605,0.176578641,
Amblypomacentrus,breviceps,0.03638958,-0.013328838,0.038753832,
Priacanthus,hamrur,0.007420064,-0.107344212,0.107600359,
Priacanthus,spp,0.073791722,-0.206970009,0.219731206,
Scomberomorus,spp,-0.297238372,0.013783677,0.297557792,
Cephalopholis,sonnerati,-0.04832273,-0.060750652,0.077625562,
Epinephelus,areolatus,-0.272277709,0.059982863,0.278806555,
Epinephelus,multinotatus,-0.182684392,-0.033085207,0.185656183,
Epinephelus,spp,-0.052081855,-0.075220578,0.091491283,
Plectropomus,spp,-0.107467494,-0.01792059,0.10895141,
Pseudanthias,fasciata,-0.04530167,-0.029487151,0.054053061,
Pseudanthias,georgei,-0.094721107,0.038660256,0.102306908,
Pseudanthias,spp,-0.027664797,-0.074848613,0.079797593,
Unknown,spp,0.006972755,-0.102690937,0.102927391,
Dentex,spp,-0.232215203,0.028673695,0.233978805,
Unknown,spp,0.067598743,0.034038718,0.075685035,
Naso,brachycentron,-0.059593691,-0.040595093,0.072106654,
Naso,fageni,-0.153277802,0.010532551,0.153639251,
Naso,hexacanthus,-0.08753443,-0.061882149,0.107199239,
Albula,argentea,-0.04969735,-0.000116102,0.049697486,
Apogon,spp,-0.127521076,0.074198504,0.147536582,
Unknown,spp,-0.167183016,0.173026865,0.240600201,
Abalistes,filamentosus,-0.361899839,0.246943185,0.438123761,
Abalistes,stellatus,-0.169580634,0.066420313,0.18212427,
Pseudobalistes,flavimarginatus,-0.059593691,-0.040595093,0.072106654,
Pseudobalistes,fuscus,-0.137520603,0.033168585,0.141464028,
Carangoides,caeruleopinnatus,-0.126763494,0.096189063,0.15912674,
Carangoides,equula,-0.134604007,0.026112724,0.137113505,
Caranx,ignobilis,-0.054383216,-0.000176938,0.054383504,
Caranx,lugubris,-0.052886123,-0.05602846,0.077046287,
Caranx,sexfasciatus,-0.055100555,-0.026093086,0.060966551,
Decapterus,muroadsi,-0.098375145,-0.019866848,0.100361152,
Seriola,dumerili,-0.169432162,0.109313138,0.201634868,
Seriola,rivoliana,-0.20834543,0.089494544,0.226753372,
Seriola,sp1,-0.166955291,0.048166446,0.173764426,
Seriolina,nigrofasciata,-0.195945076,0.128686134,0.234423962,
Unknown,sp10,-0.080186118,0.002023969,0.080211658,
Carcharhinus,macloti,-0.171802301,0.059383384,0.181775733,
Galeocerdo,cuvier,-0.129269894,0.05301523,0.139718718,
Hemitriakis,spp,-0.123310637,0.014314225,0.124138674,
Loxodon,macrorhinus,-0.205854926,0.089436644,0.224444122,
Unknown,spp,-0.162999199,0.053043821,0.17141291,
Cirrhitichthys,aprinus,-0.215919514,0.062744222,0.224851226,
Paracirrhites,forsteri,-0.172114073,0.006025963,0.17221953,
Taeniurops,meyeni,-0.13400867,0.075235848,0.15368395,
Platax,batavianus,-0.072810448,-0.025410615,0.077117188,
Fistularia,commersonii,-0.156842031,0.000778067,0.156843961,
Diagramma,pictum,-0.193858918,0.026199239,0.195621268,
Bodianus,izuensis,-0.133668086,0.024321573,0.135862784,
Choerodon,sp1,-0.253698234,-0.030826324,0.255564192,
Choerodon,zamboangae,-0.27709732,0.04496004,0.280721089,
Diproctacanthus,xanthurus,-0.050314527,-0.007952456,0.050939113,
Oxycheilinus,orientalis,-0.165446919,-0.041650866,0.170609137,
Unknown,spp,-0.128969446,-0.012578125,0.129581354,
Gymnocranius,euanus,-0.446017422,0.042451803,0.448033142,
Gymnocranius,grandoculis,-0.194027602,0.07201286,0.206960292,
Lethrinus,nebulosus,-0.3790329,0.101277215,0.392330235,
Lethrinus,olivaceus,-0.070085121,0.011103272,0.070959192,
Lethrinus,spp,-0.095199383,-0.019888116,0.097254613,
Aprion,virescens,-0.123310637,0.014314225,0.124138674,
Pristipomoides,filamentosus,-0.188318388,0.081348493,0.205137496,
Pristipomoides,multidens,-0.205689148,0.115235545,0.235769499,
Pristipomoides,typus,-0.072810448,-0.025410615,0.077117188,
Malacanthus,brevirostris,-0.174373359,-0.042459205,0.179468249,
Malacanthus,latovittatus,-0.119485794,0.039107329,0.125722863,
Ptereleotris,spp,-0.133110362,0.092844686,0.162291418,
Aluterus,monoceros,-0.051091919,0.041715976,0.06595913,
Mulloidichthys,flavolineatus,-0.161769948,0.037953355,0.16616249,
Parupeneus,chrysopleuron,-0.107211777,0.041461566,0.11494967,
Parupeneus,heptacanthus,-0.21598681,0.028740985,0.217890675,
Upeneus,moluccensis,-0.136529759,0.027022061,0.139178184,
Gymnothorax,berndti,-0.058850477,0.083971808,0.102540935,
Gymnothorax,javanicus,-0.167183016,0.173026865,0.240600201,
Gymnothorax,pseudothyrsoideus,-0.055465329,0.038802486,0.067690735,
Gymnothorax,sp1,-0.129716437,0.021894413,0.131551204,
Nemipterus,spp,-0.143500761,0.060137812,0.155592496,
Nemipterus,virgatus,-0.051091919,0.041715976,0.06595913,
Parascolopsis,eriomma,-0.172684155,0.11443681,0.207160809,
Parascolopsis,inermis,-0.127661808,-0.038457523,0.133328611,
Pentapodus,spp,-0.185619055,0.07001517,0.198384873,
Pentapodus,vitta,-0.067448759,-0.07241422,0.098960368,
Parapercis,clathrata,-0.061863626,-0.034924587,0.07104108,
Parapercis,spp,-0.138066077,0.097677109,0.16912439,
Apolemichthys,trimaculatus,-0.18819306,0.034689102,0.191363428,
Chaetodontoplus,personifer,-0.087523325,-0.022825336,0.090450696,
Pomacanthus,imperator,-0.107211777,0.041461566,0.11494967,
Pterois,antennata,-0.1201028,0.122303401,0.171414131,
Rhinobatos,sainsburyi,-0.058850477,0.083971808,0.102540935,
