Sample,PCO1,PCO3,Method
1,-0.186615319,0.224150562,BOSS
110,-0.493643581,-0.248759797,BOSS
113,-0.57895032,0.062710826,BOSS
115,-0.534389795,-0.303845474,BOSS
117,-0.578720065,-0.114699189,BOSS
204,-0.249494768,0.2480304,BOSS
206,-0.111719754,0.146049522,BOSS
207,-0.110728787,0.130724224,BOSS
215,-0.49122759,0.115143435,BOSS
216,-0.079964445,0.272827406,BOSS
217,-0.288426608,-0.183249863,BOSS
235,0.323527678,-0.030041622,BOSS
295,-0.597794186,0.247064315,BOSS
297,-0.520056917,-0.255344918,BOSS
3,-0.152728993,0.307864032,BOSS
302,-0.57895032,0.062710826,BOSS
307,-0.597794186,0.247064315,BOSS
308,-0.58625505,0.301747979,BOSS
310,-0.202814164,0.249476677,BOSS
311,-0.348577499,0.158292436,BOSS
312,-0.226342141,-0.007455715,BOSS
313,-0.563934819,0.26788914,BOSS
329,0.189074175,-0.357223503,BOSS
331,-0.476645676,-0.058678717,BOSS
333,-0.063747492,-0.054571883,BOSS
334,-0.315858905,0.128542969,BOSS
335,0.252003312,0.039500467,BOSS
356,0.151173538,-0.196515119,BOSS
377,-0.540633531,-0.259565466,BOSS
4,-0.321568798,0.164026409,BOSS
5,-0.130745767,0.214458225,BOSS
58,-0.597794186,0.247064315,BOSS
59,-0.597794186,0.247064315,BOSS
62,-0.597794186,0.247064315,BOSS
95,-0.598920386,-0.097214862,BOSS
96,-0.4315503,-0.276383458,BOSS
98,-0.378114111,-0.010187833,BOSS
J1,0.021024891,0.049652422,BOSS
J10,0.534253585,0.121509232,BOSS
J11,0.293836588,0.115807696,BOSS
J12,0.600263761,0.065429474,BOSS
J13,0.473871481,-0.012466649,BOSS
J14,-0.11005289,0.167833012,BOSS
J15,0.413999517,0.164275584,BOSS
J16,-0.112559044,0.124785504,BOSS
J17,0.122563224,-0.015562367,BOSS
J18,0.189845009,0.172515281,BOSS
J2,0.633894091,0.061639938,BOSS
J24,-0.160252939,0.254194032,BOSS
J25,0.204807328,0.131964138,BOSS
J26,-0.312662709,0.251226304,BOSS
