Family,Genus,Species,PCO1,PCO3,r,vectors
Acanthuridae,Naso,tuberosus,0.04198566,-0.031808076,0.052673991,
Aracanidae,Anoplocapros,lenticularis,0.045148174,-0.109165343,0.118133102,
Berycidae,Centroberyx,gerrardi,-0.023847249,-0.046102405,0.051904942,
Berycidae,Centroberyx,sp1,0.019420178,-0.113352262,0.11500382,
Callanthiidae,Callanthias,australis,-0.011951636,-0.113107024,0.113736715,
Carangidae,Carangoides,sp1,-0.036770059,-0.030196705,0.047580229,
Carangidae,Carangoides,sp10,-0.012906862,-0.040099333,0.042125332,
Carangidae,Pseudocaranx,spp,-0.16943429,-0.508308435,0.535803549,Yes
Carangidae,Seriola,hippos,0.071738892,-0.128634186,0.147286192,
Carangidae,Seriola,lalandi,-0.032074444,0.018718745,0.037137062,
Carangidae,Unknown,sp10,0.023808476,-0.052649469,0.057782438,
Chaetodontidae,Chelmonops,curiosus,0.059991974,-0.037303583,0.070644138,
Cheilodactylidae,Dactylophora,nigricans,0.023333159,0.00279954,0.023500504,
Cheilodactylidae,Nemadactylus,valenciennesi,0.191915326,-0.237695684,0.305500787,
Dasyatidae,Bathytoshia,brevicaudata,0.037743503,-0.149179371,0.153880007,
Diodontidae,Diodon,nicthemerus,0.044027118,-0.063429742,0.077212171,
Enoplosidae,Enoplosus,armatus,0.02758427,-0.102398423,0.106048711,
Gerreidae,Parequula,elongata,-0.059169331,-0.002514723,0.059222745,
Gerreidae,Parequula,melbournensis,0.158718765,-0.074862627,0.17548806,
Glaucosomatidae,Glaucosoma,hebraicum,0.148512812,-0.144214346,0.207011674,
Kyphosidae,Girella,tephraeops,0.023656449,-0.048506989,0.053968098,
Labridae,Achoerodus,gouldii,0.101085149,-0.058896672,0.116991561,
Labridae,Austrolabrus,maculatus,0.307064763,-0.109630957,0.32604864,
Labridae,Bodianus,frenchii,0.126838914,-0.089889289,0.155461231,
Labridae,Bodianus,vulpinus,-0.04799604,-0.13460036,0.142901633,
Labridae,Choerodon,rubescens,0.108620269,-0.156036924,0.19012071,
Labridae,Coris,auricularis,0.204722598,-0.125641637,0.240202338,
Labridae,Dotalabrus,aurantiacus,0.103151006,-0.000491103,0.103152175,
Labridae,Eupetrichthys,angustipes,0.1633351,-0.10405186,0.19366245,
Labridae,Notolabrus,parilus,0.144802979,-0.120080897,0.188115189,
Labridae,Ophthalmolepis,lineolatus,0.574176294,-0.105116303,0.583718985,Yes
Labridae,Pseudolabrus,biserialis,0.705446213,-0.101064883,0.712648911,Yes
Labridae,Suezichthys,bifurcatus,-0.275620389,0.272182302,0.387362626,
Labridae,Unknown,spp,0.066574488,0.003305014,0.066656475,
Monacanthidae,Acanthaluteres,vittiger,0.055914112,-0.050868981,0.075591277,
Monacanthidae,Meuschenia,flavolineata,0.134947309,-0.157819844,0.207648451,
Monacanthidae,Meuschenia,freycineti,0.054904565,-0.135175166,0.145900091,
Monacanthidae,Meuschenia,galii,0.261794784,-0.156298756,0.304902951,
Monacanthidae,Meuschenia,hippocrepis,0.041595961,-0.04605598,0.062059466,
Monacanthidae,Meuschenia,scaber,-0.140703545,0.149647387,0.205406495,
Monacanthidae,Meuschenia,venusta,0.076250038,0.004891968,0.076406804,
Monacanthidae,Nelusetta,ayraud,-0.395649458,-0.690161296,0.79552568,Yes
Monacanthidae,Unknown,spp,-0.036536243,0.068311865,0.077468754,
Monocentridae,Cleidopus,gloriamaris,0.035847763,0.017585197,0.039928703,
Mullidae,Parupeneus,chrysopleuron,-0.101418422,0.126265071,0.161952352,
Mullidae,Upeneichthys,vlamingii,0.308146322,-0.127765825,0.333583965,
Neosebastidae,Neosebastes,bougainvillii,-0.091349382,-0.171896395,0.19466145,
Neosebastidae,Neosebastes,nigropunctatus,-0.127269301,-0.258941188,0.288527319,
Neosebastidae,Neosebastes,pandus,-0.081591863,-0.15349809,0.173835829,
Neosebastidae,Neosebastes,sp1,0,0,0,
Odacidae,Olisthops,cyanomelas,0.057133376,-0.009961705,0.05799533,
Odacidae,Siphonognathus,spp,0.079809835,-0.02575919,0.083863852,
Odontaspididae,Carcharias,taurus,0,0,0,
Oplegnathidae,Oplegnathus,woodwardi,-0.308429013,-0.515873508,0.601044035,Yes
Orectolobidae,Orectolobus,spp,0.020831249,-0.135008017,0.136605657,
Ostraciidae,Aracana,aurita,0.034744635,-0.029411281,0.045521568,
Parascylliidae,Parascyllium,variolatum,-0.047036391,0.01729003,0.050113543,
Pempheridae,Parapriacanthus,elongatus,0.076202188,-0.118437347,0.140833869,
