OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-2	1	20210519_1108-1552_BOTTOM2_0003_0001.mp4	67231	20210519_1108-1552_TOP2_0004_0001.mp4	17609	56.69386	34	0.82777	-936.83068	-1254.85815	-2540.90084	4.87459	6.63937	13.05561	1.27082	2984.71067	31.94538	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	2	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6817	20210519_1108-1552_TOP2_0004_0001.mp4	25527	58.89550	34	3.02942	-1015.67655	-1288.18466	-5113.91017	10.78627	14.00982	53.40895	1.12820	5370.57686	18.07921	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	4	20210519_1108-1552_BOTTOM2_0004_0001.mp4	53885	20210519_1108-1552_TOP2_0005_0001.mp4	4263	71.98302	47	2.40518	-1112.39534	2028.57608	-3328.63447	7.40362	13.25717	21.98892	2.83733	4053.68373	34.47473	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	5	20210519_1108-1552_BOTTOM2_0004_0001.mp4	55362	20210519_1108-1552_TOP2_0005_0001.mp4	5740	72.39371	47	2.81587	-859.47565	-1565.48934	-2553.20764	4.40260	8.02519	12.81234	0.77784	3115.81844	35.29891	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	6	20210519_1108-1552_BOTTOM2_0005_0001.mp4	37205	20210519_1108-1552_TOP2_0005_0001.mp4	55915	86.34515	48	0.25831	-926.38541	-1488.81987	-2648.76084	4.96126	8.03953	13.97504	1.61267	3176.58756	33.82186	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	8	20210519_1108-1552_BOTTOM2_0006_0001.mp4	50048	20210519_1108-1552_TOP2_0007_0001.mp4	426	108.91603	29	2.61428	-472.19375	732.63697	-1531.57445	1.56211	2.36413	4.68963	0.19220	1762.22705	29.93129	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	9	20210519_1108-1552_BOTTOM2_0006_0001.mp4	50048	20210519_1108-1552_TOP2_0007_0001.mp4	426	108.91603	29	2.61428	-454.73921	408.09533	-1453.89155	1.48025	1.42606	4.33995	0.18806	1577.06379	23.02386	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	11	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17793	20210519_1108-1552_TOP2_0007_0001.mp4	36503	118.94744	40	0.21021	-616.85617	-817.68611	-1838.46330	2.37641	3.04222	6.76642	1.41528	2104.53544	28.64104	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	12	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	20210519_1108-1552_TOP2_0011_0001.mp4	16677	189.43480	49	0.21104	-951.64104	-1080.12399	-2495.45537	4.90802	5.71754	12.73643	0.95050	2880.90021	30.25975	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	13	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	20210519_1108-1552_TOP2_0011_0001.mp4	16677	189.43480	49	0.21104	-835.71155	155.88860	-1955.86735	3.49942	1.14304	8.10663	1.96517	2132.63503	23.42675	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
