OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210519-1	0	0	2908.87218	211.67038	2896.84211	223.69710
20210519-1	0	1	2379.54887	175.59020	2384.36090	211.67038
20210519-2	0	0	1825.96607	776.63158	1879.16965	844.56579
20210519-2	0	1	1708.11289	761.82895	1748.87970	830.35526
20210519-2	1	0	1691.01481	2042.76316	1577.07341	2152.89474
20210519-2	2	0	1333.94753	1837.29851	1281.30745	1809.05970
20210519-2	3	0	622.22772	1663.62376	609.75248	1598.71287
20210519-2	3	1	826.58416	1734.91089	806.98020	1670.59406
20210519-2	4	0	38.01980	1934.25743	4.75248	1889.10891
20210519-2	5	0	1889.10891	2012.67327	1772.67327	2143.36634
20210519-2	6	0	1800.37014	2029.73684	1689.03146	2141.05263
20210519-2	7	0	1936.29703	680.73267	1939.21782	591.89109
20210519-2	7	1	2262.43564	661.72277	2256.44554	564.56436
20210519-2	8	0	2128.91055	1875.57895	2245.22147	2146.97368
20210519-2	9	0	2437.46083	1865.51316	2528.30598	2152.89474
20210519-2	10	0	1579.40284	859.26316	1615.62616	1009.82895
20210519-2	10	1	1549.19926	878.21053	1583.64590	1027.59211
20210519-2	11	0	1578.15052	919.22368	1615.49105	1071.44737
20210519-2	12	0	1594.72277	2051.28713	1484.48515	2157.02970
20210519-2	13	0	836.43564	2031.68317	764.28713	2156.43564
20210519-2	14	0	788.26733	963.47525	848.31683	1069.30693
20210519-2	15	0	2508.13140	1743.97368	2575.47070	1757.86842
20210519-2	15	1	2560.83961	1742.78947	2626.40222	1754.31579
20210519-2	16	0	381.39420	793.97368	459.56817	1025.69737
20210519-2	16	1	345.86058	780.35526	424.62677	1007.93421
20210519-2	17	0	1117.69463	1859.86842	1048.95682	2136.90789
20210519-2	18	0	27.83467	1463.52632	7.69895	1771.52632
20210519-2	18	1	308.55028	1571.88158	282.49229	1939.68421
20210520-1	0	0	948.11881	955.24752	998.01980	1069.30693
20210520-1	1	0	3260.19802	1050.29703	3200.79208	1074.05941
20210520-1	2	0	2044.96327	1644.17910	2147.92025	1734.85075
20210520-1	2	1	1932.14061	1609.92537	2035.09759	1736.86567
20210520-1	3	0	2085.25708	1628.05970	2151.94963	1682.46269
20210520-1	3	1	1984.52256	1599.85075	2079.42078	1676.41791
20210520-1	4	0	3310.66527	336.49254	3306.10703	473.50746
20210520-1	4	1	3105.16684	350.59701	3106.65268	481.56716
20210520-1	5	0	3012.49108	370.74627	3022.03568	372.76119
20210520-1	5	1	2935.93284	382.83582	2937.41868	372.76119
20210520-1	6	0	2986.30010	501.71642	2991.81532	531.94030
20210520-1	6	1	2907.72718	507.76119	2901.15425	533.95522
20210520-1	7	0	3195.29906	507.52239	3193.28437	552.08955
20210520-1	7	1	3100.60860	507.52239	3086.50577	550.07463
20210520-1	8	0	3289.98951	537.74627	3277.90136	542.01493
20210520-1	8	1	3205.37251	529.68657	3201.34313	529.92537
20210520-1	9	0	3400.79748	473.26866	3384.67996	481.56716
20210520-1	9	1	3302.07765	473.26866	3292.00420	471.49254
20210520-1	10	0	3453.17943	336.25373	3453.17943	415.07463
20210520-1	10	1	3344.38615	328.19403	3362.51836	380.82090
20210520-1	11	0	3509.59077	358.41791	3491.45855	461.41791
20210520-1	11	1	3374.60651	382.59701	3374.60651	459.40299
20210520-1	12	0	3467.28227	509.53731	3455.19412	511.79104
20210520-1	12	1	3392.73872	491.40299	3380.65058	493.65672
20210520-1	13	0	3602.26653	366.71642	3602.26653	483.58209
20210520-1	14	0	3449.15005	501.71642	3449.15005	509.77612
20210520-1	14	1	3380.65058	499.70149	3376.62120	505.74627
20210520-1	15	0	3537.79643	346.56716	3555.92865	413.05970
20210520-1	15	1	3443.10598	352.61194	3443.10598	409.02985
20210520-1	16	0	3682.85414	267.98507	3709.04512	372.76119
20210520-1	16	1	3563.98741	257.91045	3588.16369	342.53731
20210520-1	17	0	3743.29486	173.28358	3769.48583	342.53731
20210520-1	17	1	3604.28122	185.37313	3598.23715	326.41791
20210520-1	18	0	3541.82581	451.34328	3539.81112	509.77612
20210520-1	18	1	3451.16474	443.28358	3445.12067	493.65672
20210520-1	19	0	3658.67786	370.74627	3640.54565	501.71642
20210520-1	19	1	3553.91396	372.76119	3545.85519	481.56716
20210520-1	20	0	3350.43022	171.26866	3380.65058	276.04478
20210520-1	20	1	3259.76915	195.44776	3277.90136	274.02985
20210520-1	21	0	3519.66422	195.44776	3543.84050	344.55224
20210520-1	21	1	3402.81217	219.62687	3414.90031	340.52239
20210520-1	22	0	3561.97272	344.55224	3584.13431	447.31343
20210520-1	22	1	3457.20881	348.58209	3471.31165	431.19403
