OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-1	0	20210519_1108-1552_TOP_0004_0001.mp4	31828	20210519_1108-1552_BOTTOM_0004_0001.mp4	27637	65.84995	28	2.38739	1256.36758	10.66851	6.36515	3739.52586	13.75441	83.57087	79.64725	-669.98575	-584.49907	-3632.29040	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
20210519-2	0	20210519_1108-1552_BOTTOM2_0001_0001.mp4	52893	20210519_1108-1552_TOP2_0002_0001.mp4	3271	14.70719	45	2.50695	199.42240	9.47207	5.16127	2859.64356	30.83270	48.85917	83.29653	-481.83275	-1384.19714	-2455.48300	Carangidae	Pseudocaranx	spp		1	AD	Passing			
20210519-2	3	20210519_1108-1552_BOTTOM2_0004_0001.mp4	49878	20210519_1108-1552_TOP2_0005_0001.mp4	256	70.86885	47	1.29101	832.14277	42.68655	17.30437	5305.39246	11.63053	60.82410	52.48540	-665.31197	837.45534	-5196.46204	Carcharhinidae	Carcharhinus	spp		1	AD	Passing			
20210519-2	7	20210519_1108-1552_BOTTOM2_0006_0001.mp4	43090	20210519_1108-1552_TOP2_0006_0001.mp4	61799	106.98132	29	0.67957	1007.59175	54.75359	6.60349	5160.03353	27.66196	89.83201	27.56649	-494.16698	2344.04294	-4570.25248	Triakidae		spp		1	AD	Passing			
20210519-2	10	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17793	20210519_1108-1552_TOP2_0007_0001.mp4	36503	118.94744	40	0.21021	46.12536	4.06632	1.00941	2106.23034	27.84460	6.51872	57.13405	-560.32041	-808.60365	-1862.36608	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	15	20210519_1108-1552_BOTTOM2_0011_0001.mp4	57783	20210519_1108-1552_TOP2_0012_0001.mp4	8162	206.06697	31	1.69225	130.62291	11.73939	0.86245	3864.21560	14.08678	86.12533	79.24652	-479.40741	809.15986	-3748.01162	Carangidae	Carangoides	spp		1	AD	Passing			
20210519-2	16	20210519_1108-1552_BOTTOM2_0011_0001.mp4	58163	20210519_1108-1552_TOP2_0012_0001.mp4	8542	206.17263	31	1.79791	50.42008	3.81315	3.30443	1718.59753	25.67112	65.03022	62.46168	-468.64995	578.49333	-1548.96422	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	18	20210519_1108-1552_BOTTOM2_0011_0001.mp4	61169	20210519_1108-1552_TOP2_0012_0001.mp4	11548	207.00847	31	2.63374	321.70616	2.77387	11.38244	1403.95675	29.47344	58.45914	62.56625	-214.96710	656.47476	-1222.26208	Lutjanidae	Pristipomoides	spp		1	AD	Passing			
20210520-1	2	20210520_0809-1314_BOTTOM_0003_0001.mp4	11510	20210520_0809-1314_TOP_0003_0001.mp4	3760	41.20033	22	1.05633	307.49300	19.38272	7.66163	3051.74443	29.54149	79.81792	1.82637	-207.15441	1490.34597	-2655.01412	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	3	20210520_0809-1314_BOTTOM_0003_0001.mp4	11510	20210520_0809-1314_TOP_0003_0001.mp4	3760	41.20033	22	1.05633	276.20574	27.40307	17.79822	3606.50959	28.45675	79.29105	4.80225	-171.48941	1709.90668	-3170.76047	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	4	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	332.19886	4.28597	2.94639	2356.18591	12.96457	59.33226	80.09488	134.45095	-511.22210	-2296.12433	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	5	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	241.25922	22.78866	5.73997	3813.11320	5.68611	85.08122	55.66925	295.57882	-235.29590	-3794.35123	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	6	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	189.72169	4.92949	13.81408	3229.04858	2.86298	62.09421	80.71797	-66.67375	-146.85708	-3225.01819	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	7	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	241.75177	9.76932	7.80501	3234.17936	10.34127	87.36950	73.35168	-76.23544	-575.54309	-3181.64336	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	8	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	229.35258	11.92640	4.76909	4167.00151	14.00952	35.72577	83.13191	-103.99259	-1003.38577	-4043.05629	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	9	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	260.84914	24.03889	17.34009	4367.90218	17.50192	85.17737	66.28757	70.97581	-1311.67422	-4165.69833	Carangidae	Decapterus	spp		1	AD	Passing			
20210520-1	10	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	300.39055	24.48201	10.39168	3302.54330	19.95760	76.45435	22.94698	289.65809	-1089.38858	-3104.21052	Carangidae	Decapterus	spp		1	AD	Passing			
