Sample,Longitude,Latitude,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Habitat.Length.analyst,Length.Habitat.Date,Type,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes,Date.time
36,113.4711,-22.7564,outNP.12,Point Cloates,Fished,215,Molly Gerrans,Yes,Yes,,,MBH,water sample,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T11:08:39+08:00
28,113.4762,-22.7585,outNP.4,Point Cloates,Fished,206,Molly Gerrans,Yes,Yes,,,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T11:26:56+08:00
32,113.4863,-22.7537,outNP.8,Point Cloates,Fished,194,Molly Gerrans,Yes,Yes,,,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T11:44:58+08:00
45,113.4889,-22.7512,outNP.21,Point Cloates,Fished,191,Molly Gerrans,Yes,Yes,,,MBH,south cameras synced seperately. Water sample,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,Check pseudocaranx,2021-05-19T12:28:38+08:00
43,113.4991,-22.7587,outNP.19,Point Cloates,Fished,160,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T12:47:43+08:00
27,113.4964,-22.7635,outNP.3,Point Cloates,Fished,162,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T13:00:25+08:00
34,113.4889,-22.7662,outNP.10,Point Cloates,Fished,179,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T13:14:53+08:00
47,113.4839,-22.7637,outNP.23,Point Cloates,Fished,190,Molly Gerrans,Yes,Yes,,,MBH,Water sample. Forgot to show whiteboard before,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T13:28:30+08:00
48,113.4688,-22.7712,outNP.24,Point Cloates,Fished,208,Molly Gerrans,Yes,Yes,,,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T13:44:57+08:00
29,113.494,-22.7758,outNP.5,Point Cloates,Fished,152,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T14:05:09+08:00
40,113.4964,-22.7809,outNP.16,Point Cloates,Fished,138,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T14:17:36+08:00
37,113.4886,-22.7836,outNP.13,Point Cloates,Fished,156,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,water sample,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T14:32:03+08:00
30,113.4839,-22.7887,outNP.6,Point Cloates,Fished,169,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T14:46:48+08:00
42,113.4764,-22.7887,outNP.18,Point Cloates,Fished,184,Molly Gerrans,Yes,Yes,,,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T15:00:24+08:00
39,113.4843,-22.7938,outNP.15,Point Cloates,Fished,156,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T15:14:50+08:00
49,113.4864,-22.7986,outNP.25,Point Cloates,Fished,148,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,water sample,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T15:28:04+08:00
31,113.5041,-22.7936,outNP.7,Point Cloates,Fished,116,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-19T15:43:13+08:00
44,113.5064,-22.7912,outNP.20,Point Cloates,Fished,114,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,No CTD data,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-19T15:52:58+08:00
19,113.5313,-22.7314,inNP.19,Point Cloates,No-take,106,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,water sample,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-20T08:09:34+08:00
22,113.5337,-22.7438,inNP.22,Point Cloates,No-take,96.4,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-20T08:23:06+08:00
7,113.5314,-22.7462,inNP.7,Point Cloates,No-take,99.6,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish,2021-05-20T08:33:28+08:00
46,113.5214,-22.7463,outNP.22,Point Cloates,Fished,113,Molly Gerrans,Yes,Yes,Kat,20/02/2023,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-20T08:47:47+08:00
26,113.5089,-22.7388,outNP.2,Point Cloates,Fished,152,Molly Gerrans,Yes,Yes,,,MBH,Water sample. Checked cameras after site - all working.,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,no fish ,2021-05-20T09:03:48+08:00
25,113.4913,-22.7262,outNP.1,Point Cloates,Fished,208,Molly Gerrans,Yes,Yes,,,MBH,,RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230517,Levi Peters,Levi Peters,20230601,,2021-05-20T09:21:43+08:00
M1,113.4986,-22.7228,outNP.9,Point Cloates,Fished,197,Molly Gerrans,Yes,Yes,,,MBH,"Showed 33. Arc point missing, mystery point 1",RAW1,CON1,Yes,Gabby Cummins,NA,NA,Molly Gerrans,20230518,Levi Peters,Levi Peters,20230601,no fish,2021-05-20T09:38:21+08:00
