OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210519-1	0	36	20210519_1108-1552_TOP_0003_0001.mp4	25592	45.11590	20210519_1108-1552_TOP_0003_0001.mp4	36423	48.12752	1
20210519-1	1	28	20210519_1108-1552_TOP_0004_0001.mp4	23242	63.46257	20210519_1108-1552_TOP_0004_0001.mp4	34073	66.47419	1
20210519-1	2	32	20210519_1108-1552_TOP_0005_0001.mp4	19560	81.43886	20210519_1108-1552_TOP_0005_0001.mp4	30439	84.46382	1
20210519-2	0	45	20210519_1108-1552_BOTTOM2_0001_0001.mp4	43877	12.20024	20210519_1108-1552_BOTTOM2_0001_0001.mp4	54740	15.22076	1
20210519-2	1	43	20210519_1108-1552_BOTTOM2_0002_0001.mp4	35358	28.83158	20210519_1108-1552_BOTTOM2_0002_0001.mp4	46224	31.85293	1
20210519-2	2	27	20210519_1108-1552_BOTTOM2_0003_0001.mp4	12814	41.56291	20210519_1108-1552_BOTTOM2_0003_0001.mp4	23608	44.56424	1
20210519-2	3	34	20210519_1108-1552_BOTTOM2_0003_0001.mp4	64254	55.86609	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6817	58.89550	1
20210519-2	4	47	20210519_1108-1552_BOTTOM2_0004_0001.mp4	45235	69.57784	20210519_1108-1552_BOTTOM2_0004_0001.mp4	56100	72.59892	1
20210519-2	5	48	20210519_1108-1552_BOTTOM2_0005_0001.mp4	36276	86.08683	20210519_1108-1552_BOTTOM2_0005_0001.mp4	47123	89.10290	1
20210519-2	6	29	20210519_1108-1552_BOTTOM2_0006_0001.mp4	40646	106.30175	20210519_1108-1552_BOTTOM2_0006_0001.mp4	51476	109.31309	1
20210519-2	7	40	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17037	118.73723	20210519_1108-1552_BOTTOM2_0007_0001.mp4	27898	121.75719	1
20210519-2	8	37	20210519_1108-1552_BOTTOM2_0008_0001.mp4	771	133.21447	20210519_1108-1552_BOTTOM2_0008_0001.mp4	11676	136.24667	1
20210519-2	9	30	20210519_1108-1552_BOTTOM2_0008_0001.mp4	53720	147.93723	20210519_1108-1552_BOTTOM2_0008_0001.mp4	64633	150.97165	1
20210519-2	10	42	20210519_1108-1552_BOTTOM2_0009_0001.mp4	34440	161.57614	20210519_1108-1552_BOTTOM2_0009_0001.mp4	45418	164.62863	1
20210519-2	11	39	20210519_1108-1552_BOTTOM2_0010_0001.mp4	18285	176.08424	20210519_1108-1552_BOTTOM2_0010_0001.mp4	29171	179.11115	1
20210519-2	12	49	20210519_1108-1552_BOTTOM2_0010_0001.mp4	65540	189.22376	20210519_1108-1552_BOTTOM2_0011_0001.mp4	8178	192.27403	1
20210519-2	13	31	20210519_1108-1552_BOTTOM2_0011_0001.mp4	51697	204.37473	20210519_1108-1552_BOTTOM2_0011_0001.mp4	62559	207.39497	1
20210519-2	14	44	20210519_1108-1552_BOTTOM2_0012_0001.mp4	18570	214.16339	20210519_1108-1552_BOTTOM2_0012_0001.mp4	29485	217.19837	1
20210520-1	0	19	20210520_0809-1314_BOTTOM_0002_0001.mp4	23755	25.60530	20210520_0809-1314_BOTTOM_0002_0001.mp4	34710	28.65140	1
20210520-1	1	22	20210520_0809-1314_BOTTOM_0003_0001.mp4	7711	40.14399	20210520_0809-1314_BOTTOM_0003_0001.mp4	18646	43.18453	1
20210520-1	2	7	20210520_0809-1314_BOTTOM_0003_0001.mp4	44648	50.41453	20210520_0809-1314_BOTTOM_0003_0001.mp4	55645	53.47231	1
20210520-1	3	46	20210520_0809-1314_BOTTOM_0004_0001.mp4	27905	64.75914	20210520_0809-1314_BOTTOM_0004_0001.mp4	38865	67.80663	1
20210520-1	4	26	20210520_0809-1314_BOTTOM_0005_0001.mp4	17330	80.81879	20210520_0809-1314_BOTTOM_0005_0001.mp4	28225	83.84821	1
20210520-1	5	25	20210520_0809-1314_BOTTOM_0006_0001.mp4	13438	98.73642	20210520_0809-1314_BOTTOM_0006_0001.mp4	25004	101.95241	1
20210520-1	6	M1	20210520_0809-1314_BOTTOM_0007_0001.mp4	4700	115.30686	20210520_0809-1314_BOTTOM_0007_0001.mp4	15516	118.31431	1
20210520-1	7	33	20210520_0809-1314_BOTTOM_0007_0001.mp4	63190	131.57033	20210520_0809-1314_BOTTOM_0008_0001.mp4	5908	134.64284	1
20210520-1	8	24	20210520_0809-1314_BOTTOM_0008_0001.mp4	66934	151.61146	20210520_0809-1314_BOTTOM_0009_0001.mp4	9627	154.67674	1
20210520-1	9	20	20210520_0809-1314_BOTTOM_0010_0001.mp4	2217	171.61644	20210520_0809-1314_BOTTOM_0010_0001.mp4	13006	174.61639	1
20210520-1	10	12	20210520_0809-1314_BOTTOM_0010_0001.mp4	55736	186.49770	20210520_0809-1314_BOTTOM_0010_0001.mp4	66825	189.58106	1
20210520-1	11	4	20210520_0809-1314_BOTTOM_0011_0001.mp4	32347	198.99435	20210520_0809-1314_BOTTOM_0011_0001.mp4	43262	202.02933	1
20210520-1	12	13	20210520_0809-1314_BOTTOM_0012_0001.mp4	14320	212.98166	20210520_0809-1314_BOTTOM_0012_0001.mp4	25266	216.02525	1
20210520-1	13	15	20210520_0809-1314_BOTTOM_0013_0001.mp4	7562	230.10265	20210520_0809-1314_BOTTOM_0013_0001.mp4	18485	233.13985	1
20210520-1	14	2	20210520_0809-1314_BOTTOM_0013_0001.mp4	58123	244.16142	20210520_0809-1314_BOTTOM_0014_0001.mp4	782	247.21753	1
20210520-1	15	10	20210520_0809-1314_BOTTOM_0014_0001.mp4	46483	259.92494	20210520_0809-1314_BOTTOM_0014_0001.mp4	57523	262.99468	1
20210520-1	16	50	20210520_0809-1314_BOTTOM_0015_0001.mp4	44391	278.34307	20210520_0809-1314_BOTTOM_0015_0001.mp4	55358	281.39250	1
20210520-1	17	9	20210520_0809-1314_BOTTOM_0016_0001.mp4	20488	290.69680	20210520_0809-1314_BOTTOM_0016_0001.mp4	31457	293.74679	1
20210520-1	18	21	20210520_0809-1314_BOTTOM_0017_0001.mp4	4259	305.18432	20210520_0809-1314_BOTTOM_0017_0001.mp4	15243	308.23849	1
20210520-1	19	1	20210520_0809-1314_BOTTOM_0017_0001.mp4	57571	320.00802	20210520_0809-1314_BOTTOM_0018_0001.mp4	187	323.05190	1
20210520-1	20	18	20210520_0809-1314_BOTTOM_0018_0001.mp4	32311	331.98415	20210520_0809-1314_BOTTOM_0018_0001.mp4	43304	335.04082	1
