OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-1	0	20210519_1108-1552_TOP_0004_0001.mp4	31553	65.77349	28	2.31092	2232.94118	1463.52941	0.00000	0.00000	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
20210519-2	0	20210519_1108-1552_BOTTOM2_0001_0001.mp4	52913	14.71275	45	2.51251	1814.11765	769.41176	0.00000	0.00000	Carangidae	Pseudocaranx	spp		1	AD	Passing			
20210519-2	1	20210519_1108-1552_BOTTOM2_0003_0001.mp4	67230	56.69358	34	0.82749	1672.94118	2037.64706	0.00000	0.00000	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	2	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6817	58.89550	34	3.02942	1324.70588	1837.64706	0.00000	0.00000	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	3	20210519_1108-1552_BOTTOM2_0004_0001.mp4	48494	70.48402	47	0.90618	1402.35294	1280.00000	0.00000	0.00000	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	4	20210519_1108-1552_BOTTOM2_0004_0001.mp4	49877	70.86858	47	1.29073	720.00000	1680.00000	0.00000	0.00000	Carcharhinidae	Carcharhinus	spp		1	AD	Passing			
20210519-2	5	20210519_1108-1552_BOTTOM2_0004_0001.mp4	53822	71.96550	47	2.38766	7.05882	1952.94118	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	6	20210519_1108-1552_BOTTOM2_0004_0001.mp4	55340	72.38759	47	2.80975	1868.23529	2054.11765	0.00000	0.00000	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	7	20210519_1108-1552_BOTTOM2_0005_0001.mp4	37205	86.34515	48	0.25831	1804.70588	2025.88235	0.00000	0.00000	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	8	20210519_1108-1552_BOTTOM2_0006_0001.mp4	42967	106.94712	29	0.64537	2576.47059	644.70588	0.00000	0.00000	Triakidae		spp		1	AD	Passing			
20210519-2	9	20210519_1108-1552_BOTTOM2_0006_0001.mp4	50048	108.91603	29	2.61428	2423.52941	1865.88235	0.00000	0.00000	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	10	20210519_1108-1552_BOTTOM2_0006_0001.mp4	50048	108.91603	29	2.61428	2117.64706	1870.58824	0.00000	0.00000	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	11	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17624	118.90045	40	0.16322	1569.41176	865.88235	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	12	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17624	118.90045	40	0.16322	1529.41176	898.82353	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	13	20210519_1108-1552_BOTTOM2_0010_0001.mp4	65778	189.28993	49	0.06618	1011.76471	974.11765	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	14	20210519_1108-1552_BOTTOM2_0010_0001.mp4	65778	189.28993	49	0.06618	802.35294	2040.00000	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	15	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	189.43480	49	0.21104	788.23529	964.70588	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	16	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	189.43480	49	0.21104	840.00000	2025.88235	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	17	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	189.43480	49	0.21104	1590.58824	2049.41176	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	18	20210519_1108-1552_BOTTOM2_0011_0001.mp4	56302	205.65517	31	1.28045	1082.35294	2037.64706	0.00000	0.00000	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210519-2	19	20210519_1108-1552_BOTTOM2_0011_0001.mp4	57735	206.05363	31	1.67890	2527.05882	1738.82353	0.00000	0.00000	Carangidae	Carangoides	spp		1	AD	Passing			
20210519-2	20	20210519_1108-1552_BOTTOM2_0011_0001.mp4	58163	206.17263	31	1.79791	369.41176	795.29412	0.00000	0.00000	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	21	20210519_1108-1552_BOTTOM2_0011_0001.mp4	61162	207.00652	31	2.63180	235.29412	1562.35294	0.00000	0.00000	Lutjanidae	Pristipomoides	spp		1	AD	Passing			
