OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
1	4	L041 (09).MP4	14252	R042 (09).MP4	15204	71.58151	1	5.98904	-1523.89199	197.99256	-3039.47263	8.55936	1.89359	17.45262	1.62001	3405.85404	26.78075	Nemipteridae	Parascolopsis	akatamae	37347015	1	AD	Passing			
1	9	L041 (09).MP4	36682	R042 (09).MP4	37634	77.81830	1	12.22582	1024.95086	47.60120	-2981.62127	5.97241	1.48765	17.39345	7.01390	3153.22938	18.97744	SUS	SUS	SUS	2	1	AD	Passing			
1	10	L041 (09).MP4	36682	R042 (09).MP4	37634	77.81830	1	12.22582	659.56749	-17.62916	-2916.89521	3.93875	1.41148	16.76684	3.44404	2990.58819	12.75835	SUS	SUS	SUS	2	1	AD	Passing			
1	11	L041 (09).MP4	45405	R042 (09).MP4	46357	80.24377	1	14.65130	-460.32227	-190.33627	-2169.17640	2.17152	1.29853	9.33439	2.39530	2225.63491	13.05873	Pinguipedidae	Parapercis	spp		1	AD	Passing			
1	12	L041 (09).MP4	45405	R042 (09).MP4	46357	80.24377	1	14.65130	-410.40367	-156.92127	-2064.39283	1.89697	1.16338	8.46280	4.86972	2110.63337	12.13352	Pinguipedidae	Parapercis	spp		1	AD	Passing			
1	17	L041 (10).MP4	40359	R042 (10).MP4	41311	101.38045	1	35.78797	-735.24639	23.92329	-2910.11750	4.31768	1.42647	16.69047	4.09814	3001.65678	14.17948	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
1	22	L041 (10).MP4	50751	R042 (10).MP4	51703	104.27000	1	38.67753	-2623.96903	707.26573	-6053.77603	29.80608	8.96541	69.75034	14.26594	6635.78500	24.09437	Lutjanidae	Pristipomoides	sp1		1	AD	Passing			
1	23	L041 (10).MP4	50751	R042 (10).MP4	51703	104.27000	1	38.67753	-1287.86494	-26.92023	-2491.99447	5.93040	1.19455	11.73201	5.66751	2805.23747	27.34350	Lutjanidae	Pristipomoides	sp1		1	AD	Passing			
10	1	L035 (10).MP4	60631	R036 (10).MP4	62259	61.95495	1	11.11249	229.66793	-88.33956	-915.02171	0.60032	0.47117	1.67918	15.46100	947.53151	15.26571	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
10	2	L035 (10).MP4	60688	R036 (10).MP4	62316	61.97080	1	11.12834	1566.36748	997.33248	-3788.54806	10.97390	7.52111	26.89616	5.20253	4219.15579	25.80958	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
10	3	L035 (11).MP4	66223	R036 (11).MP4	67851	86.04930	1	35.20684	122.87294	-260.23266	-1022.63207	0.56230	0.71318	2.11400	1.03769	1062.35359	16.23431	Sparidae	Dentex	spp		1	AD	Passing			
10	4	L035 (11).MP4	66717	R036 (11).MP4	68345	86.18666	1	35.34420	-551.97005	-120.88868	-2508.40907	2.92335	1.31218	12.50318	4.68411	2571.26449	12.82853	Sparidae	Dentex	spp		1	AD	Passing			
10	7	L035 (11).MP4	66991	R036 (11).MP4	68619	86.26284	1	35.42039	99.64653	-154.77867	-1769.80951	0.93065	0.98590	6.22878	2.84469	1779.35706	6.42453	Sparidae	Dentex	spp		1	AD	Passing			
10	9	L035 (11).MP4	67027	R036 (11).MP4	68655	86.27285	1	35.43040	-102.08020	-126.82831	-1702.86991	0.89988	0.90916	5.78574	5.45969	1710.63489	5.91588	Sparidae	Dentex	spp		1	AD	Passing			
10	13	L035 (11).MP4	67108	R036 (11).MP4	68736	86.29538	1	35.45292	872.00982	-31.41446	-2017.87303	3.38583	0.97496	7.83601	10.84051	2198.45390	23.41183	Sparidae	Dentex	spp		1	AD	Passing			
10	14	L035 (11).MP4	67110	R036 (11).MP4	68738	86.29593	1	35.45347	956.71961	172.06387	-3245.09961	6.09322	2.03276	20.53337	2.78207	3387.56401	16.58394	Sparidae	Dentex	spp		1	AD	Passing			
10	21	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	155.19861	364.72163	-2406.33522	1.36955	2.17080	11.39781	4.34666	2438.76151	8.83224	Sparidae	Dentex	spp		1	AD	Passing			
