OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
1	0	0	510.24329	1006.96231	77.25515	1015.94235
1	0	1	465.32751	1036.89579	29.94386	1038.69180
1	1	0	1031.76357	99.97783	984.21647	128.71397
1	1	1	882.64317	106.56319	839.28821	141.28603
1	2	0	468.32190	416.21064	531.80287	429.77605
1	2	1	365.31503	416.80931	434.78478	433.36807
1	3	0	219.18902	436.03991	334.77230	442.94678
1	3	1	120.37430	448.01330	232.96319	462.70288
1	4	0	173.67436	487.31707	277.87898	498.09313
1	5	0	616.78041	510.39468	626.65128	526.43902
1	5	1	501.19713	529.55211	523.64442	539.60976
1	6	0	303.63069	535.42794	355.13412	541.11086
1	6	1	181.45976	546.80266	251.52838	553.08426
1	7	0	571.32876	504.02439	609.65689	514.72949
1	7	1	232.96319	465.11086	304.82845	476.41463
1	8	0	547.37367	818.92683	391.66563	822.36807
1	8	1	475.50842	826.11086	323.99251	825.36142
1	9	0	1442.09607	465.76497	1497.19276	499.29047
1	10	0	1283.99251	511.26386	1315.13412	541.19734
1	11	0	700.68621	681.28603	643.19401	693.25942
1	12	0	728.23456	663.32594	652.77604	674.10200
1	13	0	181.45976	452.38137	259.31379	462.42129
1	13	1	329.38241	459.56541	397.65440	471.40133
1	14	0	191.64067	889.62306	14.37305	874.05765
1	14	1	778.54024	814.19069	625.22770	822.57206
1	15	0	633.32673	747.84158	562.04950	755.56436
1	15	1	658.99010	642.25743	590.49505	655.13861
1	16	0	984.32190	334.88027	846.86089	371.00665
1	16	1	1418.50780	327.69623	1279.25016	368.61197
1	17	0	584.50405	547.18404	619.23893	556.76275
1	18	0	1704.40424	538.80266	1375.33874	609.21064
1	18	1	1200.74860	534.61197	963.91017	576.88248
1	19	0	938.39863	548.59424	733.30193	580.70510
1	19	1	516.19027	729.39246	327.86213	736.95787
1	20	0	1001.51653	345.80931	975.24454	375.07982
1	20	1	688.30381	387.71619	692.57455	407.40798
1	21	0	952.11416	351.67184	969.28946	375.84257
1	21	1	708.37118	378.61197	741.11728	399.19069
1	22	0	213.20025	407.09534	421.60948	413.08204
1	23	0	188.04741	607.05100	238.35309	604.65632
1	24	0	856.32314	438.67184	896.61198	457.87583
1	24	1	644.91953	505.72284	685.80724	520.73614
1	25	0	1223.75359	446.47450	1188.61759	477.61197
1	25	1	902.15658	504.54545	847.85652	532.68958
1	26	0	412.00374	459.72284	517.20274	466.30377
1	26	1	609.03431	405.24390	695.66812	422.00222
1	27	0	1180.71990	352.23725	1185.42982	382.46785
1	27	1	926.19713	392.94678	916.53400	417.78936
1	28	0	1146.25078	876.45233	745.00312	929.13525
