OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
1	0	0	0.00000	0	L041 (06).MP4	81062	59.94006
1	0	0	0.00000	0	L041 (07).MP4	81061	59.94006
1	0	0	0.00000	0	L041 (08).MP4	81061	59.94006
1	0	0	0.00000	0	L041 (09).MP4	81062	59.94006
1	0	0	0.00000	0	L041 (10).MP4	81061	59.94006
1	0	0	0.00000	0	L041 (11).MP4	81062	59.94006
1	0	0	0.00000	0	L041 (12).MP4	38371	59.94006
1	0	0	0.00000	0	L041 (09).MP4	81060	59.94006
1	0	0	0.00000	0	L041 (11).MP4	81060	59.94006
1	1	0	0.00000	0	R042 (06).MP4	81062	59.94006
1	1	0	0.00000	0	R042 (07).MP4	81061	59.94006
1	1	0	0.00000	0	R042 (08).MP4	81061	59.94006
1	1	0	0.00000	0	R042 (09).MP4	81062	59.94006
1	1	0	0.00000	0	R042 (10).MP4	81061	59.94006
1	1	0	0.00000	0	R042 (11).MP4	81062	59.94006
1	1	0	0.00000	0	R042 (12).MP4	35131	59.94006
1	1	0	0.00000	0	R042 (09).MP4	81060	59.94006
1	1	0	0.00000	0	R042 (11).MP4	81060	59.94006
10	0	0	0.00000	0	L035 (08).MP4	81122	59.94006
10	0	0	0.00000	0	L035 (09).MP4	81062	59.94006
10	0	0	0.00000	0	L035 (10).MP4	81061	59.94006
10	0	0	0.00000	0	L035 (11).MP4	81062	59.94006
10	0	0	0.00000	0	L035 (12).MP4	81061	59.94006
10	0	0	0.00000	0	L035 (13).MP4	81062	59.94006
10	0	0	0.00000	0	L035 (14).MP4	33751	59.94006
10	1	0	0.00000	0	R036 (08).MP4	81122	59.94006
10	1	0	0.00000	0	R036 (09).MP4	81062	59.94006
10	1	0	0.00000	0	R036 (10).MP4	81061	59.94006
10	1	0	0.00000	0	R036 (11).MP4	81062	59.94006
10	1	0	0.00000	0	R036 (12).MP4	81061	59.94006
10	1	0	0.00000	0	R036 (13).MP4	81062	59.94006
10	1	0	0.00000	0	R036 (14).MP4	30331	59.94006
