OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
1	0	1	L041 (08).MP4	73774	65.59247	L041 (11).MP4	46374	125.59241	1
10	0	1	L035 (10).MP4	20666	50.84246	L035 (12).MP4	74656	110.93388	1
11	0	1	L039 (10).MP4	30770	53.65193	L039 (13).MP4	3310	113.65187	1
12	0	1	L039 (3).MP4	6668	46.95024	L039 (5).MP4	60330	106.95045	1
13	0	1	L037 (2).MP4	51429	20.76547	L037 (5).MP4	23969	80.76569	1
14	0	1	L027 (03).MP4	18914	50.32166	L027 (05).MP4	72867	110.40251	1
15	0	1	L033 (3).MP4	30388	31.03156	L033 (6).MP4	3184	91.08599	1
16	0	1	R042 (01).MP4	28595	7.95100	R042 (04).MP4	1276	67.99042	1
17	0	1	L027 (2).MP4	48149	35.92784	L027 (5).MP4	20749	95.92778	1
18	0	1	L029 (03).MP4	14736	49.14326	L029 (05).MP4	68599	109.19937	1
19	0	1	L033 (03).MP4	37681	55.53993	L033 (06).MP4	10492	115.59826	1
2	0	1	L031 (09).MP4	16334	72.17738	L031 (11).MP4	70046	132.19150	1
21	0	1	L043 (02).MP4	67599	41.33602	L043 (05).MP4	40199	101.33596	1
22	0	1	L029 (03).MP4	38497	33.36138	L029 (06).MP4	11203	93.39108	1
23	0	1	L041 (03).MP4	21675	51.05601	L041 (05).MP4	75336	111.05595	1
25	0	1	L031 (2).MP4	12046	25.90588	L031 (4).MP4	65707	85.90582	1
26	0	1	L039 (03).MP4	49150	58.74563	L039 (06).MP4	21752	118.74557	1
27	0	1	L043 (09).MP4	47606	58.23290	L043 (12).MP4	20353	118.25731	1
3	0	1	L029 (11).MP4	9910	70.30774	L029 (13).MP4	63540	130.31574	1
4	0	1	L027_3.MP4	61984	62.33060	L027_6.MP4	34586	122.33054	1
5	0	1	L037 (01).MP4	47211	13.12728	L037 (04).MP4	21017	73.47952	1
6	0	1	L037 (10).MP4	23351	74.14518	L037 (12).MP4	77012	134.14512	1
7	0	1	L035 (2).MP4	75219	43.45480	L035 (5).MP4	47759	103.45474	1
8	0	1	L033 (10).MP4	38040	55.62307	L033 (13).MP4	11339	115.81737	1
9	0	1	L031 (02).MP4	62349	39.87623	L031 (05).MP4	35130	99.94318	1
