OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
1	1.09	2024 06 12 15:23:42	F:\20210518\L041_R042\1\	1.EMObs
10	1.09	2024 06 12 15:23:42	F:\20210518\L035_R036\10\	10.EMObs
11	1.09	2024 06 12 15:23:42	F:\20210518\L039_R040\11\	11.EMObs
12	1.09	2024 06 12 15:23:42	F:\20210518\L039_R040\12\	12.EMObs
13	1.09	2024 06 12 15:23:42	F:\20210518\L037_R038\13\	13.EMObs
14	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L027_R028\14\	14.EMObs
15	1.09	2024 06 12 15:23:42	F:\20210518\L033_R034\15\	15.EMObs
16	1.09	2024 06 12 15:23:42	F:\20210518\L041_R042\16\	16.EMObs
17	1.09	2024 06 12 15:23:42	F:\20210518\L027_R028\17\	17.EMObs
18	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L029_R030\18\	18.EMObs
19	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L033_R034\19\	19.EMObs
2	1.09	2024 06 12 15:23:42	F:\20210518\L031_R032\2\	2.EMObs
21	1.09	2024 06 12 15:23:42	F:\20210518\L043_R044\21\	21.EMObs
22	1.09	2024 06 12 15:23:42	F:\20210518\L029_R030\22\	22.EMObs
23	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L041_R042\23\	23.EMObs
25	1.09	2024 06 12 15:23:42	F:\20210518\L031_R032\25\	25.EMObs
26	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L039_R040\26\	26.EMObs
27	1.09	2024 06 12 15:23:42	F:\20210518\L043_R044\27\	27.EMObs
3	1.09	2024 06 12 15:23:42	F:\20210518\L029_R030\3\	3.EMObs
4	1.09	2024 06 12 15:23:42	F:\20210518\L027_R028\4\Cam_files_for_reanalysed_4\	4.EMObs
5	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L037_R038\5\	5.EMObs
6	1.09	2024 06 12 15:23:42	F:\20210518\L037_R038\6\	6.EMObs
7	1.09	2024 06 12 15:23:42	F:\20210518\L035_R036\7\	7.EMObs
8	1.09	2024 06 12 15:23:42	F:\20210518\L033_R034\8\	8.EMObs
9	1.09	2024 06 12 15:23:42	F:\20210519\BRUVs\L031_R032\9\	9.EMObs
