 ,Sample,Latitude,Longitude,Date.time,Site,Location,Status,Depth,Observer.count,Checked MaxN,Checked Length,Successful.count,Successful.length,Habitat.Length.analyst,Length.Habitat.Date,Comment,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes
20220519-1-NAKED,248,-22.7609,113.5473,2022-05-19T08:27:25+0800,,Point Cloates,No-take,76.6,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-1-NAKED,224,-22.7598,113.5487,2022-05-19T08:44:41+0800,,Point Cloates,No-take,76.1,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,"Pre-CAL, 1 unknown"
20220519-1-NAKED,232,-22.7576,113.5368,2022-05-19T08:59:18+0800,,Point Cloates,No-take,90.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-1-NAKED,211,-22.7554,113.54,2022-05-19T09:11:46+0800,,Point Cloates,No-take,87.2,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Didn't put the chain on the bottom. eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-1-NAKED,226,-22.7536,113.5408,2022-05-19T09:30:58+0800,,Point Cloates,No-take,86.6,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Whiteboard showed 203 (was actually 226) - correct on IPAD. Checked red lights GTG.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-1-NAKED,203,-22.7548,113.55,2022-05-19T09:44:17+0800,,Point Cloates,No-take,75.7,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,"drift macroalgae, Pre-CAL better, not perfect"
20220519-1-NAKED,207,-22.7523,113.5552,2022-05-19T10:00:48+0800,,Point Cloates,No-take,71.4,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-1-NAKED,221,-22.7519,113.5483,2022-05-19T10:12:53+0800,,Point Cloates,No-take,78.4,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-1-NAKED,264,-22.7655,113.5389,2022-05-19T10:34:40+0800,,Point Cloates,No-take,81.6,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,"1 cod to check (corrected to genus - MG). coro and bulk trevally after period. 3 trout on the way up, Pre-CAL"
20220519-1-NAKED,262,-22.7635,113.5347,2022-05-19T10:45:55+0800,,Point Cloates,No-take,91,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,"bulk fish in the distance on ledge. big red sniff cam after period, Pre-CAL"
20220519-1-NAKED,265,-22.7561,113.529,2022-05-19T10:58:59+0800,,Point Cloates,No-take,99.2,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Synced white lights after drop.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
20220519-2-NAKED,266,-22.7531,113.5301,2022-05-19T11:11:08+0800,,Point Cloates,No-take,98.5,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Brooke/Claude to check ID - eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230404,Pre-CAL
20220519-2-NAKED,253,-22.7509,113.538,2022-05-19T11:26:11+0800,,Point Cloates,No-take,91.2,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Brooke/Claude to check ID,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230404,Pre-CAL
20220519-2-NAKED,270,-22.7511,113.5387,2022-05-19T11:37:38+0800,,Point Cloates,No-take,91,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Brooke/Claude to check ID  - Showed opcode after drop. Checked red lights GTG. eDNA.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230404,undistinguiuable blenniidae. 2 unknown species (could be anythings) Pre-CAL
20220519-2-NAKED,201,-22.7488,113.5378,2022-05-19T11:50:14+0800,,Point Cloates,No-take,94.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Brooke/Claude to check ID,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220519-2-NAKED,237,-22.7502,113.5462,2022-05-19T12:02:40+0800,,Point Cloates,No-take,81.8,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Brooke/Claude to check ID - eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220519-2-NAKED,240,-22.749,113.5509,2022-05-19T12:18:16+0800,,Point Cloates,No-take,75,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Brooke/Claude to check ID,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230329,"Post-CAL, 2 unknowns"
20220521-3-NAKED,255,-22.7444,113.5428,2022-05-21T13:59:38+0800,,Point Cloates,No-take,87.3,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Checked red lights. GTG.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Molly Gerrans,Molly Gerrans,20230331,"pristipomoides aftre period, Post-CAL"
20220521-3-NAKED,216,-22.7451,113.5437,2022-05-21T14:12:02+0800,,Point Cloates,No-take,86.5,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Molly Gerrans,Molly Gerrans,20230331,Post-CAL
20220521-3-NAKED,269,-22.7429,113.5458,2022-05-21T14:27:47+0800,,Point Cloates,No-take,83.1,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B59 - preferential site,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Molly Gerrans,Molly Gerrans,20230403,"school of fulvos some look a bit weird - one down as speciosus, Post-CAL (both pre and post CAL dodgy for this vid)"
20220521-3-NAKED,231,-22.7464,113.5529,2022-05-21T14:43:17+0800,,Point Cloates,No-take,73.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Claude Spencer,Claude Spencer,20230726,no fish
20220521-3-NAKED,245,-22.7436,113.5519,2022-05-21T14:57:59+0800,,Point Cloates,No-take,75.8,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Claude Spencer,Claude Spencer,20230726,no fish
20220521-3-NAKED,209,-22.7402,113.5521,2022-05-21T15:13:08+0800,,Point Cloates,No-take,76.7,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Red lights checked and white lights synced after drop. GTG. eDNA.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Claude Spencer,Claude Spencer,20230726,no fish
20220521-4-NAKED,241,-22.7403,113.5387,2022-05-21T15:31:01+0800,,Point Cloates,No-take,94.4,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,"tips over but then corrects itself, Post-CAL"
20220521-4-NAKED,272,-22.7374,113.5422,2022-05-21T15:45:16+0800,,Point Cloates,No-take,89.2,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B62 - preferential site. Showed opcode after drop. eDNA.,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
20220521-4-NAKED,244,-22.7347,113.5406,2022-05-21T15:59:32+0800,,Point Cloates,No-take,93,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Red lights checked after drop. GTG,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
20220521-4-NAKED,219,-22.7317,113.543,2022-05-21T16:11:52+0800,,Point Cloates,No-take,90.7,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL - East CAL is trash
20220521-4-NAKED,259,-22.7312,113.5443,2022-05-21T16:24:58+0800,,Point Cloates,No-take,88.9,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B49 - preferential site. eDNA. Note Same dropped BOSS again to get more water. ,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
20220523-1-NAKED,230,-22.7341,113.5543,2022-05-23T08:31:26+0800,,Point Cloates,No-take,76.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,No,Kat,21/02/2023,Cams 17 & 15 restarted. Resynced lights? eDNA - you turned off 2 cameras putting them in so used the flasher as initial sync point - C,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Claude Spencer,Claude Spencer,20230726,tips over. no fish
20220523-1-NAKED,274,-22.7343,113.5502,2022-05-23T08:50:34+0800,,Point Cloates,No-take,79.2,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,Mullidae? Post-CAL
20220523-1-NAKED,205,-22.7321,113.5508,2022-05-23T09:04:00+0800,,Point Cloates,No-take,80.6,Claude Spencer,Hannah Williams,Hannah Williams,Yes,No,Kat,21/02/2023,After drop cam#14 off. BOSS flew into winch. Returned on camera 14 and white flashy lights resynced.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Claude Spencer,Claude Spencer,20230726,"boss tips over, successful count = no? no fish, PostCAL?"
20220523-2-NAKED,214,-22.733,113.5497,2022-05-23T09:52:30+0800,,Point Cloates,No-take,81.5,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,"tips over last 30 seconds, Post-CAL"
20220523-2-NAKED,256,-22.7326,113.5465,2022-05-23T10:09:25+0800,,Point Cloates,No-take,86.1,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,"check juv lineopunctatus, Post-CAL"
20220523-2-NAKED,233,-22.7305,113.5526,2022-05-23T10:25:29+0800,,Point Cloates,No-take,76.2,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,"1 unknown, Post-CAL"
20220523-2-NAKED,251,-22.7277,113.554,2022-05-23T10:37:45+0800,,Point Cloates,No-take,76.4,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,After drop #12 was off. Restarted and resynced white flashers.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220523-3-NAKED,212,-22.728,113.556,2022-05-23T11:00:30+0800,,Point Cloates,No-take,75,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA. cams checked - GTG.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220523-3-NAKED,227,-22.7262,113.5569,2022-05-23T11:15:33+0800,,Point Cloates,No-take,74.3,,,,No,No,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,,,,,,tips over and drags early on
20220525-3-NAKED,235,-22.7275,113.5434,2022-05-25T11:43:41+0800,,Point Cloates,No-take,93,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,All red lights on. ,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20220920,Claude Spencer,Claude Spencer,20230726,no fish :(
20220525-3-NAKED,218,-22.726,113.5411,2022-05-25T11:55:43+0800,,Point Cloates,No-take,97.7,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Showed whiteboard after drop.,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20220920,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-3-NAKED,249,-22.7248,113.5444,2022-05-25T12:07:55+0800,,Point Cloates,No-take,92.3,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20220920,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-3-NAKED,208,-22.7252,113.5464,2022-05-25T12:23:31+0800,,Point Cloates,No-take,89.2,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221027,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,228,-22.7233,113.5472,2022-05-25T13:01:14+0800,,Point Cloates,No-take,88,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,White flashy sync lights.,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,243,-22.7206,113.5573,2022-05-25T13:14:20+0800,,Point Cloates,No-take,74.4,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,217,-22.7179,113.5593,2022-05-25T13:28:40+0800,,Point Cloates,No-take,73.2,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,223,-22.7188,113.5517,2022-05-25T13:41:07+0800,,Point Cloates,No-take,80.5,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,260,-22.7177,113.5525,2022-05-25T13:53:04+0800,,Point Cloates,No-take,83.6,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B50 - preferential site. Checked red lights after drop. GTG. eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,236,-22.717,113.5499,2022-05-25T14:07:15+0800,,Point Cloates,No-take,86.2,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Claude Spencer,Claude Spencer,20230726,no fish :(
20220525-4-NAKED,215,-22.712,113.5562,2022-05-25T14:19:59+0800,,Point Cloates,No-take,79.6,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Claude Spencer,Claude Spencer,20230726,no fish (where have they gone?)
20220525-4-NAKED,225,-22.7084,113.5624,2022-05-25T14:33:25+0800,,Point Cloates,No-take,72.1,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
