OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
20220519-1-NAKED	1.09	2023 08 17 10:49:29	F:\20220519\	20220519-1-NAKED.EMObs
20220519-2-NAKED	1.09	2023 08 17 10:49:29	D:\20220519\	20220519-2-NAKED.EMObs
20220521-3-NAKED	1.09	2023 08 17 10:49:29	F:\20220521\	20220521-3-NAKED.EMObs
20220521-4-NAKED	1.09	2023 08 17 10:49:29	G:\20220521\	20220521-4-NAKED.EMObs
20220523-1-NAKED	1.09	2023 08 17 10:49:29	F:\20220523\	20220523-1-NAKED.EMObs
20220523-2-NAKED	1.09	2023 08 17 10:49:29	F:\20220523\	20220523-2-NAKED.EMObs
20220523-3-NAKED	1.09	2023 08 17 10:49:29	G:\20220523\	20220523-3-NAKED.EMObs
20220525-3-NAKED	1.09	2023 08 17 10:49:29	F:\20220525\	20220525-3-NAKED.EMObs
20220525-4-NAKED	1.09	2023 08 17 10:49:29	F:\20220525\	20220525-4-NAKED.EMObs
20220525-5-NAKED	1.09	2023 08 17 10:49:29	G:\20220525\	20220525-5-NAKED.EMObs
20220526-2-NAKED	1.09	2023 08 17 10:49:29	F:\20220526\	20220526-2-NAKED.EMObs
20220526-3-NAKED	1.09	2023 08 17 10:49:29	F:\20220526\	20220526-3-NAKED.EMObs
20220527-1-NAKED	1.09	2023 08 17 10:49:29	G:\20220527\	20220527-1-NAKED.EMObs
