Date,Sample,Time.bottom,Time.end,Depth,Raw.hdd.number,Con.hdd.number,Latitude,Longitude,Comment,FishNClipz,Forwards.habitat.north.exported,Forwards.habitat.north.annotated,Forwards.habitat.east.exported,Forwards.habitat.east.annotated,Forwards.habitat.south.exported,Forwards.habitat.south.annotated,Forwards.habitat.west.exported,Forwards.habitat.west.annotated,Downwards.habitat.exported,Downwards.habitat.completed,Habitat notes,Site,Location,Status,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20201020,FH92,08:34:48,08:37:38,44.1,BU3,,-33.8437,114.8714,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH61,09:06:40,09:09:40,,BU3,,-33.8412,114.8639,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH27,09:32:24,09:35:24,42.8,BU3,,-33.8362,114.8714,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH17,09:46:43,09:49:43,,BU3,,-33.8337,114.8764,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH56,10:00:37,10:03:37,41.9,BU3,,-33.8312,114.8664,558 - file corrupt,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH96,10:40:01,10:43:01,,BU3,,-33.8187,114.8339,417 took photos,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH60,10:54:30,10:57:00,44.4,BU3,,-33.8162,114.8214,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,check hard coral,,,,,,,,,,,,,
20201020,FH26,11:05:07,11:08:00,43.9,BU3,,-33.8112,114.8289,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH110,11:17:02,11:20:00,44.9,BU3,,-33.8087,114.8214,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH48,11:30:39,11:33:00,45,BU3,,-33.7962,114.8139,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH21,11:41:29,11:44:00,46.3,BU3,,-33.7937,114.8089,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH18,11:55:54,11:59:00,45.1,BU3,,-33.7912,114.8214,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH106,12:06:58,12:10:00,46.2,BU3,,-33.7887,114.8164,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH57,12:18:13,12:21:00,44.2,BU3,,-33.7887,114.8114,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH34,12:51:20,12:54:00,44.6,BU3,,-33.7862,114.8839,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH7,13:04:33,13:08:00,45.2,BU3,,-33.7837,114.8789,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH20,13:17:56,13:21:00,42.4,BU3,,-33.7862,114.8739,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH93,13:32:44,13:36:00,44.3,BU3,,-33.7762,114.8689,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH44,13:46:18,13:50:00,44.5,BU3,,-33.7712,114.8639,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH14,13:59:42,14:04:00,44.9,BU3,,-33.7662,114.8714,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH95,14:17:10,14:21:00,,BU3,,-33.7587,114.8914,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH62,14:32:04,14:36:00,45.2,BU3,,-33.7562,114.8814,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201020,FH30,14:44:05,14:48:00,,BU3,,-33.7512,114.8889,,No,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20201030,261,07:00:38,07:03:38,46.5,BU4,CON1 - Bottom only,-33.9762,114.9214,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
20201030,338,07:16:01,07:19:01,46,BU4,CON1 - Bottom only,-33.9723,114.9225,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
20201030,260,07:25:21,07:28:21,46.1,BU4,CON1 - Bottom only,-33.9712,114.9164,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
20201030,259,07:39:07,07:42:07,46.3,BU4,CON1 - Bottom only,-33.9687,114.9214,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
20201030,258,07:48:52,07:51:52,46.2,BU4,CON1 - Bottom only,-33.9662,114.9139,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
20201030,FH10,08:08:24,08:11:24,,BU4,CON1 - Bottom only,-33.9862,114.8864,Fishing HWY sample,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
