OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
	0	261	20201030_0700-1217_BOTTOM_0005.mp4	1987	19.30540	20201030_0700-1217_BOTTOM_0005.mp4	7382	22.30562	1
	1	338	20201030_0700-1217_BOTTOM_0008.mp4	5052	34.65796	20201030_0700-1217_BOTTOM_0009.mp4	2215	37.65818	1
	2	260	20201030_0700-1217_BOTTOM_0010.mp4	5397	43.98894	20201030_0700-1217_BOTTOM_0011.mp4	2575	46.98916	1
	3	259	20201030_0700-1217_BOTTOM_0013.mp4	5156	57.54638	20201030_0700-1217_BOTTOM_0014.mp4	2338	60.54660	1
	4	258	20201030_0700-1217_BOTTOM_0015.mp4	6685	67.51745	20201030_0700-1217_BOTTOM_0016.mp4	3877	70.51767	1
	5	FH10	20201030_0700-1217_BOTTOM_0020.mp4	1005	87.12092	20201030_0700-1217_BOTTOM_0020.mp4	6400	90.12114	1
	6	FH111	20201030_0700-1217_BOTTOM_0022.mp4	1336	96.47638	20201030_0700-1217_BOTTOM_0022.mp4	6731	99.47660	1
	7	130	20201030_0700-1217_BOTTOM_0024.mp4	7797	109.18018	20201030_0700-1217_BOTTOM_0025.mp4	4972	112.18040	1
	8	152	20201030_0700-1217_BOTTOM_0026.mp4	7007	117.87164	20201030_0700-1217_BOTTOM_0027.mp4	4205	120.87186	1
	9	134	20201030_0700-1217_BOTTOM_0028.mp4	6152	126.53252	20201030_0700-1217_BOTTOM_0029.mp4	3329	129.53274	1
	10	133	20201030_0700-1217_BOTTOM_0031.mp4	468	137.07305	20201030_0700-1217_BOTTOM_0031.mp4	5863	140.07327	1
	11	132	20201030_0700-1217_BOTTOM_0032.mp4	7735	145.69054	20201030_0700-1217_BOTTOM_0033.mp4	4909	148.69076	1
	12	FH77	20201030_0700-1217_BOTTOM_0035.mp4	4207	157.41837	20201030_0700-1217_BOTTOM_0036.mp4	1370	160.41859	1
	13	FH52	20201030_0700-1217_BOTTOM_0037.mp4	5258	167.13753	20201030_0700-1217_BOTTOM_0038.mp4	2430	170.13775	1
	14	244	20201030_0700-1217_BOTTOM_0041.mp4	4267	184.79016	20201030_0700-1217_BOTTOM_0042.mp4	1451	187.79038	1
	15	245	20201030_0700-1217_BOTTOM_0043.mp4	5510	194.60441	20201030_0700-1217_BOTTOM_0044.mp4	2684	197.60463	1
	16	64	20201030_0700-1217_BOTTOM_0045.mp4	7584	204.87856	20201030_0700-1217_BOTTOM_0046.mp4	4792	207.87878	1
	17	C01	20201030_0700-1217_BOTTOM_0048.mp4	2282	215.57036	20201030_0700-1217_BOTTOM_0048.mp4	7677	218.57057	1
	18	65	20201030_0700-1217_BOTTOM_0050.mp4	441	223.66622	20201030_0700-1217_BOTTOM_0050.mp4	5836	226.66644	1
