OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
	1.09	2022 02 08 07:04:32	E:\20201030_0700-1217_BOTTOM ONLY\	20201030_0700-1217.EMObs
20201030_1301-1339	1.09	2022 02 08 07:04:32	F:\20201030_1301-1339\	20201030_1301-1339.EMObs
20201031_0704-0744	1.09	2022 02 08 07:04:32	F:\20201031_0704-0744\	20201031_0704-0744.EMObs
20201104_0737-1129	1.09	2022 02 08 07:04:32	F:\20201104_0737-1129\	20201104_0737-1129.EMObs
20201104_1211-1516	1.09	2022 02 08 07:04:32	F:\20201104_1211-1516\	20201104_1211-1516.EMObs
20201107_1030-1330	1.09	2022 02 08 07:04:32	F:\20201107_1030-1330\	20201107_1030-1330.EMObs
20201108_0653-1053	1.09	2022 02 08 07:04:32	F:\20201108_0653-1053\	20201108_0653-1053.EMObs
20201108_1136-1340	1.09	2022 02 08 07:04:32	F:\20201108_1136-1340\	20201108_1136-1340.EMObs
20201111_0717-0810	1.09	2022 02 08 07:04:32	F:\20201111_0717-0810\	20201111_0717-0810.EMObs
20201111_1042-1440	1.09	2022 02 08 07:04:32	F:\20201111_1042-1440\	20201111_1042-1440.EMObs
20201119_0630-1036	1.09	2022 02 08 07:04:32	F:\20201119_0630-1036\	20201119_0630-1036.EMObs
