Date,Sample,Time.bottom,Time.end,Depth,Raw.hdd.number,Con.hdd.number,Latitude,Longitude,Comment,FishnClipz,Habitat.image.exported,Downwards.image.exported,Status,Site,Location,Marine.region,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210308,148,07:36:19,07:43:05,46.6,RAW2,CON1,-34.0518,114.925,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,
20210308,2,07:48:50,07:55:23,47.3,RAW2,CON1,-34.0604,114.924,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,check wrasse
20210308,99,08:00:44,08:07:05,47.2,RAW2,CON1,-34.0555,114.916,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,
20210308,127,08:10:54,08:16:59,44,RAW2,CON1,-34.0545,114.91,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,very fishy. baldie after period
20210308,43,08:19:45,08:26:33,45.5,RAW2,CON1,-34.0521,114.909,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,
20210308,110,08:29:42,08:36:02,45,RAW2,CON1,-34.0505,114.907,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
20210308,139,08:42:53,08:49:37,44,RAW2,CON1,-34.0616,114.898,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
20210308,133,08:57:52,09:09:08,44,RAW2,CON1,-34.075,114.911,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,"weird fish looks like a naso? silver baitfish with dhuey, far off fish cant ID, lots of demersals"
20210308,52,09:08:49,09:15:05,46.1,RAW2,CON1,-34.0826,114.915,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
20210308,91,09:21:33,09:27:50,44.8,RAW2,CON1,-34.0807,114.928,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
20210308,47,09:32:14,09:38:00,45.1,RAW2,CON1,-34.0832,114.926,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
20210308,16,09:42:04,09:48:02,44.1,RAW2,CON1,-34.0848,114.924,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,"really difficult to see bullseyes, estimate is pretty shit? try find original footage"
20210308,38,09:54:17,10:00:41,45.4,RAW2,CON1,-34.0904,114.917,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
20210308,71,10:05:26,10:12:21,43.5,RAW2,CON1,-34.0923,114.908,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
20210308,14,10:15:13,10:22:20,43.6,RAW2,CON1,-34.0979,114.913,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,boarfish!
20210308,150,10:25:02,10:31:20,44.6,RAW2,CON1,-34.1,114.917,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
20210308,92,10:32:55,10:38:56,44.3,RAW2,CON1,-34.101,114.918,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
20210308,28,10:41:55,10:48:02,47,RAW2,CON1,-34.0995,114.923,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
20210308,124,10:51:39,10:57:52,45,RAW2,CON1,-34.1003,114.929,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,skippy and queenie after period
20210308,53,11:03:15,11:10:10,45.4,RAW2,CON1,-34.1047,114.92,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,bottom light turns off,Claude,20210630,,,,
20210308,6,11:15:50,11:22:10,44.4,RAW2,CON1,-34.1073,114.918,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,
20210308,149,11:27:50,11:34:31,45.1,RAW2,CON1,-34.1135,114.931,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,check small school of juv coris auricularis?
20210308,32,11:39:04,11:45:12,45.1,RAW2,CON1,-34.1125,114.921,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,
20210308,116,11:47:32,11:53:46,45.1,RAW2,CON1,-34.1138,114.919,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,2 groper and 2 dhueys!
20210308,69,11:58:09,12:04:15,43.7,RAW2,CON1,-34.1187,114.911,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,
20210308,138,12:06:14,12:12:39,41.8,RAW2,CON1,-34.119,114.912,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,
20210308,76,12:16:18,12:22:41,43.3,RAW2,CON1,-34.1217,114.916,,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210630,,,,
