OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210308_0735-1537	0	148	20210308_0735-1537_TOP_0009.mp4	1916	23.49653	20210308_0735-1537_TOP_0010.mp4	2360	26.49647	1
20210308_0735-1537	1	2	20210308_0735-1537_TOP_0013.mp4	6877	36.25122	20210308_0735-1537_TOP_0014.mp4	7382	39.25116	1
20210308_0735-1537	2	99	20210308_0735-1537_TOP_0017.mp4	8423	48.05050	20210308_0735-1537_TOP_0018.mp4	9067	51.05044	1
20210308_0735-1537	3	127	20210308_0735-1537_TOP_0021.mp4	3657	58.04660	20210308_0735-1537_TOP_0022.mp4	4112	61.04654	1
20210308_0735-1537	4	43	20210308_0735-1537_TOP_0024.mp4	4348	66.81870	20210308_0735-1537_TOP_0025.mp4	4856	69.81864	1
20210308_0735-1537	5	110	20210308_0735-1537_TOP_0027.mp4	9308	76.79032	20210308_0735-1537_TOP_0028.mp4	10034	79.79027	1
20210308_0735-1537	6	139	20210308_0735-1537_TOP_0032.mp4	5797	89.98462	20210308_0735-1537_TOP_0033.mp4	6356	92.98456	1
20210308_0735-1537	7	133	20210308_0735-1537_TOP_0037.mp4	9213	105.08971	20210308_0735-1537_TOP_0038.mp4	9947	108.08965	1
20210308_0735-1537	8	52	20210308_0735-1537_TOP_0041.mp4	7589	115.93749	20210308_0735-1537_TOP_0042.mp4	8151	118.93743	1
20210308_0735-1537	9	91	20210308_0735-1537_TOP_0046.mp4	2203	128.61654	20210308_0735-1537_TOP_0047.mp4	2611	131.61648	1
20210308_0735-1537	10	47	20210308_0735-1537_TOP_0050.mp4	729	139.59612	20210308_0735-1537_TOP_0051.mp4	1168	142.59606	1
20210308_0735-1537	11	16	20210308_0735-1537_TOP_0053.mp4	3723	148.99802	20210308_0735-1537_TOP_0054.mp4	4104	151.99796	1
20210308_0735-1537	12	38	20210308_0735-1537_TOP_0057.mp4	7391	161.41459	20210308_0735-1537_TOP_0058.mp4	8035	164.41453	1
