Row Labels,Count of individual,Average of length,Count of length,Max of sample,Min of sample,COUNT OF SAMPLE,,
Apogonidae Apogon sp1,130,53.26234177,130,273,270,,,
Carangidae Carangoides chrysophrys,2,389.784435,2,268,265,,,
Carangidae Carangoides fulvoguttatus,1,621.45493,1,216,216,,,
Carangidae Carangoides gymnostethus,46,328.647248,46,224,224,,,1 SAMPLE
Carangidae Carangoides spp,7,572.9340857,7,270,31,,,
Carangidae Decapterus spp,29,240.1702993,29,249,22,,,
Carangidae Gnathanodon speciosus,52,697.0368446,52,269,269,,,1 SAMPLE
Chaetodontidae Heniochus acuminatus,8,220.7609188,8,273,21,,,
Chaetodontidae Heniochus diphreutes,8,176.3631788,8,270,201,,,
Chaetodontidae Heniochus spp,2,243.22625,2,258,258,,,
Cirrhitidae Cyprinocirrhites polyactis,9,79.11496444,9,267,21,,,
Holocentridae Sargocentron rubrum,27,193.7042026,27,273,273,,,1 SAMPLE
Holocentridae Sargocentron spp,2,189.427955,2,13,12,,,
Labridae Labroides dimidiatus,2,67.160585,2,264,21,,,
Lethrinidae Gymnocranius sp1,19,404.9680237,19,265,207,,,
Lethrinidae Lethrinus miniatus,10,473.706573,10,273,50,,,
Lethrinidae Lethrinus rubrioperculatus,3,380.49899,3,274,208,,,
Lutjanidae Lutjanus sebae,8,623.6126338,8,264,208,,,
Lutjanidae Pristipomoides sp1,7,484.7032643,7,266,221,,,
Lutjanidae Pristipomoides spp,1,321.70616,1,31,31,,,
Nemipteridae Pentapodus nagasakiensis,14,105.2008243,14,274,203,,,
Pinguipedidae Parapercis nebulosa,16,79.08012625,16,272,12,,,
Serranidae Pseudanthias spp,17,84.67811765,17,273,201,,,
Sparidae Dentex spp,2,148.928935,2,33,33,,,
Grand Total,422,254.822109,422,274,12,,,
