GAB,unique_id,scientific,maxn,family,genus,species,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer.count,successful.count,successful.length,method
1,2022-05_PtCloates_stereo-BRUVS_64,Acanthuridae Naso brachycentron,1,Acanthuridae,Naso,brachycentron,2022-05_PtCloates_stereo-BRUVS,64,-22.7343,113.5508,20220520,14:30:16,NA,NA,NA,79.2,Kaitlin McCloghry,Yes,Yes,BRUV
6,2022-05_PtCloates_stereo-BRUVS_47,Acanthuridae Naso fageni,53,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,47,-22.6999,113.5592,20220522,12:59:50,NA,NA,NA,80.8,Kaitlin McCloghry,Yes,Yes,BRUV
3,2022-05_PtCloates_stereo-BRUVS_2,Acanthuridae Naso fageni,20,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
8,2022-05_PtCloates_stereo-BRUVS_51,Acanthuridae Naso fageni,14,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,51,-22.69,113.5609,20220522,14:49:13,NA,NA,NA,79.4,Henry Evans,Yes,Yes,BRUV
5,2022-05_PtCloates_stereo-BRUVS_45,Acanthuridae Naso fageni,11,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
10,2022-05_PtCloates_stereo-BRUVS_64,Acanthuridae Naso fageni,8,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,64,-22.7343,113.5508,20220520,14:30:16,NA,NA,NA,79.2,Kaitlin McCloghry,Yes,Yes,BRUV
11,2022-05_PtCloates_stereo-BRUVS_9,Acanthuridae Naso fageni,6,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,9,-22.6934,113.5571,20220522,14:27:15,NA,NA,NA,84.9,Henry Evans,Yes,Yes,BRUV
2,2022-05_PtCloates_stereo-BRUVS_17,Acanthuridae Naso fageni,3,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,17,-22.7011,113.5532,20220522,12:45:32,NA,NA,NA,86.5,Henry Evans,Yes,Yes,BRUV
7,2022-05_PtCloates_stereo-BRUVS_48,Acanthuridae Naso fageni,2,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,48,-22.696,113.5596,20220522,14:21:46,NA,NA,NA,80.2,Henry Evans,Yes,Yes,BRUV
4,2022-05_PtCloates_stereo-BRUVS_39,Acanthuridae Naso fageni,1,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,39,-22.7105,113.5539,20220522,10:35:24,NA,NA,NA,78.9,Kaitlin McCloghry,Yes,Yes,BRUV
9,2022-05_PtCloates_stereo-BRUVS_62,Acanthuridae Naso fageni,1,Acanthuridae,Naso,fageni,2022-05_PtCloates_stereo-BRUVS,62,-22.7375,113.542,20220520,14:11:26,NA,NA,NA,90.1,Henry Evans,Yes,Yes,BRUV
12,2022-05_PtCloates_stereo-BRUVS_28,Acanthuridae Naso hexacanthus,6,Acanthuridae,Naso,hexacanthus,2022-05_PtCloates_stereo-BRUVS,28,-22.6987,113.5625,20220522,13:05:17,NA,NA,NA,76.3,Kaitlin McCloghry,Yes,Yes,BRUV
