"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_BOSS","npz6.34","Carangidae","Seriola","hippos",928.41701,1,3948.33871
"2021-05_Abrolhos_BOSS","npz6.34","Carangidae","Seriola","hippos",818.02138,1,1942.70728
"2021-05_Abrolhos_BOSS","npz6.34","Cirrhitidae","Paracirrhites","forsteri",69.48064,1,1950.19525
"2021-05_Abrolhos_BOSS","npz6.34","Scaridae","Scarus","sp3",399.70163,1,3178.85811
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Anampses","geographicus",271.36238,1,3653.93751
"2021-05_Abrolhos_BOSS","npz6.34","Scaridae","Scarus","sp3",304.24659,1,4079.58365
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",260.70477,1,2327.62626
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",207.82753,1,2702.57255
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",242.08634,1,1709.50603
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Suezichthys","cyanolaemus",54.1356,1,1173.65855
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",297.74785,1,2810.854
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Suezichthys","cyanolaemus",58.72973,1,1215.06727
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",236.3051,1,2976.04555
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",251.41532,1,2064.08368
"2021-05_Abrolhos_BOSS","npz6.34","Serranidae","Plectropomus","spp",413.10967,1,2882.64662
"2021-05_Abrolhos_BOSS","npz6.34","Lethrinidae","Lethrinus","miniatus",390.67376,1,2296.66635
"2021-05_Abrolhos_BOSS","npz6.19","Pomacentridae","Chromis","spp",88.93135,1,1881.97947
"2021-05_Abrolhos_BOSS","npz6.19","Nemipteridae","Pentapodus","nagasakiensis",121.75393,1,1467.84441
