"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_BOSS","npz6.1","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz6.1","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.1","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_BOSS","npz6.1","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Seriola","hippos",2
"2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Unknown","sp10",1
"2021-05_Abrolhos_BOSS","npz6.11","Echeneidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.11","Ginglymostomatidae","Nebrius","ferrugineus",1
"2021-05_Abrolhos_BOSS","npz6.11","Glaucosomatidae","Glaucosoma","hebraicum",1
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","auricularis",3
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_BOSS","npz6.11","Lethrinidae","Lethrinus","miniatus",10
"2021-05_Abrolhos_BOSS","npz6.13","Tetraodontidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","auricularis",20
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.14","Lethrinidae","Lethrinus","miniatus",15
"2021-05_Abrolhos_BOSS","npz6.14","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_BOSS","npz6.14","Pomacentridae","Chromis","spp",25
"2021-05_Abrolhos_BOSS","npz6.15","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.17","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_BOSS","npz6.18","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Anampses","geographicus",3
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Coris","auricularis",6
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.18","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.18","Mullidae","Parupeneus","spilurus",4
"2021-05_Abrolhos_BOSS","npz6.18","Pempherididae","Pempheris","klunzingeri",2
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","spp",39
"2021-05_Abrolhos_BOSS","npz6.18","Scaridae","Scarus","chameleon",2
"2021-05_Abrolhos_BOSS","npz6.18","Scaridae","Scarus","sp3",2
"2021-05_Abrolhos_BOSS","npz6.18","SUS","SUS","sus",1
