"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS","npz6.34",-28.0563,113.549,20210511,"10:39:57","NPZ6","No-take","npz6.34",49.1,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.19",-28.0463,113.5314,20210511,"10:55:30","NPZ6","No-take","npz6.19",48.1,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.36",-28.0765,113.4739,20210511,"11:22:14","NPZ6","No-take","npz6.36",52.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.5",-28.0839,113.4763,20210511,"11:32:29","NPZ6","No-take","npz6.5",53.2,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.37",-28.0964,113.4639,20210511,"11:46:02","NPZ6","No-take","npz6.37",39.2,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.14",-28.0912,113.4589,20210511,"11:56:15","NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.33",-28.0887,113.4437,20210511,"12:10:09","NPZ6","No-take","npz6.33",28,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.29",-28.0837,113.4589,20210511,"12:23:21","NPZ6","No-take","npz6.29",43.1,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.11",-28.0761,113.4539,20210511,"12:34:24","NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.13",-28.0537,113.4489,20210511,"12:50:37","NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26",-28.0487,113.4414,20210511,"13:01:18","NPZ6","No-take","npz6.26",42,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.20",-28.0462,113.4413,20210511,"13:09:55","NPZ6","No-take","npz6.20",51,"Claude","Y","Y"
