"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Labridae","Choerodon","rubescens",641.58271,3613.28605,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Sparidae","Chrysophrys","auratus",312.39948,5018.55426,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Seriola","hippos",747.54526,2381.50468,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Seriola","hippos",757.53515,1489.79993,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Labridae","Choerodon","rubescens",497.88073,2980.52969,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Labridae","Choerodon","rubescens",473.42591,3138.84038,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","auricularis",160.58715,2462.8418,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","auricularis",152.05991,2715.78571,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","caudimacula",152.99757,2352.41324,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.11","2021-05_Abrolhos_BOSS","npz6.11","Lethrinidae","Lethrinus","miniatus",294.14142,2720.95915,-28.0761,113.4539,20210511,12:34:24,"NPZ6","No-take","npz6.11",34,"Claude","Y","Y"
