"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",367.40997,1,1530.25354
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",303.44706,1,1284.89741
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",327.17062,1,1277.9053
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1,1382.25058
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",414.13365,1,1872.45618
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",446.80786,1,2511.48532
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",446.26441,1,2083.98847
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",452.64395,1,1327.79347
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",459.07871,1,2500.12803
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,1,2695.93282
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,1,3868.42491
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1,1240.31316
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",478.18797,1,1802.0467
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",426.01511,1,2235.21474
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",441.41138,1,1830.18918
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",481.74457,1,2221.94949
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",385.92729,1,2236.86838
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",322.35062,1,1595.86071
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",395.60811,1,1243.95501
