"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24",-28.0787,113.4414,20210512,"09:07","NPZ6","No-take","npz6.27",53.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14",-28.0937,113.4213,20210512,"08:56","NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.6",-28.0837,113.4439,20210512,"09:04","NPZ6","No-take","npz6.6",55.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2",-28.0612,113.4339,20210512,"09:26","NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.18",-28.0962,113.4438,20210512,"08:48","NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22",-28.0687,113.4512,20210512,"09:16","NPZ6","No-take","npz6.23",45,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20",-28.0736,113.4593,20210512,"09:13","NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26",-28.0937,113.4563,20210512,"08:43","NPZ6","No-take","npz6.29",33.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.27",-28.0562,113.4464,20210512,"09:21","NPZ6","No-take","npz6.30",39,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.8",-28.0688,113.3413,20210512,"11:45","NPZ6","No-take","npz6.8",154,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.15",-28.0588,113.3488,20210512,"11:41","NPZ6","No-take","npz6.15",145,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.9",-28.0386,113.3814,20210512,"11:28","NPZ6","No-take","npz6.9",77.2,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13",-28.0611,113.3714,20210512,"11:19","NPZ6","No-take","npz6.13",109,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10",-28.0787,113.3764,20210512,"11:07","NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17",-28.0837,113.3839,20210512,"11:03","NPZ6","No-take","npz6.18",94,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4",-28.0814,113.3988,20210512,"10:57","NPZ6","No-take","npz6.4",67.5,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21",-28.0714,113.3992,20210512,"10:54","NPZ6","No-take","npz6.22",59.3,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.5",-28.0636,113.3935,20210512,"10:50","NPZ6","No-take","npz6.5",65.8,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.12",-28.0512,113.2763,20210512,"13:48","NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01",-28.1078,113.3706,20210512,"14:39","NPZ6","Fished",NA,138,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.28",-28.1237,113.3663,20210512,"14:45","NPZ6","Fished","out6.1",149,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.C02",-28.118,113.385,20210512,"14:52","NPZ6","Fished",NA,125,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41",-28.1137,113.3939,20210512,"14:57","NPZ6","Fished",NA,104,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36",-28.1062,113.4089,20210512,"15:02","NPZ6","Fished","out6.9",66.5,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.7",-27.1162,113.1964,20210515,"08:37","NPZ9","No-take","npz9.7",97.2,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.29",-27.1313,113.2089,20210515,"08:27","NPZ9","No-take","npz9.29",96.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.12",-27.1462,113.2039,20210515,"08:19","NPZ9","No-take","npz9.12",92.2,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.5",-27.151,113.214,20210515,"08:09","NPZ9","No-take","npz9.5",87.8,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.9",-27.1288,113.1888,20210515,"08:48","NPZ9","No-take","npz9.9",82.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.26",-27.1437,113.2139,20210515,"08:14","NPZ9","No-take","npz9.26",90.9,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.11",-27.1238,113.1889,20210515,"08:46","NPZ9","No-take","npz9.11",85.8,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.19",-27.1539,113.1764,20210515,"08:58","NPZ9","No-take","npz9.19",87.1,"Molly","Y","N"
"2021-05_Abrolhos_stereo-BRUVs","npz9.30",-27.1187,113.1864,20210515,"08:43","NPZ9","No-take","npz9.30",90.3,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.10",-27.1638,113.1565,20210515,"10:36","NPZ9","No-take","npz9.10",93.6,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.22",-27.1537,113.1413,20210515,"10:34","NPZ9","No-take","npz9.22",102,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.2",-27.1411,113.1465,20210515,"10:52","NPZ9","No-take","npz9.2",92.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.14",-27.1438,113.1364,20210515,"10:56","NPZ9","No-take","npz9.14",101,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.3",-27.1312,113.1239,20210515,"11:04","NPZ9","No-take","npz9.3",104,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.8",-27.1261,113.1189,20210515,"11:08","NPZ9","No-take","npz9.8",105,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.24",-27.1311,113.1067,20210515,"11:14","NPZ9","No-take","npz9.24",117,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.21",-27.1362,113.1014,20210515,"11:26","NPZ9","No-take","npz9.21",122,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.16",-27.1187,113.109,20210515,"13:16","NPZ9","No-take","npz9.16",108,"Molly","Y","Y"
