"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",414.13365,1872.45618,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",446.80786,2511.48532,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",446.26441,2083.98847,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",452.64395,1327.79347,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",459.07871,2500.12803,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",367.40997,1530.25354,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",303.44706,1284.89741,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",327.17062,1277.9053,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1382.25058,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,2695.93282,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,3868.42491,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1240.31316,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",478.18797,1802.0467,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",426.01511,2235.21474,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",441.41138,1830.18918,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",542.53282,3130.68968,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Choerodon","rubescens",425.19382,1719.36352,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Choerodon","rubescens",270.85874,2035.52127,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",481.74457,2221.94949,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",385.92729,2236.86838,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",322.35062,1595.86071,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",395.60811,1243.95501,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",523.25876,1279.71016,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","nebulosus",602.06538,4991.72879,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.15","2021-05_Abrolhos_stereo-BRUVs","npz6.15","Triakidae","Mustelus","spp",728.54002,1663.20264,-28.0588,113.3488,20210512,11:41:00,"NPZ6","No-take","npz6.15",145,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.17","2021-05_Abrolhos_stereo-BRUVs","npz6.17","Carangidae","Seriola","hippos",648.13341,1605.17073,-28.0837,113.3839,20210512,11:03:00,"NPZ6","No-take","npz6.18",94,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.17","2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",510.44865,1166.98323,-28.0837,113.3839,20210512,11:03:00,"NPZ6","No-take","npz6.18",94,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.17","2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",436.31224,1714.3946,-28.0837,113.3839,20210512,11:03:00,"NPZ6","No-take","npz6.18",94,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.17","2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",366.13704,1516.51434,-28.0837,113.3839,20210512,11:03:00,"NPZ6","No-take","npz6.18",94,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",666.26856,1968.37392,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",629.01199,2239.08921,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",551.74505,1827.17865,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",632.83368,2004.40577,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
