"","sample","scientific","campaignid","latitude","longitude","method","unique_id","number","response","date","site","location","successful.count","depth","fov.limited","fov.open","fov.total.points.annotated","kelps","broad.ascidians","broad.bryozoa","rock","broad.hydroids","broad.invertebrate.complex","macroalgae","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","x","y","id","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts","status","successful.length"
"1","npz6.1","Labridae Choerodon rubescens","2021-05_Abrolhos_BOSS",-28.0459,113.3761,"BOSS","2021-05_Abrolhos_BOSS_npz6.1",1,"Labridae Choerodon rubescens_BOSS",20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,0.533333333333333,75,1.52380952380952,0.644008186111638,113.3761,-28.0459,20,89.2529907226562,0.956954102918251,256.566249551975,-0.402997016906738,3.22027111053467,10.1521911621094,-4.50719690322876,-84.7457962036133,0.466666666666667,"No-take","Y"
"2","npz6.1","Labridae Coris auricularis","2021-05_Abrolhos_BOSS",-28.0459,113.3761,"BOSS","2021-05_Abrolhos_BOSS_npz6.1",0,"Labridae Coris auricularis_BOSS",20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,0.533333333333333,75,1.52380952380952,0.644008186111638,113.3761,-28.0459,20,89.2529907226562,0.956954102918251,256.566249551975,-0.402997016906738,3.22027111053467,10.1521911621094,-4.50719690322876,-84.7457962036133,0.466666666666667,"No-take","Y"
"3","npz6.1","Labridae Suezichthys cyanolaemus","2021-05_Abrolhos_BOSS",-28.0459,113.3761,"BOSS","2021-05_Abrolhos_BOSS_npz6.1",0,"Labridae Suezichthys cyanolaemus_BOSS",20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,0.533333333333333,75,1.52380952380952,0.644008186111638,113.3761,-28.0459,20,89.2529907226562,0.956954102918251,256.566249551975,-0.402997016906738,3.22027111053467,10.1521911621094,-4.50719690322876,-84.7457962036133,0.466666666666667,"No-take","Y"
"4","npz6.1","Lethrinidae Lethrinus miniatus","2021-05_Abrolhos_BOSS",-28.0459,113.3761,"BOSS","2021-05_Abrolhos_BOSS_npz6.1",0,"Lethrinidae Lethrinus miniatus_BOSS",20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,0.533333333333333,75,1.52380952380952,0.644008186111638,113.3761,-28.0459,20,89.2529907226562,0.956954102918251,256.566249551975,-0.402997016906738,3.22027111053467,10.1521911621094,-4.50719690322876,-84.7457962036133,0.466666666666667,"No-take","Y"
"5","npz6.1","Mullidae Parupeneus spilurus","2021-05_Abrolhos_BOSS",-28.0459,113.3761,"BOSS","2021-05_Abrolhos_BOSS_npz6.1",0,"Mullidae Parupeneus spilurus_BOSS",20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,0.533333333333333,75,1.52380952380952,0.644008186111638,113.3761,-28.0459,20,89.2529907226562,0.956954102918251,256.566249551975,-0.402997016906738,3.22027111053467,10.1521911621094,-4.50719690322876,-84.7457962036133,0.466666666666667,"No-take","Y"
"6","npz6.10","Labridae Choerodon rubescens","2021-05_Abrolhos_BOSS",-28.0798,113.3498,"BOSS","2021-05_Abrolhos_BOSS_npz6.10",0,"Labridae Choerodon rubescens_BOSS",20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3498,-28.0798,43,153.234664916992,0.608486200644988,286.611104973588,-0.498750686645508,2.08444023132324,6.50485229492188,-34.6470718383789,-118.587593078613,0,"No-take","Y"
"7","npz6.10","Labridae Choerodon rubescens","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,"BRUV",NA,0,"Labridae Choerodon rubescens_BRUV",20210512,"npz6.10","NPZ6","Y",112,17,23,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.3764,-28.0787,60,110.976715087891,1.43792029864557,256.831671043489,-0.502714157104492,4.90752601623535,14.8594131469727,-18.7898006439209,-92.1869125366211,0,NA,NA
"8","npz6.10","Labridae Coris auricularis","2021-05_Abrolhos_BOSS",-28.0798,113.3498,"BOSS","2021-05_Abrolhos_BOSS_npz6.10",0,"Labridae Coris auricularis_BOSS",20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3498,-28.0798,43,153.234664916992,0.608486200644988,286.611104973588,-0.498750686645508,2.08444023132324,6.50485229492188,-34.6470718383789,-118.587593078613,0,"No-take","Y"
"9","npz6.10","Labridae Coris auricularis","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,"BRUV",NA,0,"Labridae Coris auricularis_BRUV",20210512,"npz6.10","NPZ6","Y",112,17,23,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.3764,-28.0787,60,110.976715087891,1.43792029864557,256.831671043489,-0.502714157104492,4.90752601623535,14.8594131469727,-18.7898006439209,-92.1869125366211,0,NA,NA
"10","npz6.10","Labridae Suezichthys cyanolaemus","2021-05_Abrolhos_BOSS",-28.0798,113.3498,"BOSS","2021-05_Abrolhos_BOSS_npz6.10",0,"Labridae Suezichthys cyanolaemus_BOSS",20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3498,-28.0798,43,153.234664916992,0.608486200644988,286.611104973588,-0.498750686645508,2.08444023132324,6.50485229492188,-34.6470718383789,-118.587593078613,0,"No-take","Y"
"11","npz6.10","Labridae Suezichthys cyanolaemus","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,"BRUV",NA,0,"Labridae Suezichthys cyanolaemus_BRUV",20210512,"npz6.10","NPZ6","Y",112,17,23,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.3764,-28.0787,60,110.976715087891,1.43792029864557,256.831671043489,-0.502714157104492,4.90752601623535,14.8594131469727,-18.7898006439209,-92.1869125366211,0,NA,NA
"12","npz6.10","Lethrinidae Lethrinus miniatus","2021-05_Abrolhos_BOSS",-28.0798,113.3498,"BOSS","2021-05_Abrolhos_BOSS_npz6.10",0,"Lethrinidae Lethrinus miniatus_BOSS",20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3498,-28.0798,43,153.234664916992,0.608486200644988,286.611104973588,-0.498750686645508,2.08444023132324,6.50485229492188,-34.6470718383789,-118.587593078613,0,"No-take","Y"
"13","npz6.10","Lethrinidae Lethrinus miniatus","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,"BRUV",NA,0,"Lethrinidae Lethrinus miniatus_BRUV",20210512,"npz6.10","NPZ6","Y",112,17,23,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.3764,-28.0787,60,110.976715087891,1.43792029864557,256.831671043489,-0.502714157104492,4.90752601623535,14.8594131469727,-18.7898006439209,-92.1869125366211,0,NA,NA
"14","npz6.10","Mullidae Parupeneus spilurus","2021-05_Abrolhos_BOSS",-28.0798,113.3498,"BOSS","2021-05_Abrolhos_BOSS_npz6.10",0,"Mullidae Parupeneus spilurus_BOSS",20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3498,-28.0798,43,153.234664916992,0.608486200644988,286.611104973588,-0.498750686645508,2.08444023132324,6.50485229492188,-34.6470718383789,-118.587593078613,0,"No-take","Y"
"15","npz6.10","Mullidae Parupeneus spilurus","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,"BRUV",NA,0,"Mullidae Parupeneus spilurus_BRUV",20210512,"npz6.10","NPZ6","Y",112,17,23,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.3764,-28.0787,60,110.976715087891,1.43792029864557,256.831671043489,-0.502714157104492,4.90752601623535,14.8594131469727,-18.7898006439209,-92.1869125366211,0,NA,NA
"16","npz6.11","Labridae Choerodon rubescens","2021-05_Abrolhos_BOSS",-28.0761,113.4539,"BOSS","2021-05_Abrolhos_BOSS_npz6.11",2,"Labridae Choerodon rubescens_BOSS",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,0.10958904109589,0,0,61,0,0,0.0547945205479452,73,2.6865671641791,0.467389760908861,113.4539,-28.0761,9,36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,"No-take","Y"
"17","npz6.11","Labridae Coris auricularis","2021-05_Abrolhos_BOSS",-28.0761,113.4539,"BOSS","2021-05_Abrolhos_BOSS_npz6.11",3,"Labridae Coris auricularis_BOSS",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,0.10958904109589,0,0,61,0,0,0.0547945205479452,73,2.6865671641791,0.467389760908861,113.4539,-28.0761,9,36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,"No-take","Y"
"18","npz6.11","Labridae Suezichthys cyanolaemus","2021-05_Abrolhos_BOSS",-28.0761,113.4539,"BOSS","2021-05_Abrolhos_BOSS_npz6.11",0,"Labridae Suezichthys cyanolaemus_BOSS",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,0.10958904109589,0,0,61,0,0,0.0547945205479452,73,2.6865671641791,0.467389760908861,113.4539,-28.0761,9,36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,"No-take","Y"
"19","npz6.11","Lethrinidae Lethrinus miniatus","2021-05_Abrolhos_BOSS",-28.0761,113.4539,"BOSS","2021-05_Abrolhos_BOSS_npz6.11",10,"Lethrinidae Lethrinus miniatus_BOSS",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,0.10958904109589,0,0,61,0,0,0.0547945205479452,73,2.6865671641791,0.467389760908861,113.4539,-28.0761,9,36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,"No-take","Y"
"20","npz6.11","Mullidae Parupeneus spilurus","2021-05_Abrolhos_BOSS",-28.0761,113.4539,"BOSS","2021-05_Abrolhos_BOSS_npz6.11",0,"Mullidae Parupeneus spilurus_BOSS",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,0.10958904109589,0,0,61,0,0,0.0547945205479452,73,2.6865671641791,0.467389760908861,113.4539,-28.0761,9,36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,"No-take","Y"
"21","npz6.12","Labridae Choerodon rubescens","2021-05_Abrolhos_BOSS",-28.0486,113.3238,"BOSS","2021-05_Abrolhos_BOSS_npz6.12",0,"Labridae Choerodon rubescens_BOSS",20210511,"npz6.12","NPZ6","Y",159,0,80,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3238,-28.0486,24,161.585662841797,0.468033875701961,235.457528415798,0.255317687988281,1.53131866455078,5.74925231933594,-26.4499797821045,-135.135681152344,0,"No-take","Y"
"22","npz6.12","Labridae Choerodon rubescens","2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,"BRUV",NA,0,"Labridae Choerodon rubescens_BRUV",20210512,"npz6.12","NPZ6","N",185,16,24,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.2763,-28.0512,65,185.840286254883,0.472855069481323,199.77426278105,-0.128358840942383,1.79825782775879,5.76031494140625,11.4979190826416,-197.33821105957,0,NA,NA
"23","npz6.12","Labridae Coris auricularis","2021-05_Abrolhos_BOSS",-28.0486,113.3238,"BOSS","2021-05_Abrolhos_BOSS_npz6.12",0,"Labridae Coris auricularis_BOSS",20210511,"npz6.12","NPZ6","Y",159,0,80,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3238,-28.0486,24,161.585662841797,0.468033875701961,235.457528415798,0.255317687988281,1.53131866455078,5.74925231933594,-26.4499797821045,-135.135681152344,0,"No-take","Y"
"24","npz6.12","Labridae Coris auricularis","2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,"BRUV",NA,0,"Labridae Coris auricularis_BRUV",20210512,"npz6.12","NPZ6","N",185,16,24,40,0,0,0,0,0,0,0,0,0,1,28,0,0,113.2763,-28.0512,65,185.840286254883,0.472855069481323,199.77426278105,-0.128358840942383,1.79825782775879,5.76031494140625,11.4979190826416,-197.33821105957,0,NA,NA
"25","npz6.12","Labridae Suezichthys cyanolaemus","2021-05_Abrolhos_BOSS",-28.0486,113.3238,"BOSS","2021-05_Abrolhos_BOSS_npz6.12",0,"Labridae Suezichthys cyanolaemus_BOSS",20210511,"npz6.12","NPZ6","Y",159,0,80,80,0,0,0,0,0,0,0,0,0,1,80,0,0,113.3238,-28.0486,24,161.585662841797,0.468033875701961,235.457528415798,0.255317687988281,1.53131866455078,5.74925231933594,-26.4499797821045,-135.135681152344,0,"No-take","Y"
