sample,Carangidae Seriola dumerili,Carangidae Seriola hippos,Carangidae Unknown sp10,Carcharhinidae Carcharhinus plumbeus,Chaetodontidae Chaetodon assarius,Cirrhitidae Paracirrhites forsteri,Echeneidae Unknown spp,Ginglymostomatidae Nebrius ferrugineus,Glaucosomatidae Glaucosoma hebraicum,Labridae Anampses geographicus,Labridae Austrolabrus maculatus,Labridae Bodianus bilunulatus,Labridae Bodianus solatus,Labridae Choerodon rubescens,Labridae Coris auricularis,Labridae Coris caudimacula,Labridae Labroides dimidiatus,Labridae Notolabrus parilus,Labridae Pseudojuloides elongatus,Labridae Suezichthys cyanolaemus,Labridae Unknown sp3,Labridae Unknown spp,Lethrinidae Gymnocranius spp,Lethrinidae Lethrinus miniatus,Lethrinidae Lethrinus nebulosus,Lethrinidae Lethrinus spp,Lethrinidae Unknown spp,Lutjanidae Lutjanus sp10,Monacanthidae Eubalichthys caeruleoguttatus,Mullidae Parupeneus chrysopleuron,Mullidae Parupeneus spilurus,Nemipteridae Pentapodus nagasakiensis,Ostraciidae Unknown spp,Pempherididae Pempheris klunzingeri,Pinguipedidae Parapercis spp,Platycephalidae Platycephalus spp,Pomacanthidae Apolemichthys trimaculatus,Pomacanthidae Chaetodontoplus personifer,Pomacanthidae Pomacanthus semicirculatus,Pomacentridae Chromis spp,Scaridae Scarus chameleon,Scaridae Scarus ghobban,Scaridae Scarus sp3,Scaridae Scarus spp,Scorpididae Neatypus obliquus,Scorpididae Scorpis georgiana,Serranidae Caprodon schlegelii,Serranidae Epinephelus rivulatus,Serranidae Plectropomus spp,Serranidae Pseudanthias spp,Sparidae Chrysophrys auratus,SUS SUS sus,Tetraodontidae Unknown spp,Acanthuridae Acanthurus olivaceus,Acanthuridae Acanthurus xanthopterus,Apogonidae Ostorhinchus angustatus,Apogonidae Ostorhinchus spp,Ariidae Netuma thalassina,Carangidae Carangoides fulvoguttatus,Carangidae Carangoides spp,Carangidae Pseudocaranx spp,Carangidae Unknown spp,Carcharhinidae Carcharhinus albimarginatus,Carcharhinidae Carcharhinus spp,Carcharhinidae Galeocerdo cuvier,Chaetodontidae Chaetodon auriga,Chaetodontidae Chaetodon lunula,Cheilodactylidae Cheilodactylus gibbosus,Dasyatidae Taeniurops meyeni,Echeneidae Echeneis naucrates,Gerreidae Parequula melbournensis,Gerreidae Pentaprion longimanus,Gerreidae Unknown spp,Glaucosomatidae Glaucosoma buergeri,Haemulidae Diagramma pictum labiosum,Labridae Anampses caeruleopunctatus,Labridae Bodianus spp,Labridae Bodianus vulpinus,Labridae Stethojulis sp,Labridae Stethojulis sp1,Labridae Stethojulis spp,Labridae Thalassoma lutescens,Labridae Unknown sp,Labridae Unknown sp1,Lethrinidae Gymnocranius grandoculis,Lethrinidae Lethrinus ravus,Lutjanidae Pristipomoides multidens,Lutjanidae Pristipomoides spp,Lutjanidae Pristipomoides typus,Monacanthidae Nelusetta ayraud,Monacanthidae Unknown sp1,Monacanthidae Unknown spp,Muraenidae Gymnothorax thyrsoideus,Muraenidae Gymnothorax woodwardi,Muraenidae Unknown spp,Nemipteridae Pentapodus spp,Nempiteridae Pentapodus nagasakiensis,Orectolobidae Orectolobus hutchinsi,Ostraciidae Tetrosomus reipublicae,Pempherididae Pempheris tominagai,Pinguipedidae Parapercis haackei,Pinguipedidae Parapercis nebulosa,Pinguipedidae Unknown spp,Pomacentridae Parma occidentalis,Rachycentridae Rachycentron canadum,Rhinidae Rhynchobatus australiae,Scombridae Scomberomorus spp,Serranidae Epinephelus areolatus,Serranidae Epinephelus morrhua,Siganidae Siganus argenteus,Siganidae Siganus punctatus,Sphyrnidae Sphyrna lewini,Tetraodontidae Lagocephalus sceleratus,Tetraodontidae Torquigener sp10,Tetraodontidae Unknown sp1,Triakidae Hemitriakis falcata,Triakidae Mustelus spp,Trygonorrhinidae Aptychotrema vincentiana,Urolophidae Unknown spp,Zanclidae Zanclus cornutus,,method,campaignid,latitude,longitude,status,depth,location,fov.limited,fov.open,fov.total.points.annotated,kelps,rock,macroalgae,sand,inverts,broad.ascidians,broad.bryozoa,broad.hydroids,broad.invertebrate.complex,broad.octocoral.black,broad.sponges,broad.total.points.annotated,mean.relief,sd.relief,z,slope,aspect,tpi,tri,roughness,detrended,lineartrend
npz6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0459,113.3761,No-take,90.9,NPZ6,5,75,80,0,0,0,0.533333333,0.466666667,0,0,0,27,0,8,75,1.523809524,0.644008186,-94,0.822347663,262.7607764,-0.5,2.75,10,-6.163965225,-87.83603668
npz6.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0798,113.3498,No-take,151,NPZ6,4,76,80,0,0,0,1,0,0,0,0,0,0,0,80,0,0,-157,0.622783631,297.2317308,-0.125,2.125,7,-32.79137421,-124.2086258
npz6.11,0,2,1,0,0,0,1,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0761,113.4539,No-take,34,NPZ6,6,74,80,0,0.109589041,0.835616438,0.054794521,0,0,0,0,0,0,0,73,2.686567164,0.467389761,-33,1.854040166,61.64399104,1.75,6.25,21,16.60132599,-49.60132599
npz6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0486,113.3238,No-take,159,NPZ6,0,80,80,0,0,0,1,0,0,0,0,0,0,0,80,0,0,-166,0.512888115,232.6878132,0.375,1.625,6,-25.82797813,-140.1720276
npz6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0537,113.4489,No-take,57,NPZ6,6,74,80,0,0.9625,0,0.0375,0,0,0,0,0,0,0,80,1,0,-49,1.863427144,45.97811866,0.875,6.125,21,1.03380096,-50.03380203
npz6.14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,1,0,0,0,1,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0912,113.4589,No-take,25.5,NPZ6,5,75,80,0,0.223684211,0.763157895,0.013157895,0,0,0,0,0,0,0,76,2.924242424,0.364189556,-31,2.833707736,63.40787066,-2.625,10.125,28,18.72218513,-49.72218323
npz6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0712,113.3788,No-take,92,NPZ6,6,74,80,0,0,0,0.315789474,0.684210526,0,1,0,37,2,12,76,1.794117647,0.65923573,-106,1.994894937,242.9755024,-3.25,7,23,-13.98807812,-92.01192474
npz6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0411,113.3588,No-take,123,NPZ6,0,80,80,0,0,0,1,0,0,0,0,0,0,0,80,0,0,-129,1.224626167,272.4246615,0.125,4.125,12,-27.76306915,-101.2369308
npz6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0587,113.3939,No-take,65.7,NPZ6,6,74,80,0,0,0,0.056338028,0.943661972,0,0,1,32,0,34,71,1.484375,0.534290436,-69,0.864259085,282.1121663,-0.125,3.125,12,8.404079437,-77.40407562
npz6.18,0,0,0,0,1,0,0,0,0,3,0,0,0,2,6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,39,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0837,113.5038,No-take,50,NPZ6,5,74,79,0,0.435897436,0.038461538,0.153846154,0.371794872,0,1,0,3,0,25,78,2,0.56343617,-50,0.493107278,3.388644017,-0.625,1.875,7,-8.176495552,-41.8235054
