sample,Apogonidae Apogon sp1,Apogonidae Ostorhinchus aureus,Balistidae Sufflamen fraenatum,Balistidae Unknown spp,Balistidae Xanthichthys lineopunctatus,Caesionidae Pterocaesio chrysozona,Carangidae Carangoides chrysophrys,Carangidae Carangoides coeruleopinnatus,Carangidae Carangoides fulvoguttatus,Carangidae Carangoides gymnostethus,Carangidae Carangoides spp,Carangidae Decapterus spp,Carangidae Gnathanodon speciosus,Carangidae Pseudocaranx spp,Carangidae Seriola spp,Carangidae Unknown spp,Carcharhinidae Carcharhinus albimarginatus,Carcharhinidae Carcharhinus plumbeus,Carcharhinidae Carcharhinus spp,Chaetodontidae Chaetodon assarius,Chaetodontidae Heniochus acuminatus,Chaetodontidae Heniochus diphreutes,Chaetodontidae Heniochus spp,Cirrhitidae Cyprinocirrhites polyactis,Clupeidae Unknown spp,Echeneidae Echeneis naucrates,Gobiidae Unknown spp,Holocentridae Sargocentron rubrum,Holocentridae Sargocentron spp,Labridae Bodianus bilunulatus,Labridae Bodianus solatus,Labridae Coris caudimacula,Labridae Labroides dimidiatus,Labridae Suezichthys cyanolaemus,Lethrinidae Gymnocranius sp1,Lethrinidae Lethrinus miniatus,Lethrinidae Lethrinus ravus,Lethrinidae Lethrinus rubrioperculatus,Lethrinidae Unknown spp,Lutjanidae Aphareus rutilans,Lutjanidae Lutjanus lemniscatus,Lutjanidae Lutjanus sebae,Lutjanidae Pristipomoides sp1,Lutjanidae Pristipomoides spp,Microdesmidae Ptereleotris heteroptera,Monacanthidae Unknown spp,Mullidae Parupeneus cyclostomus,Mullidae Parupeneus spilurus,Mullidae Unknown spp,Nemipteridae Pentapodus nagasakiensis,Nemipteridae Unknown spp,Ostraciidae Unknown spp,Pinguipedidae Parapercis nebulosa,Pomacanthidae Chaetodontoplus spp,Pomacanthidae Pomacanthus semicirculatus,Pomacentridae Amblypomacentrus breviceps,Priacanthidae Priacanthus hamrur,Priacanthidae Priacanthus spp,Scombridae Scomberomorus spp,Serranidae Cephalopholis sonnerati,Serranidae Epinephelus areolatus,Serranidae Epinephelus multinotatus,Serranidae Epinephelus spp,Serranidae Plectropomus spp,Serranidae Pseudanthias fasciata,Serranidae Pseudanthias georgei,Serranidae Pseudanthias spp,Serranidae Unknown spp,Sparidae Dentex spp,SUS SUS sus,Triakidae Unknown spp,Acanthuridae Naso brachycentron,Acanthuridae Naso fageni,Acanthuridae Naso hexacanthus,Albulidae Albula argentea,Apogonidae Apogon spp,Apogonidae Unknown spp,Balistidae Abalistes filamentosus,Balistidae Abalistes stellatus,Balistidae Pseudobalistes flavimarginatus,Balistidae Pseudobalistes fuscus,Carangidae Carangoides caeruleopinnatus,Carangidae Carangoides equula,Carangidae Caranx ignobilis,Carangidae Caranx lugubris,Carangidae Caranx sexfasciatus,Carangidae Decapterus muroadsi,Carangidae Seriola dumerili,Carangidae Seriola rivoliana,Carangidae Seriola sp1,Carangidae Seriolina nigrofasciata,Carangidae Unknown sp10,Carcharhinidae Carcharhinus macloti,Carcharhinidae Galeocerdo cuvier,Carcharhinidae Hemitriakis spp,Carcharhinidae Loxodon macrorhinus,Carcharhinidae Unknown spp,Cirrhitidae Cirrhitichthys aprinus,Cirrhitidae Paracirrhites forsteri,Dasyatidae Taeniurops meyeni,Ephippidae Platax batavianus,Fistulariidae Fistularia commersonii,Haemulidae Diagramma pictum,Labridae Bodianus izuensis,Labridae Choerodon sp1,Labridae Choerodon zamboangae,Labridae Diproctacanthus xanthurus,Labridae Oxycheilinus orientalis,Labridae Unknown spp,Lethrinidae Gymnocranius euanus,Lethrinidae Gymnocranius grandoculis,Lethrinidae Lethrinus nebulosus,Lethrinidae Lethrinus olivaceus,Lethrinidae Lethrinus spp,Lutjanidae Aprion virescens,Lutjanidae Pristipomoides filamentosus,Lutjanidae Pristipomoides multidens,Lutjanidae Pristipomoides typus,Malacanthidae Malacanthus brevirostris,Malacanthidae Malacanthus latovittatus,Microdesmidae Ptereleotris spp,Monacanthidae Aluterus monoceros,Mullidae Mulloidichthys flavolineatus,Mullidae Parupeneus chrysopleuron,Mullidae Parupeneus heptacanthus,Mullidae Upeneus moluccensis,Muraenidae Gymnothorax berndti,Muraenidae Gymnothorax javanicus,Muraenidae Gymnothorax pseudothyrsoideus,Muraenidae Gymnothorax sp1,Nemipteridae Nemipterus spp,Nemipteridae Nemipterus virgatus,Nemipteridae Parascolopsis eriomma,Nemipteridae Parascolopsis inermis,Nemipteridae Pentapodus spp,Nemipteridae Pentapodus vitta,Pinguipedidae Parapercis clathrata,Pinguipedidae Parapercis spp,Pomacanthidae Apolemichthys trimaculatus,Pomacanthidae Chaetodontoplus personifer,Pomacanthidae Pomacanthus imperator,Pteroidae Pterois antennata,Rhinobatidae Rhinobatos sainsburyi,Rhynchobatidae Rhynchobatus laevis,Scaridae Scarus ghobban,Scaridae Scarus sp3,Scombridae Scomberomorus commerson,Serranidae Epinephelus amblycephalus,Serranidae Epinephelus coioides,Serranidae Epinephelus morrhua,Serranidae Epinephelus rivulatus,Serranidae Epinephelus tukula,Serranidae Variola louti,Sparidae Argyrops spinifer,Sparidae Chrysophrys auratus,Sphyraenidae Sphyraena forsteri,Sphyraenidae Sphyraena jello,Sphyraenidae Sphyraena qenie,Sphyraenidae Sphyraena spp,Sphyrnidae Sphyrna mokarran,Stegostomatidae Stegostoma fasciatum,Synodontidae Saurida undosquamis,Tetraodontidae Arothron stellatus,Tetraodontidae Lagocephalus lunaris,Tetraodontidae Lagocephalus sceleratus,Triakidae Hemitriakis falcata,Triakidae Mustelus ravidus,Triakidae Mustelus stevensi,,method,campaignid,latitude,longitude,status,depth,location,rock,broad.hydroids,broad.invertebrate.complex,broad.octocoral.black,broad.sponges,sand,inverts,broad.total.points.annotated,mean.relief,sd.relief,broad.bryozoa,id,z,slope,aspect,tpi,tri,roughness,detrended,lineartrend
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.6886,113.5539,No-take,93.6,Point Cloates,0,0,1,0,1,0.966101695,0.033898305,59,0.292682927,0.512049921,0,1,-94.40129089,1.248148246,294.5320743,-0.609800339,4.403762817,14.20443726,-8.659220695,-85.74207306
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.6887,113.5238,No-take,176,Point Cloates,0,0,0,0,0,1,0,62,0,0,0,6,-172.9774475,2.650436968,295.1047611,-0.261472702,9.460264206,32.2467804,-26.30604553,-146.671402
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.7137,113.5364,No-take,107,Point Cloates,0,1,7,3,16,0.534482759,0.465517241,58,0.975,0.357161172,0,7,-104.1054764,0.368889915,259.1799617,-1.257392883,1.597082138,5.551467896,8.519814491,-112.6252899
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.7037,113.5389,No-take,107,Point Cloates,0,3,1,8,8,0.655172414,0.344827586,58,0.775,0.530481156,0,8,-102.0621872,0.284040969,293.0487143,0.228021622,1.295612335,4.585403442,7.977099895,-110.0392838
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.7037,113.5188,No-take,168,Point Cloates,0,0,2,2,0,0.928571429,0.071428571,56,0.393939394,0.496197663,0,9,-162.331604,2.65654624,292.7321365,0.091783524,9.467401505,31.81835938,-11.44335938,-150.8882446
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.6838,113.5489,No-take,102,Point Cloates,0,0,5,19,6,0.444444444,0.555555556,54,1.307692308,1.029916863,0,10,-98.54459381,0.197680189,251.8293072,1.817869186,1.817869186,3.342567444,-1.614007115,-96.93058777
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.7314,113.5313,No-take,106,Point Cloates,0,2,4,5,13,0.538461538,0.461538462,52,0.945945946,0.704980139,0,11,-106.9699936,0.88392978,283.3432479,-1.342113495,3.188022614,10.09841156,12.24135017,-119.2113419
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.6987,113.5214,No-take,167,Point Cloates,0,0,0,1,0,0.98,0.02,50,0.333333333,0.479463301,0,2,-161.9400635,2.741603493,294.1241566,-0.207582474,9.757780075,33.19345093,-14.43507671,-147.5049896
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_PtCloates_BOSS,-22.7187,113.5265,No-take,120,Point Cloates,0,0,2,7,9,0.666666667,0.333333333,54,1,0.338061702,0,12,-113.7155762,1.407817946,283.6586139,0.810181618,4.920968056,14.90926361,17.13272095,-130.8482971
201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2022-05_PtCloates_Naked-BOSS,-22.7488,113.5378,No-take,94.9,Point Cloates,0,0,0,2,2,0.946666667,0.053333333,75,0.122807018,0.331133089,0,54,-83.74121094,0.634795413,276.249999,-0.017315865,2.20146656,6.437561035,21.38679695,-105.128006
