"","sample.x","scientific","maxn","family","genus","species","campaignid.x","latitude.x","longitude.x","date.time","location.x","status.x","depth.x","successful.count.x","successful.length.x","method.x","unique_id","date.x","time","site.x","observer.count","sample.y","latitude.y","longitude.y","date.y","site.y","location.y","depth.y","successful.count.y","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","method.y","campaignid.y","broad.bryozoa","id","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts","sample","method","campaignid","latitude","longitude","date","location","status.y","site","depth","successful.count","successful.length.y"
"1","1","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.6886,113.5539,"20/05/2021 5:03","Point Cloates","No-take",93.6,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_1",NA,NA,NA,NA,"1",-22.6886,113.5539,20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,"BOSS","2021-05_PtCloates_BOSS",0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,"1","BOSS","2021-05_PtCloates_BOSS",-22.6886,113.5539,NA,"Point Cloates","No-take",NA,93.6,"Yes","Yes"
"2","10","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.6887,113.5238,"20/05/2021 4:02","Point Cloates","No-take",176,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_10",NA,NA,NA,NA,"10",-22.6887,113.5238,20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,"BOSS","2021-05_PtCloates_BOSS",0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,"10","BOSS","2021-05_PtCloates_BOSS",-22.6887,113.5238,NA,"Point Cloates","No-take",NA,176,"Yes","Yes"
"3","12","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.7137,113.5364,"20/05/2021 2:49","Point Cloates","No-take",107,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_12",NA,NA,NA,NA,"12",-22.7137,113.5364,20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,"BOSS","2021-05_PtCloates_BOSS",0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,"12","BOSS","2021-05_PtCloates_BOSS",-22.7137,113.5364,NA,"Point Cloates","No-take",NA,107,"Yes","Yes"
"4","13","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.7037,113.5389,"20/05/2021 3:16","Point Cloates","No-take",107,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_13",NA,NA,NA,NA,"13",-22.7037,113.5389,20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,"BOSS","2021-05_PtCloates_BOSS",0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,"13","BOSS","2021-05_PtCloates_BOSS",-22.7037,113.5389,NA,"Point Cloates","No-take",NA,107,"Yes","Yes"
"5","15","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.7037,113.5188,"20/05/2021 3:33","Point Cloates","No-take",168,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_15",NA,NA,NA,NA,"15",-22.7037,113.5188,20210520,"inNP.15","Point Cloates",168,"Yes",0,0,2,2,0,0.928571428571429,56,0.393939393939394,0.496197663448873,"BOSS","2021-05_PtCloates_BOSS",0,9,162.331604003906,2.65654623952163,292.732136497201,0.0917835235595703,9.4674015045166,31.818359375,-11.443359375,-150.888244628906,0.0714285714285714,"15","BOSS","2021-05_PtCloates_BOSS",-22.7037,113.5188,NA,"Point Cloates","No-take",NA,168,"Yes","Yes"
"6","18","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.6838,113.5489,"20/05/2021 5:14","Point Cloates","No-take",102,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_18",NA,NA,NA,NA,"18",-22.6838,113.5489,20210520,"inNP.18","Point Cloates",102,"Yes",0,0,5,19,6,0.444444444444444,54,1.30769230769231,1.02991686312016,"BOSS","2021-05_PtCloates_BOSS",0,10,98.5445938110352,0.1976801885882,251.829307225347,1.81786918640137,1.81786918640137,3.34256744384766,-1.61400711536407,-96.9305877685547,0.555555555555556,"18","BOSS","2021-05_PtCloates_BOSS",-22.6838,113.5489,NA,"Point Cloates","No-take",NA,102,"Yes","Yes"
"7","19","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.7314,113.5313,"20/05/2021 0:09","Point Cloates","No-take",106,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_19",NA,NA,NA,NA,"19",-22.7314,113.5313,20210520,"inNP.19","Point Cloates",106,"Yes",0,2,4,5,13,0.538461538461538,52,0.945945945945946,0.704980139434436,"BOSS","2021-05_PtCloates_BOSS",0,11,106.969993591309,0.883929779737673,283.343247902757,-1.34211349487305,3.18802261352539,10.0984115600586,12.2413501739502,-119.21134185791,0.461538461538462,"19","BOSS","2021-05_PtCloates_BOSS",-22.7314,113.5313,NA,"Point Cloates","No-take",NA,106,"Yes","Yes"
"8","2","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.6987,113.5214,"20/05/2021 3:47","Point Cloates","No-take",167,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_2",NA,NA,NA,NA,"2",-22.6987,113.5214,20210520,"inNP.2","Point Cloates",167,"Yes",0,0,0,1,0,0.98,50,0.333333333333333,0.479463301485384,"BOSS","2021-05_PtCloates_BOSS",0,2,161.940063476562,2.74160349280455,294.124156636904,-0.207582473754883,9.75778007507324,33.1934509277344,-14.435076713562,-147.504989624023,0.02,"2","BOSS","2021-05_PtCloates_BOSS",-22.6987,113.5214,NA,"Point Cloates","No-take",NA,167,"Yes","Yes"
"9","20","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2021-05_PtCloates_BOSS",-22.7187,113.5265,"20/05/2021 2:35","Point Cloates","No-take",120,"Yes","Yes","BOSS","2021-05_PtCloates_BOSS_20",NA,NA,NA,NA,"20",-22.7187,113.5265,20210520,"inNP.20","Point Cloates",120,"Yes",0,0,2,7,9,0.666666666666667,54,1,0.338061701891407,"BOSS","2021-05_PtCloates_BOSS",0,12,113.715576171875,1.4078179464446,283.658613856092,0.810181617736816,4.9209680557251,14.9092636108398,17.1327209472656,-130.848297119141,0.333333333333333,"20","BOSS","2021-05_PtCloates_BOSS",-22.7187,113.5265,NA,"Point Cloates","No-take",NA,120,"Yes","Yes"
"10","201","Lethrinidae Gymnocranius sp1",0,"Lethrinidae","Gymnocranius","sp1","2022-05_PtCloates_Naked-BOSS",-22.7488,113.5378,"19/05/2022 3:50","Point Cloates","No-take",94.9,"Yes","Yes","BOSS","2022-05_PtCloates_Naked-BOSS_201",NA,NA,NA,NA,"201",-22.7488,113.5378,20220519,NA,"Point Cloates",94.9,"Yes",0,0,0,2,2,0.946666666666667,75,0.12280701754386,0.331133089266261,"BOSS","2022-05_PtCloates_Naked-BOSS",0,54,83.7412109375,0.634795413083623,276.249998951915,-0.0173158645629883,2.20146656036377,6.43756103515625,21.3867969512939,-105.128005981445,0.0533333333333333,"201","BOSS","2022-05_PtCloates_Naked-BOSS",-22.7488,113.5378,NA,"Point Cloates","No-take",NA,94.9,"Yes","Yes"
