"","sample","scientific","campaignid","latitude","longitude","method","unique_id","number","response","date","site","location","depth","successful.count","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","broad.bryozoa","id","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts","status","successful.length"
"1","1","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BOSS",-22.6886,113.5539,"BOSS","2021-05_PtCloates_BOSS_1",0,"Lethrinidae Gymnocranius sp1_BOSS",20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,NA,NA
"2","1","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BRUVS",-22.696,113.5315,"BRUV","2021-05_PtCloates_BRUVS_1",0,"Lethrinidae Gymnocranius sp1_BRUV",20210518,"inNP.1","Point Cloates",129,NA,0,0,5,1,11,0.433333333333333,30,2,0.794719414239026,0,126,124.10523223877,2.23228791748589,295.306561180768,0.934113502502441,7.98588466644287,27.0492706298828,3.23041462898254,-127.335647583008,0.566666666666667,NA,NA
"3","1","Lethrinidae Gymnocranius sp1","2022-05_PtCloates_stereo-BRUVS",-22.7221,113.5447,"BRUV","2022-05_PtCloates_stereo-BRUVS_1",2,"Lethrinidae Gymnocranius sp1_BRUV",20220522,NA,"Point Cloates",93.9,"Yes",0,1,0,1,0,0.923076923076923,26,0.1,0.307793505625546,0,171,87.7772445678711,0.980375717186356,282.484768533181,0.0275735855102539,3.46547603607178,10.6710586547852,10.2553787231445,-98.0326232910156,0.0769230769230769,NA,NA
"4","1","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BOSS",-22.6886,113.5539,"BOSS","2021-05_PtCloates_BOSS_1",0,"Lethrinidae Lethrinus miniatus_BOSS",20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,NA,NA
"5","1","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BRUVS",-22.696,113.5315,"BRUV","2021-05_PtCloates_BRUVS_1",3,"Lethrinidae Lethrinus miniatus_BRUV",20210518,"inNP.1","Point Cloates",129,NA,0,0,5,1,11,0.433333333333333,30,2,0.794719414239026,0,126,124.10523223877,2.23228791748589,295.306561180768,0.934113502502441,7.98588466644287,27.0492706298828,3.23041462898254,-127.335647583008,0.566666666666667,NA,NA
"6","1","Lethrinidae Lethrinus miniatus","2022-05_PtCloates_stereo-BRUVS",-22.7221,113.5447,"BRUV","2022-05_PtCloates_stereo-BRUVS_1",0,"Lethrinidae Lethrinus miniatus_BRUV",20220522,NA,"Point Cloates",93.9,"Yes",0,1,0,1,0,0.923076923076923,26,0.1,0.307793505625546,0,171,87.7772445678711,0.980375717186356,282.484768533181,0.0275735855102539,3.46547603607178,10.6710586547852,10.2553787231445,-98.0326232910156,0.0769230769230769,NA,NA
"7","1","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BOSS",-22.6886,113.5539,"BOSS","2021-05_PtCloates_BOSS_1",0,"Nemipteridae Pentapodus nagasakiensis_BOSS",20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,NA,NA
"8","1","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BRUVS",-22.696,113.5315,"BRUV","2021-05_PtCloates_BRUVS_1",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20210518,"inNP.1","Point Cloates",129,NA,0,0,5,1,11,0.433333333333333,30,2,0.794719414239026,0,126,124.10523223877,2.23228791748589,295.306561180768,0.934113502502441,7.98588466644287,27.0492706298828,3.23041462898254,-127.335647583008,0.566666666666667,NA,NA
"9","1","Nemipteridae Pentapodus nagasakiensis","2022-05_PtCloates_stereo-BRUVS",-22.7221,113.5447,"BRUV","2022-05_PtCloates_stereo-BRUVS_1",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20220522,NA,"Point Cloates",93.9,"Yes",0,1,0,1,0,0.923076923076923,26,0.1,0.307793505625546,0,171,87.7772445678711,0.980375717186356,282.484768533181,0.0275735855102539,3.46547603607178,10.6710586547852,10.2553787231445,-98.0326232910156,0.0769230769230769,NA,NA
"10","1","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BOSS",-22.6886,113.5539,"BOSS","2021-05_PtCloates_BOSS_1",0,"Pinguipedidae Parapercis nebulosa_BOSS",20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,NA,NA
