"","unique_id","sample","method","response","number","latitude","longitude","date","site","location","depth","successful.count","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","campaignid","broad.bryozoa","id","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts","status"
"1","2021-05_PtCloates_BOSS_1","1","BOSS","total.abundance",0,-22.6886,113.5539,20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,"2021-05_PtCloates_BOSS",0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,"No-take"
"2","2021-05_PtCloates_BOSS_1","1","BOSS","species.richness",0,-22.6886,113.5539,20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0.966101694915254,59,0.292682926829268,0.512049921346757,"2021-05_PtCloates_BOSS",0,1,94.4012908935547,1.24814824567219,294.532074312245,-0.609800338745117,4.40376281738281,14.2044372558594,-8.65922069549561,-85.742073059082,0.0338983050847458,"No-take"
"3","2021-05_PtCloates_BOSS_10","10","BOSS","total.abundance",0,-22.6887,113.5238,20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,"2021-05_PtCloates_BOSS",0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,"No-take"
"4","2021-05_PtCloates_BOSS_10","10","BOSS","species.richness",0,-22.6887,113.5238,20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,"2021-05_PtCloates_BOSS",0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,"No-take"
"5","2021-05_PtCloates_BOSS_12","12","BOSS","total.abundance",4,-22.7137,113.5364,20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,"2021-05_PtCloates_BOSS",0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,"No-take"
"6","2021-05_PtCloates_BOSS_12","12","BOSS","species.richness",3,-22.7137,113.5364,20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,"2021-05_PtCloates_BOSS",0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,"No-take"
"7","2021-05_PtCloates_BOSS_13","13","BOSS","total.abundance",3,-22.7037,113.5389,20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,"2021-05_PtCloates_BOSS",0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,"No-take"
"8","2021-05_PtCloates_BOSS_13","13","BOSS","species.richness",3,-22.7037,113.5389,20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,"2021-05_PtCloates_BOSS",0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,"No-take"
"9","2021-05_PtCloates_BOSS_15","15","BOSS","total.abundance",0,-22.7037,113.5188,20210520,"inNP.15","Point Cloates",168,"Yes",0,0,2,2,0,0.928571428571429,56,0.393939393939394,0.496197663448873,"2021-05_PtCloates_BOSS",0,9,162.331604003906,2.65654623952163,292.732136497201,0.0917835235595703,9.4674015045166,31.818359375,-11.443359375,-150.888244628906,0.0714285714285714,"No-take"
"10","2021-05_PtCloates_BOSS_15","15","BOSS","species.richness",0,-22.7037,113.5188,20210520,"inNP.15","Point Cloates",168,"Yes",0,0,2,2,0,0.928571428571429,56,0.393939393939394,0.496197663448873,"2021-05_PtCloates_BOSS",0,9,162.331604003906,2.65654623952163,292.732136497201,0.0917835235595703,9.4674015045166,31.818359375,-11.443359375,-150.888244628906,0.0714285714285714,"No-take"
