"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"0","20210519_1108-1552_TOP_0004_0001.mp4","31828","20210519_1108-1552_BOTTOM_0004_0001.mp4","27637","28","2.38739",1256.36758,"10.66851","6.36515","3739.52586","13.75441","83.57087","79.64725","-669.98575","-584.49907","-3632.29040","Carcharhinidae","Carcharhinus","plumbeus","37018007",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7585","113.4762","2021-05-19T11:26:56+08:00","Point Cloates","Fished","206","Yes","Yes"
"0","20210519_1108-1552_BOTTOM2_0001_0001.mp4","52893","20210519_1108-1552_TOP2_0002_0001.mp4","3271","45","2.50695",199.4224,"9.47207","5.16127","2859.64356","30.83270","48.85917","83.29653","-481.83275","-1384.19714","-2455.48300","Carangidae","Pseudocaranx","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7512","113.4889","2021-05-19T12:28:38+08:00","Point Cloates","Fished","191","Yes","Yes"
"3","20210519_1108-1552_BOTTOM2_0004_0001.mp4","49878","20210519_1108-1552_TOP2_0005_0001.mp4","256","47","1.29101",832.14277,"42.68655","17.30437","5305.39246","11.63053","60.82410","52.48540","-665.31197","837.45534","-5196.46204","Carcharhinidae","Carcharhinus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7637","113.4839","2021-05-19T13:28:30+08:00","Point Cloates","Fished","190","Yes","Yes"
"7","20210519_1108-1552_BOTTOM2_0006_0001.mp4","43090","20210519_1108-1552_TOP2_0006_0001.mp4","61799","29","0.67957",1007.59175,"54.75359","6.60349","5160.03353","27.66196","89.83201","27.56649","-494.16698","2344.04294","-4570.25248","Triakidae",NA,"spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7758","113.494","2021-05-19T14:05:09+08:00","Point Cloates","Fished","152","Yes","Yes"
"10","20210519_1108-1552_BOTTOM2_0007_0001.mp4","17793","20210519_1108-1552_TOP2_0007_0001.mp4","36503","40","0.21021",46.12536,"4.06632","1.00941","2106.23034","27.84460","6.51872","57.13405","-560.32041","-808.60365","-1862.36608","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7809","113.4964","2021-05-19T14:17:36+08:00","Point Cloates","Fished","138","Yes","Yes"
"15","20210519_1108-1552_BOTTOM2_0011_0001.mp4","57783","20210519_1108-1552_TOP2_0012_0001.mp4","8162","31","1.69225",130.62291,"11.73939","0.86245","3864.21560","14.08678","86.12533","79.24652","-479.40741","809.15986","-3748.01162","Carangidae","Carangoides","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes"
"16","20210519_1108-1552_BOTTOM2_0011_0001.mp4","58163","20210519_1108-1552_TOP2_0012_0001.mp4","8542","31","1.79791",50.42008,"3.81315","3.30443","1718.59753","25.67112","65.03022","62.46168","-468.64995","578.49333","-1548.96422","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes"
"18","20210519_1108-1552_BOTTOM2_0011_0001.mp4","61169","20210519_1108-1552_TOP2_0012_0001.mp4","11548","31","2.63374",321.70616,"2.77387","11.38244","1403.95675","29.47344","58.45914","62.56625","-214.96710","656.47476","-1222.26208","Lutjanidae","Pristipomoides","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes"
"2","20210520_0809-1314_BOTTOM_0003_0001.mp4","11510","20210520_0809-1314_TOP_0003_0001.mp4","3760","22","1.05633",307.493,"19.38272","7.66163","3051.74443","29.54149","79.81792","1.82637","-207.15441","1490.34597","-2655.01412","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"3","20210520_0809-1314_BOTTOM_0003_0001.mp4","11510","20210520_0809-1314_TOP_0003_0001.mp4","3760","22","1.05633",276.20574,"27.40307","17.79822","3606.50959","28.45675","79.29105","4.80225","-171.48941","1709.90668","-3170.76047","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
