"campaignid","sample","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"2021-05_PtCloates_BOSS","36","-22.7564","113.4711","2021-05-19T11:08:39+08:00","Point Cloates","Fished","215","Yes","Yes"
"2021-05_PtCloates_BOSS","28","-22.7585","113.4762","2021-05-19T11:26:56+08:00","Point Cloates","Fished","206","Yes","Yes"
"2021-05_PtCloates_BOSS","32","-22.7537","113.4863","2021-05-19T11:44:58+08:00","Point Cloates","Fished","194","Yes","Yes"
"2021-05_PtCloates_BOSS","45","-22.7512","113.4889","2021-05-19T12:28:38+08:00","Point Cloates","Fished","191","Yes","Yes"
"2021-05_PtCloates_BOSS","43","-22.7587","113.4991","2021-05-19T12:47:43+08:00","Point Cloates","Fished","160","Yes","Yes"
"2021-05_PtCloates_BOSS","27","-22.7635","113.4964","2021-05-19T13:00:25+08:00","Point Cloates","Fished","162","Yes","Yes"
"2021-05_PtCloates_BOSS","34","-22.7662","113.4889","2021-05-19T13:14:53+08:00","Point Cloates","Fished","179","Yes","Yes"
"2021-05_PtCloates_BOSS","47","-22.7637","113.4839","2021-05-19T13:28:30+08:00","Point Cloates","Fished","190","Yes","Yes"
"2021-05_PtCloates_BOSS","48","-22.7712","113.4688","2021-05-19T13:44:57+08:00","Point Cloates","Fished","208","Yes","Yes"
"2021-05_PtCloates_BOSS","29","-22.7758","113.494","2021-05-19T14:05:09+08:00","Point Cloates","Fished","152","Yes","Yes"
"2021-05_PtCloates_BOSS","40","-22.7809","113.4964","2021-05-19T14:17:36+08:00","Point Cloates","Fished","138","Yes","Yes"
"2021-05_PtCloates_BOSS","37","-22.7836","113.4886","2021-05-19T14:32:03+08:00","Point Cloates","Fished","156","Yes","Yes"
"2021-05_PtCloates_BOSS","30","-22.7887","113.4839","2021-05-19T14:46:48+08:00","Point Cloates","Fished","169","Yes","Yes"
"2021-05_PtCloates_BOSS","42","-22.7887","113.4764","2021-05-19T15:00:24+08:00","Point Cloates","Fished","184","Yes","Yes"
"2021-05_PtCloates_BOSS","39","-22.7938","113.4843","2021-05-19T15:14:50+08:00","Point Cloates","Fished","156","Yes","Yes"
"2021-05_PtCloates_BOSS","49","-22.7986","113.4864","2021-05-19T15:28:04+08:00","Point Cloates","Fished","148","Yes","Yes"
"2021-05_PtCloates_BOSS","31","-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes"
"2021-05_PtCloates_BOSS","44","-22.7912","113.5064","2021-05-19T15:52:58+08:00","Point Cloates","Fished","114","Yes","Yes"
"2021-05_PtCloates_BOSS","19","-22.7314","113.5313","2021-05-20T08:09:34+08:00","Point Cloates","No-take","106","Yes","Yes"
"2021-05_PtCloates_BOSS","22","-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"2021-05_PtCloates_BOSS","7","-22.7462","113.5314","2021-05-20T08:33:28+08:00","Point Cloates","No-take","99.6","Yes","Yes"
"2021-05_PtCloates_BOSS","46","-22.7463","113.5214","2021-05-20T08:47:47+08:00","Point Cloates","Fished","113","Yes","Yes"
"2021-05_PtCloates_BOSS","26","-22.7388","113.5089","2021-05-20T09:03:48+08:00","Point Cloates","Fished","152","Yes","Yes"
"2021-05_PtCloates_BOSS","25","-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes"
"2021-05_PtCloates_BOSS","M1","-22.7228","113.4986","2021-05-20T09:38:21+08:00","Point Cloates","Fished","197","Yes","Yes"
"2021-05_PtCloates_BOSS","33","-22.7163","113.4963","2021-05-20T09:54:39+08:00","Point Cloates","Fished","207","Yes","Yes"
"2021-05_PtCloates_BOSS","24","-22.7113","113.5088","2021-05-20T10:14:33+08:00","Point Cloates","No-take","189","Yes","Yes"
"2021-05_PtCloates_BOSS","20","-22.7187","113.5265","2021-05-20T10:35:39+08:00","Point Cloates","No-take","120","Yes","Yes"
"2021-05_PtCloates_BOSS","12","-22.7137","113.5364","2021-05-20T10:49:29+08:00","Point Cloates","No-take","107","Yes","Yes"
"2021-05_PtCloates_BOSS","4","-22.7113","113.5415","2021-05-20T11:01:54+08:00","Point Cloates","No-take","100","Yes","Yes"
"2021-05_PtCloates_BOSS","13","-22.7037","113.5389","2021-05-20T11:16:00+08:00","Point Cloates","No-take","107","Yes","Yes"
"2021-05_PtCloates_BOSS","15","-22.7037","113.5188","2021-05-20T11:33:03+08:00","Point Cloates","No-take","168","Yes","Yes"
"2021-05_PtCloates_BOSS","2","-22.6987","113.5214","2021-05-20T11:47:07+08:00","Point Cloates","No-take","167","Yes","Yes"
"2021-05_PtCloates_BOSS","10","-22.6887","113.5238","2021-05-20T12:02:57+08:00","Point Cloates","No-take","176","Yes","Yes"
"2021-05_PtCloates_BOSS","50","-22.7026","113.556","2021-05-20T12:11:48+08:00","Point Cloates","No-take","77.6","Yes","Yes"
"2021-05_PtCloates_BOSS","9","-22.6937","113.5389","2021-05-20T12:21:40+08:00","Point Cloates","No-take","114","Yes","Yes"
"2021-05_PtCloates_BOSS","21","-22.6963","113.544","2021-05-20T12:33:40+08:00","Point Cloates","No-take","103","Yes","Yes"
"2021-05_PtCloates_BOSS","1","-22.6886","113.5539","2021-05-20T13:03:00+08:00","Point Cloates","No-take","93.6","Yes","Yes"
"2021-05_PtCloates_BOSS","18","-22.6838","113.5489","2021-05-20T13:14:58+08:00","Point Cloates","No-take","102","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","248","-22.7609","113.5473","2022-05-19T08:27:25+0800","Point Cloates","No-take","76.6","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","224","-22.7598","113.5487","2022-05-19T08:44:41+0800","Point Cloates","No-take","76.1","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","232","-22.7576","113.5368","2022-05-19T08:59:18+0800","Point Cloates","No-take","90.9","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","211","-22.7554","113.54","2022-05-19T09:11:46+0800","Point Cloates","No-take","87.2","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","226","-22.7536","113.5408","2022-05-19T09:30:58+0800","Point Cloates","No-take","86.6","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","203","-22.7548","113.55","2022-05-19T09:44:17+0800","Point Cloates","No-take","75.7","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","207","-22.7523","113.5552","2022-05-19T10:00:48+0800","Point Cloates","No-take","71.4","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","221","-22.7519","113.5483","2022-05-19T10:12:53+0800","Point Cloates","No-take","78.4","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","264","-22.7655","113.5389","2022-05-19T10:34:40+0800","Point Cloates","No-take","81.6","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","262","-22.7635","113.5347","2022-05-19T10:45:55+0800","Point Cloates","No-take","91","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","265","-22.7561","113.529","2022-05-19T10:58:59+0800","Point Cloates","No-take","99.2","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","266","-22.7531","113.5301","2022-05-19T11:11:08+0800","Point Cloates","No-take","98.5","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","253","-22.7509","113.538","2022-05-19T11:26:11+0800","Point Cloates","No-take","91.2","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","270","-22.7511","113.5387","2022-05-19T11:37:38+0800","Point Cloates","No-take","91","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","201","-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes"
"2022-05_PtCloates_Naked-BOSS","237","-22.7502","113.5462","2022-05-19T12:02:40+0800","Point Cloates","No-take","81.8","Yes","Yes"
