"campaignid","sample","family","genus","species"
"2021-05_PtCloates_BRUVS",1,"Pteroidae","Pterois","antennata"
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1"
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",14,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",14,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",17,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",17,"Labridae","Bodianus","izuensis"
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",2,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",2,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",21,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",21,"Nemipteridae","Parascolopsis","inermis"
"2021-05_PtCloates_BRUVS",21,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",22,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",22,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",22,"Muraenidae","Gymnothorax","sp1"
"2021-05_PtCloates_BRUVS",22,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",25,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",25,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",27,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",3,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",3,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",4,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",4,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",6,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",7,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",8,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",1,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",1,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",12,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",12,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",12,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",13,"Haemulidae","Diagramma","pictum"
"2022-05_PtCloates_stereo-BRUVS",13,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",14,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",14,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",15,"Monacanthidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",15,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",15,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",16,"Triakidae","Mustelus","stevensi"
"2022-05_PtCloates_stereo-BRUVS",16,"Rhynchobatidae","Rhynchobatus","laevis"
"2022-05_PtCloates_stereo-BRUVS",16,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",16,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",17,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",17,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",18,"Lutjanidae","Pristipomoides","sp1"
