"campaignid","sample","family","genus","species"
"2021-05_PtCloates_BRUVS",1,"Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_BRUVS",1,"Cirrhitidae","Cyprinocirrhites","polyactis"
"2021-05_PtCloates_BRUVS",1,"Labridae","Bodianus","solatus"
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma"
"2021-05_PtCloates_BRUVS",1,"Pteroidae","Pterois","antennata"
"2021-05_PtCloates_BRUVS",1,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_BRUVS",10,"Triakidae","Mustelus","ravidus"
"2021-05_PtCloates_BRUVS",11,"Cirrhitidae","Cirrhitichthys","aprinus"
"2021-05_PtCloates_BRUVS",11,"Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",11,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",11,"Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1"
"2021-05_PtCloates_BRUVS",12,"Labridae","Bodianus","solatus"
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Lutjanus","sebae"
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",12,"Serranidae","Epinephelus","multinotatus"
"2021-05_PtCloates_BRUVS",13,"Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_BRUVS",13,"Carangidae","Seriola","sp1"
"2021-05_PtCloates_BRUVS",13,"Labridae","Bodianus","solatus"
"2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",13,"Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_PtCloates_BRUVS",13,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",14,"Dasyatidae","Taeniurops","meyeni"
"2021-05_PtCloates_BRUVS",14,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",14,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",14,"Muraenidae","Gymnothorax","berndti"
"2021-05_PtCloates_BRUVS",14,"Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_BRUVS",15,"Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_BRUVS",15,"Labridae","Bodianus","solatus"
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Aprion","virescens"
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Lutjanus","sebae"
"2021-05_PtCloates_BRUVS",16,"Labridae","Bodianus","solatus"
"2021-05_PtCloates_BRUVS",16,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",16,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",16,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",17,"Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_BRUVS",17,"Cirrhitidae","Cyprinocirrhites","polyactis"
