"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",344.94651,52.5,297.5,350,"too big",47.44651,98.5561457142857
"2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",680.23374,120,680,800,"too big",0.233740000000012,85.0292175
"2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",683.0294,120,680,800,"too big",3.02940000000001,85.378675
"2021-05_PtCloates_BRUVS",11,"Triakidae","Hemitriakis","falcata",782.82022,120,680,800,"too big",102.82022,97.8525275
"2021-05_PtCloates_BRUVS",12,"Echeneidae","Echeneis","naucrates",122.96202,165,935,1100,"too small",42.03798,11.1783654545455
"2021-05_PtCloates_BRUVS",13,"Echeneidae","Echeneis","naucrates",135.28891,165,935,1100,"too small",29.71109,12.2989918181818
"2021-05_PtCloates_BRUVS",13,"Labridae","Bodianus","solatus",312.80875,52.5,297.5,350,"too big",15.30875,89.3739285714286
"2021-05_PtCloates_BRUVS",14,"Rhinobatidae","Rhinobatos","sainsburyi",585.6477,89.25,505.75,595,"too big",79.8977,98.4281848739496
"2021-05_PtCloates_BRUVS",15,"Echeneidae","Echeneis","naucrates",102.48211,165,935,1100,"too small",62.51789,9.31655545454545
"2021-05_PtCloates_BRUVS",18,"Tetraodontidae","Lagocephalus","lunaris",548.12504,67.5,382.5,450,"too big",165.62504,121.805564444444
"2021-05_PtCloates_BRUVS",21,"Pinguipedidae","Parapercis","nebulosa",36.42793,37.5,212.5,250,"too small",1.07207,14.571172
"2021-05_PtCloates_BRUVS",22,"Labridae","Bodianus","solatus",302.2452,52.5,297.5,350,"too big",4.74520000000001,86.3557714285714
"2021-05_PtCloates_BRUVS",23,"Synodontidae","Saurida","undosquamis",453.48404,75,425,500,"too big",28.48404,90.696808
"2021-05_PtCloates_BRUVS",25,"Labridae","Bodianus","solatus",355.83383,52.5,297.5,350,"too big",58.33383,101.666808571429
"2021-05_PtCloates_BRUVS",26,"Synodontidae","Saurida","undosquamis",434.08181,75,425,500,"too big",9.08181000000002,86.816362
"2021-05_PtCloates_BRUVS",27,"Nemipteridae","Pentapodus","nagasakiensis",236.64241,30,170,200,"too big",66.64241,118.321205
"2021-05_PtCloates_BRUVS",27,"Lethrinidae","Lethrinus","ravus",318.4784,45,255,300,"too big",63.4784,106.159466666667
"2021-05_PtCloates_BRUVS",3,"Tetraodontidae","Lagocephalus","lunaris",642.67221,67.5,382.5,450,"too big",260.17221,142.816046666667
