"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","5.02808","Apogonidae",NA,"spp",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (10).MP4","30.16819","Carangidae","Carangoides","chrysophrys",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (11).MP4","59.52725","Carangidae","Seriola","dumerili",3,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","2.47191","Cirrhitidae","Cyprinocirrhites","polyactis",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","18.35917","Labridae","Bodianus","solatus",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (10).MP4","35.88529","Lethrinidae","Lethrinus","miniatus",3,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (10).MP4","38.67753","Lutjanidae","Pristipomoides","filamentosus",8,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","12.35012","Lutjanidae","Pristipomoides","multidens",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","20.37452","Muraenidae","Gymnothorax","javanicus",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","5.98904","Nemipteridae","Parascolopsis","eriomma",6,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","14.65130","Pinguipedidae","Parapercis","spp",2,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","17.01617","Pteroidae","Pterois","antennata",1,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (09).MP4","12.22582","SUS","SUS","SUS",2,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","1","L041 (11).MP4","59.23696","Triakidae","Hemitriakis","falcata",2,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS","10","L035 (10).MP4","11.11249","Carcharhinidae","Carcharhinus","plumbeus",2,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","10","L035 (10).MP4","5.88366","Nemipteridae","Nemipterus","spp",1,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","10","L035 (11).MP4","35.45542","Sparidae","Dentex","spp",65,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","10","L035 (12).MP4","57.35257","Triakidae","Mustelus","ravidus",1,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (12).MP4","40.38451","Apogonidae",NA,"spp",1,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (11).MP4","21.28404","Carangidae","Decapterus","spp",16,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (11).MP4","16.88186","Cirrhitidae","Cirrhitichthys","aprinus",1,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (12).MP4","40.62503","Lethrinidae","Gymnocranius","grandoculis",2,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (12).MP4","42.41348","Lethrinidae","Lethrinus","miniatus",1,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (12).MP4","54.54560","Lutjanidae","Pristipomoides","sp1",6,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (12).MP4","45.07948","Muraenidae","Gymnothorax","javanicus",1,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
