"unique_id","method","Apogonidae Apogon sp1","Apogonidae Ostorhinchus aureus","Balistidae Sufflamen fraenatum","Balistidae Unknown spp","Balistidae Xanthichthys lineopunctatus","Caesionidae Pterocaesio chrysozona","Carangidae Carangoides chrysophrys","Carangidae Carangoides coeruleopinnatus","Carangidae Carangoides fulvoguttatus","Carangidae Carangoides gymnostethus","Carangidae Carangoides spp","Carangidae Decapterus spp","Carangidae Gnathanodon speciosus","Carangidae Pseudocaranx spp","Carangidae Seriola spp","Carangidae Unknown spp","Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae Carcharhinus plumbeus","Carcharhinidae Carcharhinus spp","Chaetodontidae Chaetodon assarius","Chaetodontidae Heniochus acuminatus","Chaetodontidae Heniochus diphreutes","Chaetodontidae Heniochus spp","Cirrhitidae Cyprinocirrhites polyactis","Clupeidae Unknown spp","Echeneidae Echeneis naucrates","Gobiidae Unknown spp","Holocentridae Sargocentron rubrum","Holocentridae Sargocentron spp","Labridae Bodianus bilunulatus","Labridae Bodianus solatus","Labridae Coris caudimacula","Labridae Labroides dimidiatus","Labridae Suezichthys cyanolaemus","Lethrinidae Gymnocranius sp1","Lethrinidae Lethrinus miniatus","Lethrinidae Lethrinus ravus","Lethrinidae Lethrinus rubrioperculatus","Lethrinidae Unknown spp","Lutjanidae Aphareus rutilans","Lutjanidae Lutjanus lemniscatus","Lutjanidae Lutjanus sebae","Lutjanidae Pristipomoides sp1","Lutjanidae Pristipomoides spp","Microdesmidae Ptereleotris heteroptera","Monacanthidae Unknown spp","Mullidae Parupeneus cyclostomus","Mullidae Parupeneus spilurus","Mullidae Unknown spp","Nemipteridae Pentapodus nagasakiensis","Nemipteridae Unknown spp","Ostraciidae Unknown spp","Pinguipedidae Parapercis nebulosa","Pomacanthidae Chaetodontoplus spp","Pomacanthidae Pomacanthus semicirculatus","Pomacentridae Amblypomacentrus breviceps","Priacanthidae Priacanthus hamrur","Priacanthidae Priacanthus spp","Scombridae Scomberomorus spp","Serranidae Cephalopholis sonnerati","Serranidae Epinephelus areolatus","Serranidae Epinephelus multinotatus","Serranidae Epinephelus spp","Serranidae Plectropomus spp","Serranidae Pseudanthias fasciata","Serranidae Pseudanthias georgei","Serranidae Pseudanthias spp","Serranidae Unknown spp","Sparidae Dentex spp","SUS SUS sus","Triakidae Unknown spp","Acanthuridae Naso brachycentron","Acanthuridae Naso fageni","Acanthuridae Naso hexacanthus","Albulidae Albula argentea","Apogonidae Apogon spp","Apogonidae Unknown spp","Balistidae Abalistes filamentosus","Balistidae Abalistes stellatus","Balistidae Pseudobalistes flavimarginatus","Balistidae Pseudobalistes fuscus","Carangidae Carangoides caeruleopinnatus","Carangidae Carangoides equula","Carangidae Caranx ignobilis","Carangidae Caranx lugubris","Carangidae Caranx sexfasciatus","Carangidae Decapterus muroadsi","Carangidae Seriola dumerili","Carangidae Seriola rivoliana","Carangidae Seriola sp1","Carangidae Seriolina nigrofasciata","Carangidae Unknown sp10","Carcharhinidae Carcharhinus macloti","Carcharhinidae Galeocerdo cuvier","Carcharhinidae Hemitriakis spp","Carcharhinidae Loxodon macrorhinus","Carcharhinidae Unknown spp","Cirrhitidae Cirrhitichthys aprinus","Cirrhitidae Paracirrhites forsteri","Dasyatidae Taeniurops meyeni","Ephippidae Platax batavianus","Fistulariidae Fistularia commersonii","Haemulidae Diagramma pictum","Labridae Bodianus izuensis","Labridae Choerodon sp1","Labridae Choerodon zamboangae","Labridae Diproctacanthus xanthurus","Labridae Oxycheilinus orientalis","Labridae Unknown spp","Lethrinidae Gymnocranius euanus","Lethrinidae Gymnocranius grandoculis","Lethrinidae Lethrinus nebulosus","Lethrinidae Lethrinus olivaceus","Lethrinidae Lethrinus spp","Lutjanidae Aprion virescens","Lutjanidae Pristipomoides filamentosus","Lutjanidae Pristipomoides multidens","Lutjanidae Pristipomoides typus","Malacanthidae Malacanthus brevirostris","Malacanthidae Malacanthus latovittatus","Microdesmidae Ptereleotris spp","Monacanthidae Aluterus monoceros","Mullidae Mulloidichthys flavolineatus","Mullidae Parupeneus chrysopleuron","Mullidae Parupeneus heptacanthus","Mullidae Upeneus moluccensis","Muraenidae Gymnothorax berndti","Muraenidae Gymnothorax javanicus","Muraenidae Gymnothorax pseudothyrsoideus","Muraenidae Gymnothorax sp1","Nemipteridae Nemipterus spp","Nemipteridae Nemipterus virgatus","Nemipteridae Parascolopsis eriomma","Nemipteridae Parascolopsis inermis","Nemipteridae Pentapodus spp","Nemipteridae Pentapodus vitta","Pinguipedidae Parapercis clathrata","Pinguipedidae Parapercis spp","Pomacanthidae Apolemichthys trimaculatus","Pomacanthidae Chaetodontoplus personifer","Pomacanthidae Pomacanthus imperator","Pteroidae Pterois antennata","Rhinobatidae Rhinobatos sainsburyi","Rhynchobatidae Rhynchobatus laevis","Scaridae Scarus ghobban","Scaridae Scarus sp3","Scombridae Scomberomorus commerson","Serranidae Epinephelus amblycephalus","Serranidae Epinephelus coioides","Serranidae Epinephelus morrhua","Serranidae Epinephelus rivulatus","Serranidae Epinephelus tukula","Serranidae Variola louti","Sparidae Argyrops spinifer","Sparidae Chrysophrys auratus","Sphyraenidae Sphyraena forsteri","Sphyraenidae Sphyraena jello","Sphyraenidae Sphyraena qenie","Sphyraenidae Sphyraena spp","Sphyrnidae Sphyrna mokarran","Stegostomatidae Stegostoma fasciatum","Synodontidae Saurida undosquamis","Tetraodontidae Arothron stellatus","Tetraodontidae Lagocephalus lunaris","Tetraodontidae Lagocephalus sceleratus","Triakidae Hemitriakis falcata","Triakidae Mustelus ravidus","Triakidae Mustelus stevensi"
"2021-05_PtCloates_BOSS_1","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_10","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_12","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_13","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_15","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_18","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_19","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_2","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05_PtCloates_BOSS_20","BOSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-05_PtCloates_Naked-BOSS_201","BOSS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
