sample,Acanthuridae Naso tuberosus,Aracanidae Anoplocapros lenticularis,Berycidae Centroberyx gerrardi,Berycidae Centroberyx sp1,Callanthiidae Callanthias australis,Carangidae Carangoides sp1,Carangidae Carangoides sp10,Carangidae Pseudocaranx spp,Carangidae Seriola hippos,Carangidae Seriola lalandi,Carangidae Unknown sp10,Chaetodontidae Chelmonops curiosus,Cheilodactylidae Dactylophora nigricans,Cheilodactylidae Nemadactylus valenciennesi,Dasyatidae Bathytoshia brevicaudata,Diodontidae Diodon nicthemerus,Enoplosidae Enoplosus armatus,Gerreidae Parequula elongata,Gerreidae Parequula melbournensis,Glaucosomatidae Glaucosoma hebraicum,Kyphosidae Girella tephraeops,Labridae Achoerodus gouldii,Labridae Austrolabrus maculatus,Labridae Bodianus frenchii,Labridae Bodianus vulpinus,Labridae Choerodon rubescens,Labridae Coris auricularis,Labridae Dotalabrus aurantiacus,Labridae Eupetrichthys angustipes,Labridae Notolabrus parilus,Labridae Ophthalmolepis lineolatus,Labridae Pseudolabrus biserialis,Labridae Suezichthys bifurcatus,Labridae Unknown spp,Monacanthidae Acanthaluteres vittiger,Monacanthidae Meuschenia flavolineata,Monacanthidae Meuschenia freycineti,Monacanthidae Meuschenia galii,Monacanthidae Meuschenia hippocrepis,Monacanthidae Meuschenia scaber,Monacanthidae Meuschenia venusta,Monacanthidae Nelusetta ayraud,Monacanthidae Unknown spp,Monocentridae Cleidopus gloriamaris,Mullidae Parupeneus chrysopleuron,Mullidae Upeneichthys vlamingii,Neosebastidae Neosebastes bougainvillii,Neosebastidae Neosebastes nigropunctatus,Neosebastidae Neosebastes pandus,Neosebastidae Neosebastes sp1,Odacidae Olisthops cyanomelas,Odacidae Siphonognathus spp,Odontaspididae Carcharias taurus,Oplegnathidae Oplegnathus woodwardi,Orectolobidae Orectolobus spp,Ostraciidae Aracana aurita,Parascylliidae Parascyllium variolatum,Pempheridae Parapriacanthus elongatus,Pempherididae Pempheris klunzingeri,Pentacerotidae Pentaceropsis recurvirostris,Pinguipedidae Parapercis naevosa,Pinguipedidae Parapercis ramsayi,Pinguipedidae Unknown spp,Platycephalidae Platycephalus spp,Plesiopidae Trachinops noarlungae,Polyprionidae Polyprion oxygeneios,Pomacentridae Chromis klunzingeri,Pomacentridae Chromis westaustralis,Pomacentridae Parma bicolor,Scorpididae Neatypus obliquus,Scorpididae Scorpis aequipinnis,Scorpididae Scorpis georgiana,Scorpididae Tilodon sexfasciatus,Serranidae Caesioperca spp,Serranidae Epinephelides armatus,Sparidae Chrysophrys auratus,Squalidae Squalus spp,SUS SUS sus,Urolophidae Trygonoptera mucosa,Aplodactylidae Aplodactylus westralis,Aracanidae Anoplocapros amygdaloides,Aracanidae Caprichthys gymnura,Aulopidae Latropiscis purpurissatus,Batrachoididae Batrachomoeus rubricephalus,Berycidae Unknown sp1,Callanthiidae Callanthias allporti,Carangidae Trachurus novaezelandiae,Carcharhinidae Carcharhinus brevipinna,Carcharhinidae Carcharhinus limbatus,Carcharhinidae Carcharhinus plumbeus,Carcharhinidae Carcharhinus spp,Carcharhinidae Unknown spp,Clupeidae Hyperlophus vittatus,Dinolestidae Dinolestes lewini,Gerraidae Parequula elongata,Gobiesocidae Aspasmogaster occidentalis,Gobiesocidae Unknown spp,Haemulidae Plectorhinchus flavomaculatus,Heterodontidae Heterodontus portusjacksoni,Holocentridae Unknown spp,Kyphosidae Kyphosus sydneyanus,Labridae Halichoeres brownfieldi,Labridae Heteroscarus acroptilus,Labridae Labroides dimidiatus,Labridae Pictilabrus laticlavius,Labridae Suezichthys cyanolaemus,Lethrinidae Gymnocranius grandoculis,Monacanthidae Acanthaluteres brownii,Monacanthidae Brachaluteres jacksonianus,Monacanthidae Eubalichthys bucephalus,Monacanthidae Eubalichthys mosaicus,Monacanthidae Meuschenia australis,Monacanthidae Scobinichthys granulatus,Moridae Pseudophycis barbata,Muraenidae Gymnothorax prasinus,Muraenidae Gymnothorax woodwardi,Myliobatidae Myliobatis tenuicaudatus,Nemipteridae Pentapodus vitta,Odacidae Siphonognathus caninis,Odacidae Siphonognathus sp1,Paralichthyidae Pseudorhombus sp10,Parascylliidae Parascyllium ferrugineum,Pentacerotidae Parazanclistius hutchinsi,Pinguipedidae Parapercis haackei,Pinguipedidae Parapercis spp,Platycephalidae Leviprora spp,Plesiopidae Paraplesiops meleagris,Pomacentridae Parma occidentalis,Pristiophoridae Pristiophorus cirratus,Rhinobatidae Aptychotrema vincentiana,Rhinobatidae Trygonorrhina dumerilii,Scombridae Sarda orientalis,Scombridae Unknown spp,Scorpaenidae Scorpaena sumptuosa,Scyliorhinidae Asymbolus occiduus,Scyliorhinidae Aulohalaelurus labiosus,Serranidae Hypoplectrodes nigroruber,Serranidae Hyporthodus octofasciatus,Serranidae Othos dentex,Sillaginidae Sillaginodes punctatus,Sillaginidae Sillago spp,Sphyraenidae Sphyraena novaehollandiae,Sphyraenidae Sphyraena spp,Sphyrnidae Sphyrna spp,Sphyrnidae Sphyrna zygaena,Tetraodontidae Omegophora armilla,Triakidae Furgaleus macki,Triakidae Galeorhinus galeus,Triakidae Mustelus antarcticus,Triglidae Chelidonichthys kumu,Triglidae Pterygotrigla polyommata,Urolophidae Trygonoptera ovalis,Urolophidae Urolophus circularis,,method,unique_id,campaignid,latitude,longitude,status,depth,broad.ascidians,broad.bryozoa,rock,broad.crinoids,broad.hydroids,broad.invertebrate.complex,macroalgae,broad.octocoral.black,reef,seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,sand,fov.facing.up,fov.limited,fov.open,mean.relief,sd.relief,z,slope,aspect,tpi,tri,roughness,detrended,lineartrend,inverts
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_1,2020-10_south-west_BOSS,-34.0787,114.7789,No-take,62.6,0,0,0.254901961,0,0,14,0,0,0.823529412,0,15,0,51,0,0.176470588,0,0,80,2.06,0.71170964,-61.57461548,0.270017,270.9886817,0.359101772,0.985940456,2.84728241,-1.985477924,-59.58913803,0.568627451
110,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_110,2020-10_south-west_BOSS,-34.1412,114.7289,No-take,129,0,0,0,0,0,0,0,0,0.0125,0,1,0,80,0,0.9875,0,0,80,0.37037037,0.48743829,-130.0526428,0.277424392,267.7602969,-0.06470871,0.85005188,2.346908569,27.49773598,-157.5503845,0.0125
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_113,2020-10_south-west_BOSS,-34.0587,114.7389,No-take,111,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,80,1,0,-109.1010208,0.674152341,267.0586504,-0.377051353,2.07344532,5.802696228,-11.51594162,-97.58507538,0
115,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_115,2020-10_south-west_BOSS,-34.0537,114.7364,No-take,111,0,0,0,0,0,2,0,0,0.025641026,0,0,0,78,0,0.974358974,0,0,80,0.898305085,0.356946594,-110.286644,0.56583482,257.3147464,0.060301781,1.818581581,5.675178528,-11.54962921,-98.73701477,0.025641026
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_117,2020-10_south-west_BOSS,-34.0637,114.7389,No-take,112,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1,0,0,80,1,0,-109.9241486,0.651080059,250.6435702,-0.091487885,2.072645187,7.284873962,-10.26706791,-99.6570816,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_204,2020-10_south-west_BOSS,-34.0662,114.7864,No-take,60.6,0,0,0.037735849,0,0,2,0.018867925,0,0.188679245,0,5,0,53,0,0.811320755,0,0,80,1.440677966,0.534053673,-59.08808517,0.266085417,276.3005109,-0.28537035,0.826700687,2.558296204,-12.69320774,-46.39487839,0.132075472
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_206,2020-10_south-west_BOSS,-34.0637,114.7914,No-take,58.2,0,0,0.101265823,0,0,0,0.025316456,0,0.164556962,0,3,0,79,0,0.835443038,0,0,80,1.193548387,0.506958455,-56.11107254,0.464156996,256.9609853,-0.299288273,1.474369526,4.637645721,-15.21827507,-40.89279556,0.037974684
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_207,2020-10_south-west_BOSS,-34.0612,114.7864,No-take,60.2,0,0,0.116883117,0,0,0,0.116883117,0,0.25974026,0,2,0,77,0,0.74025974,0,0,80,1.619047619,0.682230011,-58.3814621,0.240620289,233.2807397,-0.251862049,0.889939785,3.012214661,-13.58642578,-44.79503632,0.025974026
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_215,2020-10_south-west_BOSS,-34.0687,114.9264,No-take,46.9,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1,0,0,80,0.87037037,0.33904952,-43.36553192,0.357350088,275.980546,-0.421774864,1.209118843,3.680885315,-6.726552486,-36.63898087,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2020-10_south-west_BOSS_216,2020-10_south-west_BOSS,-34.0612,114.9164,No-take,47.5,0,0,0.2125,0,0,0,0.2,0,0.575,0,13,0,80,0,0.425,0,0,80,1.933333333,0.685606664,-47.64546204,0.072621786,356.6508512,-0.206278801,0.36601162,1.169498444,-12.41175652,-35.23370361,0.1625
