"","sample","scientific","campaignid","latitude","longitude","method","unique_id","number","response","broad.ascidians","broad.bryozoa","rock","broad.crinoids","broad.hydroids","broad.invertebrate.complex","macroalgae","broad.octocoral.black","reef","seagrasses","broad.sponges","broad.stony.corals","broad.total.points.annotated","broad.true.anemones","sand","fov.facing.up","fov.limited","fov.open","mean.relief","sd.relief","planned.or.exploratory","date","time","location","site","depth","successful.count","successful.length","commonwealth.zone","state.zone","status","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts"
"1","01","Labridae Coris auricularis","2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,"BRUV","2020-06_south-west_stereo-BRUVs_01",5,"Labridae Coris auricularis_BRUV",0,0,0.0740740740740741,0,0,0,0.296296296296296,0,1,0,17,0,27,0,0,0,5,30,3.11538461538462,0.325812593608421,"MBH","20200602","09:10","South-west","c1",-46.7,"Yes","Yes","National Park Zone",NA,"No-take",41.236328125,0.865221087942927,75.2431345334418,-0.106105804443359,2.56666660308838,8.43370056152344,-23.2560501098633,-17.9802780151367,0.62962962962963
"2","01","Labridae Ophthalmolepis lineolatus","2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,"BRUV","2020-06_south-west_stereo-BRUVs_01",2,"Labridae Ophthalmolepis lineolatus_BRUV",0,0,0.0740740740740741,0,0,0,0.296296296296296,0,1,0,17,0,27,0,0,0,5,30,3.11538461538462,0.325812593608421,"MBH","20200602","09:10","South-west","c1",-46.7,"Yes","Yes","National Park Zone",NA,"No-take",41.236328125,0.865221087942927,75.2431345334418,-0.106105804443359,2.56666660308838,8.43370056152344,-23.2560501098633,-17.9802780151367,0.62962962962963
"3","01","Labridae Pseudolabrus biserialis","2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,"BRUV","2020-06_south-west_stereo-BRUVs_01",17,"Labridae Pseudolabrus biserialis_BRUV",0,0,0.0740740740740741,0,0,0,0.296296296296296,0,1,0,17,0,27,0,0,0,5,30,3.11538461538462,0.325812593608421,"MBH","20200602","09:10","South-west","c1",-46.7,"Yes","Yes","National Park Zone",NA,"No-take",41.236328125,0.865221087942927,75.2431345334418,-0.106105804443359,2.56666660308838,8.43370056152344,-23.2560501098633,-17.9802780151367,0.62962962962963
"4","01","Scorpididae Neatypus obliquus","2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,"BRUV","2020-06_south-west_stereo-BRUVs_01",0,"Scorpididae Neatypus obliquus_BRUV",0,0,0.0740740740740741,0,0,0,0.296296296296296,0,1,0,17,0,27,0,0,0,5,30,3.11538461538462,0.325812593608421,"MBH","20200602","09:10","South-west","c1",-46.7,"Yes","Yes","National Park Zone",NA,"No-take",41.236328125,0.865221087942927,75.2431345334418,-0.106105804443359,2.56666660308838,8.43370056152344,-23.2560501098633,-17.9802780151367,0.62962962962963
"5","02","Labridae Coris auricularis","2020-06_south-west_stereo-BRUVs",-34.125316,114.928838,"BRUV","2020-06_south-west_stereo-BRUVs_02",0,"Labridae Coris auricularis_BRUV",0,0,0,0,0,0,0.37037037037037,0,1,0.037037037037037,16,0,27,0,0,0,2,35,2.95,0.223606797749979,"MBH","20200602","09:18","South-west","c1",-44.4,"Yes","No","National Park Zone",NA,"No-take",40.6855278015137,0.694336960248173,40.8783783169696,-0.676074028015137,2.3922119140625,8.36493301391602,-22.6916046142578,-17.9939231872559,0.592592592592593
"6","02","Labridae Ophthalmolepis lineolatus","2020-06_south-west_stereo-BRUVs",-34.125316,114.928838,"BRUV","2020-06_south-west_stereo-BRUVs_02",2,"Labridae Ophthalmolepis lineolatus_BRUV",0,0,0,0,0,0,0.37037037037037,0,1,0.037037037037037,16,0,27,0,0,0,2,35,2.95,0.223606797749979,"MBH","20200602","09:18","South-west","c1",-44.4,"Yes","No","National Park Zone",NA,"No-take",40.6855278015137,0.694336960248173,40.8783783169696,-0.676074028015137,2.3922119140625,8.36493301391602,-22.6916046142578,-17.9939231872559,0.592592592592593
"7","02","Labridae Pseudolabrus biserialis","2020-06_south-west_stereo-BRUVs",-34.125316,114.928838,"BRUV","2020-06_south-west_stereo-BRUVs_02",10,"Labridae Pseudolabrus biserialis_BRUV",0,0,0,0,0,0,0.37037037037037,0,1,0.037037037037037,16,0,27,0,0,0,2,35,2.95,0.223606797749979,"MBH","20200602","09:18","South-west","c1",-44.4,"Yes","No","National Park Zone",NA,"No-take",40.6855278015137,0.694336960248173,40.8783783169696,-0.676074028015137,2.3922119140625,8.36493301391602,-22.6916046142578,-17.9939231872559,0.592592592592593
"8","02","Scorpididae Neatypus obliquus","2020-06_south-west_stereo-BRUVs",-34.125316,114.928838,"BRUV","2020-06_south-west_stereo-BRUVs_02",6,"Scorpididae Neatypus obliquus_BRUV",0,0,0,0,0,0,0.37037037037037,0,1,0.037037037037037,16,0,27,0,0,0,2,35,2.95,0.223606797749979,"MBH","20200602","09:18","South-west","c1",-44.4,"Yes","No","National Park Zone",NA,"No-take",40.6855278015137,0.694336960248173,40.8783783169696,-0.676074028015137,2.3922119140625,8.36493301391602,-22.6916046142578,-17.9939231872559,0.592592592592593
"9","03","Labridae Coris auricularis","2020-06_south-west_stereo-BRUVs",-34.126906,114.925945,"BRUV","2020-06_south-west_stereo-BRUVs_03",3,"Labridae Coris auricularis_BRUV",0,0,0,0,0,0,0.928571428571429,0,1,0.0714285714285714,0,0,14,0,0,0,6,14,3,0.377964473009227,"MBH","20200602","09:27","South-west","c1",-39.3,"Yes","Yes","National Park Zone",NA,"No-take",39.1502075195312,0.763306264763028,6.9679562583707,-0.110270500183105,2.97564029693604,8.62936401367188,-21.6129112243652,-17.537296295166,0
"10","03","Labridae Ophthalmolepis lineolatus","2020-06_south-west_stereo-BRUVs",-34.126906,114.925945,"BRUV","2020-06_south-west_stereo-BRUVs_03",6,"Labridae Ophthalmolepis lineolatus_BRUV",0,0,0,0,0,0,0.928571428571429,0,1,0.0714285714285714,0,0,14,0,0,0,6,14,3,0.377964473009227,"MBH","20200602","09:27","South-west","c1",-39.3,"Yes","Yes","National Park Zone",NA,"No-take",39.1502075195312,0.763306264763028,6.9679562583707,-0.110270500183105,2.97564029693604,8.62936401367188,-21.6129112243652,-17.537296295166,0
