"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","location","status","depth","successful.count","successful.length"
"2020-10_south-west_BOSS","1","20201108_0653-1053_TOP_0007.avi","2.55255","Labridae","Coris","auricularis",1,"-34.0787","114.7789","20201108",NA,NA,"62.6","Yes",NA
"2020-10_south-west_BOSS","1","20201108_0653-1053_TOP_0007.avi","2.83450","Labridae","Pseudolabrus","biserialis",2,"-34.0787","114.7789","20201108",NA,NA,"62.6","Yes",NA
"2020-10_south-west_BOSS","110","20201104_1211-1516_TOP_0004.avi","0.41319","Callanthiidae","Callanthias","australis",3,"-34.1412","114.7289","20201104",NA,NA,"129","Yes",NA
"2020-10_south-west_BOSS","110","20201104_1211-1516_TOP_0004.avi","2.15827","Monacanthidae","Nelusetta","ayraud",1,"-34.1412","114.7289","20201104",NA,NA,"129","Yes",NA
"2020-10_south-west_BOSS","110","20201104_1211-1516_TOP_0004.avi","2.30286","Oplegnathidae","Oplegnathus","woodwardi",3,"-34.1412","114.7289","20201104",NA,NA,"129","Yes",NA
"2020-10_south-west_BOSS","113","20201108_0653-1053_TOP_0005.avi","1.58714","Oplegnathidae","Oplegnathus","woodwardi",1,"-34.0587","114.7389","20201108",NA,NA,"111","Yes",NA
"2020-10_south-west_BOSS","115","20201108_0653-1053_TOP_0005.avi","2.07485","Carangidae","Pseudocaranx","spp",6,"-34.0537","114.7364","20201108",NA,NA,"111","Yes",NA
"2020-10_south-west_BOSS","115","20201108_0653-1053_TOP_0006.avi","2.81003","Monacanthidae","Nelusetta","ayraud",1,"-34.0537","114.7364","20201108",NA,NA,"111","Yes",NA
"2020-10_south-west_BOSS","117","20201108_0653-1053_TOP_0005.avi","2.23946","Monacanthidae","Nelusetta","ayraud",1,"-34.0637","114.7389","20201108",NA,NA,"112","Yes",NA
"2020-10_south-west_BOSS","117","20201108_0653-1053_TOP_0005.avi","1.89245","Oplegnathidae","Oplegnathus","woodwardi",1,"-34.0637","114.7389","20201108",NA,NA,"112","Yes",NA
"2020-10_south-west_BOSS","135","20201107_1030-1330_TOP_0006.avi","0.34590","Serranidae","Caesioperca","spp",1,"-34.0337","114.4839","20201107",NA,NA,"170","Yes",NA
"2020-10_south-west_BOSS","135","20201107_1030-1330_TOP_0006.avi","2.69825","SUS","SUS","SUS",7,"-34.0337","114.4839","20201107",NA,NA,"170","Yes",NA
"2020-10_south-west_BOSS","136","20201107_1030-1330_TOP_0007.avi","0.37927","Callanthiidae","Callanthias","australis",6,"-34.0287","114.4789","20201107",NA,NA,"180","Yes",NA
