sample,scientific,maxn,family,genus,species,campaignid,latitude,longitude,date.time,location,status,depth,successful.count,successful.length,id
1,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.6886,113.5539,20/05/2021 5:03,Point Cloates,No-take,93.6,Yes,Yes,2021-05_PtCloates_BOSS.1
10,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.6887,113.5238,20/05/2021 4:02,Point Cloates,No-take,176,Yes,Yes,2021-05_PtCloates_BOSS.10
12,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7137,113.5364,20/05/2021 2:49,Point Cloates,No-take,107,Yes,Yes,2021-05_PtCloates_BOSS.12
13,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7037,113.5389,20/05/2021 3:16,Point Cloates,No-take,107,Yes,Yes,2021-05_PtCloates_BOSS.13
15,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7037,113.5188,20/05/2021 3:33,Point Cloates,No-take,168,Yes,Yes,2021-05_PtCloates_BOSS.15
18,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.6838,113.5489,20/05/2021 5:14,Point Cloates,No-take,102,Yes,Yes,2021-05_PtCloates_BOSS.18
19,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7314,113.5313,20/05/2021 0:09,Point Cloates,No-take,106,Yes,Yes,2021-05_PtCloates_BOSS.19
2,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.6987,113.5214,20/05/2021 3:47,Point Cloates,No-take,167,Yes,Yes,2021-05_PtCloates_BOSS.2
20,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7187,113.5265,20/05/2021 2:35,Point Cloates,No-take,120,Yes,Yes,2021-05_PtCloates_BOSS.20
201,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7488,113.5378,19/05/2022 3:50,Point Cloates,No-take,94.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.201
202,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6851,113.5571,27/05/2022 1:03,Point Cloates,No-take,91.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.202
203,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7548,113.55,19/05/2022 1:44,Point Cloates,No-take,75.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.203
204,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6911,113.5576,26/05/2022 7:07,Point Cloates,No-take,85.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.204
205,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7321,113.5508,23/05/2022 1:04,Point Cloates,No-take,80.6,Yes,No,2022-05_PtCloates_Naked-BOSS.205
206,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7019,113.5608,25/05/2022 8:07,Point Cloates,No-take,76.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.206
207,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7523,113.5552,19/05/2022 2:00,Point Cloates,No-take,71.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.207
208,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7252,113.5464,25/05/2022 4:23,Point Cloates,No-take,89.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.208
