"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_BOSS",28,"Carcharhinidae","Carcharhinus","plumbeus",1256.36758,1,3739.52586
"2021-05_PtCloates_BOSS",45,"Carangidae","Pseudocaranx","spp",199.4224,1,2859.64356
"2021-05_PtCloates_BOSS",47,"Carcharhinidae","Carcharhinus","spp",832.14277,1,5305.39246
"2021-05_PtCloates_BOSS",29,"Triakidae","Unknown","spp",1007.59175,1,5160.03353
"2021-05_PtCloates_BOSS",40,"Pinguipedidae","Parapercis","nebulosa",46.12536,1,2106.23034
"2021-05_PtCloates_BOSS",31,"Carangidae","Carangoides","spp",130.62291,1,3864.2156
"2021-05_PtCloates_BOSS",31,"Pinguipedidae","Parapercis","nebulosa",50.42008,1,1718.59753
"2021-05_PtCloates_BOSS",31,"Lutjanidae","Pristipomoides","spp",321.70616,1,1403.95675
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",307.493,1,3051.74443
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",276.20574,1,3606.50959
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",332.19886,1,2356.18591
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",241.25922,1,3813.1132
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",189.72169,1,3229.04858
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",241.75177,1,3234.17936
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",229.35258,1,4167.00151
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",260.84914,1,4367.90218
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",300.39055,1,3302.5433
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",266.56949,1,3031.91888
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",295.64559,1,4605.84617
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",232.81677,1,4461.64282
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",213.31172,1,3525.07432
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",214.55841,1,3305.33806
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",206.40223,1,2711.98343
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",201.01967,1,3639.33122
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",183.15999,1,2929.21341
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",229.20905,1,2850.18902
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",205.13745,1,2621.64954
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",204.85583,1,3136.4873
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",211.95096,1,2544.09249
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",194.67151,1,2931.23803
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",241.42838,1,2925.73358
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",243.45484,1,2507.64175
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",210.21773,1,2775.88409
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",197.60986,1,2307.33482
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",209.50706,1,2602.07571
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",184.72725,5,3970.33777
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",209.18519,5,4191.24134
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",208.03089,5,3514.90717
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",222.22715,5,3653.8603
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",203.368,5,4121.98954
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",203.10961,5,4472.00428
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",224.39792,5,4256.28726
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",234.64114,5,4329.79138
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",214.10903,5,4344.53801
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",183.66213,5,4489.47559
"2021-05_PtCloates_BOSS",22,"Pinguipedidae","Parapercis","nebulosa",88.64691,1,2119.86045
"2021-05_PtCloates_BOSS",25,"Carangidae","Pseudocaranx","spp",169.25753,1,3892.05686
"2021-05_PtCloates_BOSS",25,"Carcharhinidae","Carcharhinus","spp",881.45858,1,4646.00099
"2021-05_PtCloates_BOSS",33,"SUS","SUS","sus",82.68342,1,1763.42521
"2021-05_PtCloates_BOSS",33,"Sparidae","Dentex","carpenteri",145.42682,1,2265.44375
"2021-05_PtCloates_BOSS",33,"Sparidae","Dentex","carpenteri",152.43105,1,2056.47767
"2021-05_PtCloates_BOSS",20,"Pinguipedidae","Parapercis","nebulosa",42.77561,1,1413.69375
"2021-05_PtCloates_BOSS",12,"Holocentridae","Sargocentron","spp",171.32223,1,2647.93654
"2021-05_PtCloates_BOSS",12,"SUS","SUS","sus",60.66569,1,2684.6995
"2021-05_PtCloates_BOSS",12,"SUS","SUS","sus",64.53575,1,2504.56877
"2021-05_PtCloates_BOSS",12,"Pinguipedidae","Parapercis","nebulosa",86.22911,1,1880.68914
"2021-05_PtCloates_BOSS",13,"Holocentridae","Sargocentron","spp",207.53368,1,2477.99021
"2021-05_PtCloates_BOSS",50,"Lethrinidae","Lethrinus","miniatus",432.12919,1,3016.95497
"2021-05_PtCloates_BOSS",21,"Chaetodontidae","Heniochus","acuminatus",209.50183,1,4668.95405
"2021-05_PtCloates_BOSS",21,"Chaetodontidae","Heniochus","acuminatus",229.21425,1,3508.9724
"2021-05_PtCloates_BOSS",21,"Cirrhitidae","Cyprinocirrhites","polyactis",57.82384,1,1986.30733
"2021-05_PtCloates_BOSS",21,"Cirrhitidae","Cyprinocirrhites","polyactis",88.48855,1,1789.41356
