"campaignid","sample","family","genus","species","maxn"
"2021-05_PtCloates_BOSS",12,"Holocentridae","Sargocentron","spp",1
"2021-05_PtCloates_BOSS",12,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",12,"SUS","SUS","sus",2
"2021-05_PtCloates_BOSS",13,"Holocentridae","Sargocentron","spp",1
"2021-05_PtCloates_BOSS",13,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",13,"SUS","SUS","sus",1
"2021-05_PtCloates_BOSS",18,"Nemipteridae","Unknown","spp",3
"2021-05_PtCloates_BOSS",18,"Priacanthidae","Priacanthus","spp",1
"2021-05_PtCloates_BOSS",18,"Sparidae","Dentex","carpenteri",1
"2021-05_PtCloates_BOSS",19,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",19,"Priacanthidae","Priacanthus","spp",1
"2021-05_PtCloates_BOSS",20,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",21,"Chaetodontidae","Heniochus","acuminatus",2
"2021-05_PtCloates_BOSS",21,"Cirrhitidae","Cyprinocirrhites","polyactis",3
"2021-05_PtCloates_BOSS",21,"Labridae","Labroides","dimidiatus",1
"2021-05_PtCloates_BOSS",21,"Mullidae","Unknown","spp",1
"2021-05_PtCloates_BOSS",21,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",21,"Pomacanthidae","Chaetodontoplus","spp",1
"2021-05_PtCloates_BOSS",21,"SUS","SUS","sus",20
"2021-05_PtCloates_BOSS",21,"Serranidae","Unknown","spp",1
"2021-05_PtCloates_BOSS",22,"Carangidae","Decapterus","muroadsi",59
"2021-05_PtCloates_BOSS",22,"Clupeidae","Unknown","spp",100
"2021-05_PtCloates_BOSS",22,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",25,"Carangidae","Pseudocaranx","spp",1
"2021-05_PtCloates_BOSS",25,"Carcharhinidae","Carcharhinus","spp",1
"2021-05_PtCloates_BOSS",25,"Gobiidae","Unknown","spp",1
"2021-05_PtCloates_BOSS",25,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",28,"Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_PtCloates_BOSS",29,"SUS","SUS","sus",2
"2021-05_PtCloates_BOSS",29,"Triakidae","Unknown","spp",1
"2021-05_PtCloates_BOSS",31,"Carangidae","Carangoides","spp",1
"2021-05_PtCloates_BOSS",31,"Lutjanidae","Pristipomoides","spp",1
"2021-05_PtCloates_BOSS",31,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",31,"Priacanthidae","Priacanthus","spp",1
"2021-05_PtCloates_BOSS",33,"SUS","SUS","sus",1
"2021-05_PtCloates_BOSS",33,"Sparidae","Dentex","carpenteri",2
"2021-05_PtCloates_BOSS",34,"SUS","SUS","sus",1
"2021-05_PtCloates_BOSS",34,"Unknown","Unknown","unknown",1
"2021-05_PtCloates_BOSS",4,"SUS","SUS","sus",1
"2021-05_PtCloates_BOSS",40,"Pinguipedidae","Parapercis","nebulosa",2
"2021-05_PtCloates_BOSS",45,"Carangidae","Pseudocaranx","spp",1
"2021-05_PtCloates_BOSS",46,"SUS","SUS","sus",1
"2021-05_PtCloates_BOSS",47,"Carcharhinidae","Carcharhinus","spp",1
"2021-05_PtCloates_BOSS",47,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",47,"Unknown","Unknown","unknown",1
"2021-05_PtCloates_BOSS",48,"Unknown","Unknown","unknown",1
"2021-05_PtCloates_BOSS",49,"Pinguipedidae","Parapercis","nebulosa",3
"2021-05_PtCloates_BOSS",50,"Lethrinidae","Lethrinus","miniatus",1
"2021-05_PtCloates_BOSS",50,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BOSS",50,"Priacanthidae","Priacanthus","spp",1
"2021-05_PtCloates_BOSS",9,"Pinguipedidae","Parapercis","nebulosa",1
"2022-05_PtCloates_Naked-BOSS",201,"Balistidae","Xanthichthys","lineopunctatus",1
"2022-05_PtCloates_Naked-BOSS",201,"Chaetodontidae","Chaetodon","assarius",1
"2022-05_PtCloates_Naked-BOSS",201,"Chaetodontidae","Heniochus","acuminatus",2
"2022-05_PtCloates_Naked-BOSS",201,"Cirrhitidae","Cyprinocirrhites","polyactis",1
"2022-05_PtCloates_Naked-BOSS",201,"Labridae","Labroides","dimidiatus",1
"2022-05_PtCloates_Naked-BOSS",201,"SUS","SUS","sus",1
"2022-05_PtCloates_Naked-BOSS",201,"Serranidae","Epinephelus","areolatus",1
"2022-05_PtCloates_Naked-BOSS",201,"Serranidae","Pseudanthias","spp",7
"2022-05_PtCloates_Naked-BOSS",201,"Unknown","Unknown","unknown",1
"2022-05_PtCloates_Naked-BOSS",202,"Carangidae","Carangoides","caeruleopinnatus",1
"2022-05_PtCloates_Naked-BOSS",203,"Carangidae","Decapterus","muroadsi",1
"2022-05_PtCloates_Naked-BOSS",203,"Cirrhitidae","Cyprinocirrhites","polyactis",2
"2022-05_PtCloates_Naked-BOSS",203,"Nemipteridae","Pentapodus","nagasakiensis",5
"2022-05_PtCloates_Naked-BOSS",203,"SUS","SUS","sus",1
"2022-05_PtCloates_Naked-BOSS",203,"Unknown","Unknown","unknown",1
"2022-05_PtCloates_Naked-BOSS",204,"Lethrinidae","Gymnocranius","sp1",1
