"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"1","Apogonidae","Ostorhinchus","aureus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Balistidae","Sufflamen","fraenatum",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Balistidae","Xanthichthys","lineopunctatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Caesionidae","Pterocaesio","chrysozona",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Carangidae","Carangoides","chrysophrys",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Carangidae","Carangoides","fulvoguttatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Carangidae","Carangoides","gymnostethus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Carangidae","Gnathanodon","speciosus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Carcharhinidae","Carcharhinus","albimarginatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Chaetodontidae","Chaetodon","assarius",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Chaetodontidae","Heniochus","acuminatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Chaetodontidae","Heniochus","diphreutes",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Cirrhitidae","Cyprinocirrhites","polyactis",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Echeneidae","Echeneis","naucrates",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Holocentridae","Sargocentron","rubrum",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Labridae","Bodianus","bilunulatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Labridae","Bodianus","solatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Labridae","Coris","caudimacula",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
