"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Holocentridae","Sargocentron","spp",171.32223,2647.93654,-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Pinguipedidae","Parapercis","nebulosa",86.22911,1880.68914,-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","SUS","SUS","sus",60.66569,2684.6995,-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","SUS","SUS","sus",64.53575,2504.56877,-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Holocentridae","Sargocentron","spp",207.53368,2477.99021,-22.7037,113.5389,2021-05-20 03:16:00,"Point Cloates","No-take",107,"Yes","Yes"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Priacanthidae","Priacanthus","spp",185.65998,2838.97162,-22.6838,113.5489,2021-05-20 05:14:58,"Point Cloates","No-take",102,"Yes","Yes"
"2021-05_PtCloates_BOSS.20","2021-05_PtCloates_BOSS","20","Pinguipedidae","Parapercis","nebulosa",42.77561,1413.69375,-22.7187,113.5265,2021-05-20 02:35:39,"Point Cloates","No-take",120,"Yes","Yes"
"2021-05_PtCloates_BOSS.21","2021-05_PtCloates_BOSS","21","Chaetodontidae","Heniochus","acuminatus",209.50183,4668.95405,-22.6963,113.544,2021-05-20 04:33:40,"Point Cloates","No-take",103,"Yes","Yes"
"2021-05_PtCloates_BOSS.21","2021-05_PtCloates_BOSS","21","Chaetodontidae","Heniochus","acuminatus",229.21425,3508.9724,-22.6963,113.544,2021-05-20 04:33:40,"Point Cloates","No-take",103,"Yes","Yes"
"2021-05_PtCloates_BOSS.21","2021-05_PtCloates_BOSS","21","Cirrhitidae","Cyprinocirrhites","polyactis",57.82384,1986.30733,-22.6963,113.544,2021-05-20 04:33:40,"Point Cloates","No-take",103,"Yes","Yes"
"2021-05_PtCloates_BOSS.21","2021-05_PtCloates_BOSS","21","Cirrhitidae","Cyprinocirrhites","polyactis",88.48855,1789.41356,-22.6963,113.544,2021-05-20 04:33:40,"Point Cloates","No-take",103,"Yes","Yes"
"2021-05_PtCloates_BOSS.21","2021-05_PtCloates_BOSS","21","Cirrhitidae","Cyprinocirrhites","polyactis",70.27373,2208.90249,-22.6963,113.544,2021-05-20 04:33:40,"Point Cloates","No-take",103,"Yes","Yes"
"2021-05_PtCloates_BOSS.21","2021-05_PtCloates_BOSS","21","Labridae","Labroides","dimidiatus",60.02446,1364.12425,-22.6963,113.544,2021-05-20 04:33:40,"Point Cloates","No-take",103,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",307.493,3051.74443,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",276.20574,3606.50959,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",332.19886,2356.18591,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",241.25922,3813.1132,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",189.72169,3229.04858,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",241.75177,3234.17936,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",229.35258,4167.00151,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
"2021-05_PtCloates_BOSS.22","2021-05_PtCloates_BOSS","22","Carangidae","Decapterus","spp",260.84914,4367.90218,-22.7438,113.5337,2021-05-20 00:23:06,"Point Cloates","No-take",96.4,"Yes","Yes"
