"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_BRUVS",1,"Cirrhitidae","Cyprinocirrhites","polyactis",30.96033,1,1133.41802
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",229.23818,1,2343.977
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",199.58935,1,3243.94316
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",344.94651,1,3545.005
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",206.31641,1,2761.74289
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",187.64946,1,2964.55355
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","multidens",586.3141,1,3038.63092
"2021-05_PtCloates_BRUVS",1,"Apogonidae","Unknown","spp",72.21679,1,1731.80703
"2021-05_PtCloates_BRUVS",1,"Labridae","Bodianus","solatus",262.18374,1,3115.1031
"2021-05_PtCloates_BRUVS",1,"Muraenidae","Gymnothorax","javanicus",590.78663,1,1677.11347
"2021-05_PtCloates_BRUVS",1,"Pteroidae","Pterois","antennata",148.63874,1,2135.11633
"2021-05_PtCloates_BRUVS",1,"Carangidae","Carangoides","chrysophrys",515.39975,1,1751.13208
"2021-05_PtCloates_BRUVS",1,"Lethrinidae","Lethrinus","miniatus",444.59001,1,1311.4395
"2021-05_PtCloates_BRUVS",1,"Lethrinidae","Lethrinus","miniatus",454.00785,1,1539.81489
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",571.24746,1,2563.70609
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",491.57232,1,2946.71523
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",472.30354,1,3136.4451
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",542.92586,1,2291.69682
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",486.80801,1,3863.01997
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",491.33748,1,2654.42258
"2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",680.23374,1,1169.87972
"2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",683.0294,1,3570.45784
"2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",677.34858,1,4651.69291
"2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",675.92878,1,3326.73324
"2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",793.07401,1,4870.63448
"2021-05_PtCloates_BRUVS",10,"Nemipteridae","Nemipterus","spp",124.04252,1,1978.73845
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",128.12835,1,1821.03539
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",136.76908,1,1316.41086
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",128.57012,1,1797.62334
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",131.66761,1,2076.2946
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",131.78178,1,1837.0054
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",132.34629,1,2312.30299
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",133.72967,1,905.68671
