"campaignid","sample","family","genus","species","maxn"
"2021-05_PtCloates_BRUVS",1,"Apogonidae","Unknown","spp",1
"2021-05_PtCloates_BRUVS",1,"Carangidae","Carangoides","chrysophrys",1
"2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",3
"2021-05_PtCloates_BRUVS",1,"Cirrhitidae","Cyprinocirrhites","polyactis",1
"2021-05_PtCloates_BRUVS",1,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",1,"Lethrinidae","Lethrinus","miniatus",3
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",8
"2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","multidens",1
"2021-05_PtCloates_BRUVS",1,"Muraenidae","Gymnothorax","javanicus",1
"2021-05_PtCloates_BRUVS",1,"Nemipteridae","Parascolopsis","eriomma",6
"2021-05_PtCloates_BRUVS",1,"Pinguipedidae","Parapercis","spp",2
"2021-05_PtCloates_BRUVS",1,"Pteroidae","Pterois","antennata",1
"2021-05_PtCloates_BRUVS",1,"SUS","SUS","sus",2
"2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",2
"2021-05_PtCloates_BRUVS",10,"Carcharhinidae","Carcharhinus","plumbeus",2
"2021-05_PtCloates_BRUVS",10,"Nemipteridae","Nemipterus","spp",1
"2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",65
"2021-05_PtCloates_BRUVS",10,"Triakidae","Mustelus","ravidus",1
"2021-05_PtCloates_BRUVS",11,"Apogonidae","Unknown","spp",1
"2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",16
"2021-05_PtCloates_BRUVS",11,"Cirrhitidae","Cirrhitichthys","aprinus",1
"2021-05_PtCloates_BRUVS",11,"Lethrinidae","Gymnocranius","grandoculis",2
"2021-05_PtCloates_BRUVS",11,"Lethrinidae","Lethrinus","miniatus",1
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",6
"2021-05_PtCloates_BRUVS",11,"Muraenidae","Gymnothorax","javanicus",1
"2021-05_PtCloates_BRUVS",11,"Serranidae","Epinephelus","morrhua",1
"2021-05_PtCloates_BRUVS",11,"Sparidae","Argyrops","spinifer",1
"2021-05_PtCloates_BRUVS",11,"SUS","SUS","sus",1
"2021-05_PtCloates_BRUVS",11,"Triakidae","Hemitriakis","falcata",1
"2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",4
"2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1",2
"2021-05_PtCloates_BRUVS",12,"Echeneidae","Echeneis","naucrates",1
"2021-05_PtCloates_BRUVS",12,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",4
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",3
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Lutjanus","sebae",1
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",8
"2021-05_PtCloates_BRUVS",12,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BRUVS",12,"Serranidae","Epinephelus","amblycephalus",1
"2021-05_PtCloates_BRUVS",12,"Serranidae","Epinephelus","multinotatus",1
"2021-05_PtCloates_BRUVS",12,"Sphyraenidae","Sphyraena","spp",1
"2021-05_PtCloates_BRUVS",13,"Carangidae","Carangoides","chrysophrys",1
"2021-05_PtCloates_BRUVS",13,"Carangidae","Seriola","sp1",1
"2021-05_PtCloates_BRUVS",13,"Carcharhinidae","Unknown","spp",1
"2021-05_PtCloates_BRUVS",13,"Echeneidae","Echeneis","naucrates",1
"2021-05_PtCloates_BRUVS",13,"Labridae","Bodianus","solatus",3
"2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",3
"2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1",8
"2021-05_PtCloates_BRUVS",13,"Nemipteridae","Pentapodus","nagasakiensis",2
"2021-05_PtCloates_BRUVS",13,"Pinguipedidae","Parapercis","nebulosa",3
"2021-05_PtCloates_BRUVS",13,"Serranidae","Epinephelus","rivulatus",1
"2021-05_PtCloates_BRUVS",13,"SUS","SUS","sus",1
"2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",4
"2021-05_PtCloates_BRUVS",14,"Dasyatidae","Taeniurops","meyeni",1
"2021-05_PtCloates_BRUVS",14,"Lethrinidae","Gymnocranius","sp1",1
"2021-05_PtCloates_BRUVS",14,"Lutjanidae","Pristipomoides","sp1",1
"2021-05_PtCloates_BRUVS",14,"Muraenidae","Gymnothorax","berndti",1
"2021-05_PtCloates_BRUVS",14,"Rhinobatidae","Rhinobatos","sainsburyi",1
"2021-05_PtCloates_BRUVS",14,"Sparidae","Chrysophrys","auratus",3
"2021-05_PtCloates_BRUVS",14,"Triakidae","Hemitriakis","falcata",1
"2021-05_PtCloates_BRUVS",15,"Carangidae","Carangoides","chrysophrys",4
"2021-05_PtCloates_BRUVS",15,"Carcharhinidae","Hemitriakis","spp",2
"2021-05_PtCloates_BRUVS",15,"Echeneidae","Echeneis","naucrates",1
"2021-05_PtCloates_BRUVS",15,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",15,"Labridae","Choerodon","zamboangae",1
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis",5
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Lethrinus","miniatus",5
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Aprion","virescens",1
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Lutjanus","sebae",2
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",19
