"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS",17,-22.7757,113.5195,20210518,"12:28:00","Point Cloates","Fished","outNP.5",104,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",22,-22.7812,113.4964,20210518,"12:19:00","Point Cloates","Fished","outNP.10",138,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",25,-22.7937,113.4939,20210518,"12:11:00","Point Cloates","Fished","outNP.13",135,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",15,-22.7461,113.5138,20210518,"12:40:00","Point Cloates","Fished","outNP.3",130,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",7,-22.7287,113.5365,20210518,"12:57:00","Point Cloates","No-take","inNP.7",100,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",13,-22.7963,113.5041,20210518,"12:08:00","Point Cloates","Fished","outNP.1",116,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",12,-22.7262,113.5214,20210518,"12:48:00","Point Cloates","No-take","inNP.12",126,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",16,-22.7812,113.5115,20210518,"12:24:00","Point Cloates","Fished","outNP.4",111,NA,"Yes","No"
"2021-05_PtCloates_BRUVS",21,-22.7563,113.5189,20210518,"12:36:00","Point Cloates","Fished","outNP.9",112,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",6,-22.721,113.5465,20210518,"14:41:00","Point Cloates","No-take","inNP.6",88.5,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",2,-22.7108,113.5386,20210518,"14:46:00","Point Cloates","No-take","inNP.2",104,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",3,-22.7087,113.5263,20210518,"14:51:00","Point Cloates","No-take","inNP.3",129,NA,"Yes","Yes"
"2021-05_PtCloates_BRUVS",1,-22.696,113.5315,20210518,"14:56:00","Point Cloates","No-take","inNP.1",129,NA,"Yes","Yes"
