"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Apogonidae","Unknown","spp",72.21679,1731.80703,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Carangidae","Carangoides","chrysophrys",515.39975,1751.13208,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",677.34858,4651.69291,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",675.92878,3326.73324,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Carangidae","Seriola","dumerili",793.07401,4870.63448,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Cirrhitidae","Cyprinocirrhites","polyactis",30.96033,1133.41802,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Labridae","Bodianus","solatus",262.18374,3115.1031,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Lethrinidae","Lethrinus","miniatus",444.59001,1311.4395,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Lethrinidae","Lethrinus","miniatus",454.00785,1539.81489,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Lutjanidae","Pristipomoides","filamentosus",571.24746,2563.70609,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
